,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,,1,0.0,-,0.0,0.0
1,2020-05-02,2.0,1,,▲,1.0,
2,2020-05-03,2.2,1,0.2,▲,2.0,10.0
3,2020-05-05,2.0,1,-0.2,▼,1.0,-9.1
4,2020-05-07,2.2,2,0.2,▲,2.0,10.0
5,2020-05-08,2.2,1,0.0,-,2.0,0.0
6,2020-05-14,2.6,1,0.4,▲,3.0,18.2
7,2020-05-16,2.4,1,-0.2,▼,2.0,-7.7
8,2020-05-17,2.6,1,0.2,▲,3.0,8.3
9,2020-05-20,2.4,1,-0.2,▼,2.0,-7.7
10,2020-05-27,2.7,2,0.3,▲,3.0,12.5
11,2020-05-28,2.7,1,0.0,-,3.0,0.0
12,2020-05-29,2.7,1,0.0,-,3.0,0.0
13,2020-06-02,2.5,1,-0.2,▼,2.0,-7.4
14,2020-06-05,2.5,1,0.0,-,2.0,0.0
15,2020-06-06,2.4,1,-0.1,▼,1.0,-4.0
16,2020-06-13,2.0,1,-0.4,▼,0.0,-16.7
17,2020-06-16,1.9,2,-0.1,▼,-1.0,-5.0
18,2020-06-25,2.3,12,0.4,▲,0.0,21.1
19,2020-06-26,2.7,1,0.4,▲,1.0,17.4
20,2020-06-30,2.7,1,0.0,-,1.0,0.0
21,2020-07-06,2.9,1,0.2,▲,2.0,7.4
22,2020-07-10,3.2,1,0.3,▲,3.0,10.3
23,2020-07-15,3.0,1,-0.2,▼,2.0,-6.2
24,2020-07-17,2.8,1,-0.2,▼,1.0,-6.7
25,2020-07-21,3.0,5,0.2,▲,2.0,7.1
26,2020-07-24,3.0,1,0.0,-,2.0,0.0
27,2020-07-30,3.0,1,0.0,-,2.0,0.0
28,2020-08-02,3.0,2,0.0,-,2.0,0.0
29,2020-08-03,3.0,1,0.0,-,2.0,0.0
30,2020-08-04,3.0,1,0.0,-,2.0,0.0
31,2020-08-06,3.0,1,0.0,-,2.0,0.0
