,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-19,,2,0.0,-,0.0,0.0
1,2020-04-24,3.7,2,,▲,1.0,
2,2020-04-26,4.5,1,0.8,▲,2.0,21.6
3,2020-05-02,3.8,2,-0.7,▼,1.0,-15.6
4,2020-05-05,4.4,1,0.6,▲,2.0,15.8
5,2020-05-11,4.3,1,-0.1,▼,1.0,-2.3
6,2020-05-13,3.9,1,-0.4,▼,0.0,-9.3
7,2020-05-16,3.1,1,-0.8,▼,-1.0,-20.5
8,2020-05-21,3.4,1,0.3,▲,0.0,9.7
9,2020-05-26,2.4,1,-1.0,▼,-1.0,-29.4
10,2020-05-28,2.6,2,0.2,▲,0.0,8.3
11,2020-05-30,3.6,1,1.0,▲,1.0,38.5
12,2020-06-05,4.0,1,0.4,▲,2.0,11.1
13,2020-06-08,4.4,1,0.4,▲,3.0,10.0
14,2020-06-10,4.4,1,0.0,-,3.0,0.0
15,2020-06-14,4.8,1,0.4,▲,4.0,9.1
16,2020-06-19,3.9,3,-0.9,▼,3.0,-18.8
17,2020-06-22,3.5,1,-0.4,▼,2.0,-10.3
18,2020-06-26,3.1,1,-0.4,▼,1.0,-11.4
19,2020-07-01,2.9,1,-0.2,▼,0.0,-6.5
20,2020-07-04,2.5,1,-0.4,▼,-1.0,-13.8
21,2020-07-07,2.4,1,-0.1,▼,-2.0,-4.0
22,2020-07-10,2.6,1,0.2,▲,-1.0,8.3
23,2020-07-14,2.4,2,-0.2,▼,-2.0,-7.7
24,2020-07-16,2.4,1,0.0,-,-2.0,0.0
25,2020-07-19,2.0,1,-0.4,▼,-3.0,-16.7
26,2020-07-22,2.0,1,0.0,-,-3.0,0.0
27,2020-07-24,1.8,2,-0.2,▼,-4.0,-10.0
28,2020-07-31,2.0,1,0.2,▲,-3.0,11.1
