,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-05-09,,21,0.0,-,0.0,0.0
1,2020-05-10,,29,,▲,1.0,
2,2020-05-11,,4,,▲,2.0,
3,2020-05-12,,2,,▲,3.0,
4,2020-05-13,42.3,2,,▲,4.0,
5,2020-05-15,40.9,4,-1.4,▼,3.0,-3.3
6,2020-05-17,40.3,3,-0.6,▼,2.0,-1.5
7,2020-05-19,40.8,1,0.5,▲,3.0,1.2
8,2020-05-24,35.5,3,-5.3,▼,2.0,-13.0
9,2020-05-29,31.9,1,-3.6,▼,1.0,-10.1
10,2020-05-31,30.0,1,-1.9,▼,0.0,-6.0
11,2020-06-05,29.6,3,-0.4,▼,-1.0,-1.3
12,2020-06-08,29.6,3,0.0,-,-1.0,0.0
13,2020-06-09,34.1,1,4.5,▲,0.0,15.2
14,2020-06-10,39.1,2,5.0,▲,1.0,14.7
15,2020-06-14,43.5,1,4.4,▲,2.0,11.3
16,2020-06-20,46.0,2,2.5,▲,3.0,5.7
17,2020-06-21,43.0,1,-3.0,▼,2.0,-6.5
18,2020-06-22,39.0,1,-4.0,▼,1.0,-9.3
19,2020-06-25,37.0,1,-2.0,▼,0.0,-5.1
20,2020-06-29,33.0,1,-4.0,▼,-1.0,-10.8
21,2020-07-01,31.0,1,-2.0,▼,-2.0,-6.1
22,2020-07-06,35.0,1,4.0,▲,-1.0,12.9
23,2020-07-08,36.0,2,1.0,▲,0.0,2.9
24,2020-07-11,39.9,4,3.9,▲,1.0,10.8
25,2020-07-12,40.9,1,1.0,▲,2.0,2.5
26,2020-07-15,43.9,2,3.0,▲,3.0,7.3
27,2020-07-17,49.8,2,5.9,▲,4.0,13.4
28,2020-07-20,52.8,1,3.0,▲,5.0,6.0
29,2020-07-26,52.9,1,0.1,▲,6.0,0.2
30,2020-08-02,55.9,1,3.0,▲,7.0,5.7
31,2020-08-04,50.9,1,-5.0,▼,6.0,-8.9
