,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-28,,1,0.0,-,0.0,0.0
1,2020-05-05,,1,,▲,1.0,
2,2020-05-06,,1,,▲,2.0,
3,2020-05-11,,2,,▲,3.0,
4,2020-05-18,5.8,1,,▲,4.0,
5,2020-05-19,5.0,1,-0.8,▼,3.0,-13.8
6,2020-05-29,5.0,1,0.0,-,3.0,0.0
7,2020-06-03,5.7,2,0.7,▲,4.0,14.0
8,2020-06-12,5.8,4,0.1,▲,5.0,1.8
9,2020-06-13,6.4,1,0.6,▲,6.0,10.3
10,2020-06-16,6.8,1,0.4,▲,7.0,6.2
11,2020-06-19,7.2,2,0.4,▲,8.0,5.9
12,2020-06-25,7.1,1,-0.1,▼,7.0,-1.4
13,2020-06-26,7.0,1,-0.1,▼,6.0,-1.4
14,2020-06-27,6.8,1,-0.2,▼,5.0,-2.9
15,2020-07-03,6.4,1,-0.4,▼,4.0,-5.9
16,2020-07-14,6.0,1,-0.4,▼,3.0,-6.2
17,2020-07-17,5.8,1,-0.2,▼,2.0,-3.3
18,2020-07-19,6.2,1,0.4,▲,3.0,6.9
19,2020-07-23,5.6,1,-0.6,▼,2.0,-9.7
20,2020-07-25,5.6,1,0.0,-,2.0,0.0
21,2020-08-01,5.6,1,0.0,-,2.0,0.0
22,2020-08-02,5.2,1,-0.4,▼,1.0,-7.1
