,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
6,2020-08-07,47.7,161,0.2,▲,-52.0,0.4,ivara_prime_set
27,2020-08-07,51.6,49,2.2,▲,-52.0,4.5,baza_prime_set
19,2020-08-07,38.5,174,4.3,▲,-42.0,12.6,wukong_prime_set
47,2020-08-07,80.9,35,1.9,▲,-35.0,2.4,aksomati_prime_set
25,2020-08-07,35.5,140,0.9,▲,-24.0,2.6,atlas_prime_set
3,2020-08-07,36.5,179,0.2,▲,-23.0,0.6,mesa_prime_set
23,2020-08-07,106.3,73,1.5,▲,-21.0,1.4,nekros_prime_set
1,2020-08-07,34.7,138,0.2,▲,-20.0,0.6,equinox_prime_set
36,2020-08-07,38.0,26,-0.1,▼,-19.0,-0.3,soma_prime_set
78,2020-08-07,48.9,16,0.2,▲,-15.0,0.4,tekko_prime_set
