,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-02-11,30.9,3,0.0,-,0.0,0.0
1,2020-02-12,33.7,4,2.8,▲,1.0,9.1
2,2020-02-13,33.8,5,0.1,▲,2.0,0.3
3,2020-02-14,33.9,8,0.1,▲,3.0,0.3
4,2020-02-15,34.0,3,0.1,▲,4.0,0.3
5,2020-02-16,32.9,10,-1.1,▼,3.0,-3.2
6,2020-02-17,30.4,29,-2.5,▼,2.0,-7.6
7,2020-02-18,29.9,2,-0.5,▼,1.0,-1.6
8,2020-02-19,31.2,3,1.3,▲,2.0,4.3
9,2020-02-20,32.7,9,1.5,▲,3.0,4.8
10,2020-02-21,32.5,3,-0.2,▼,2.0,-0.6
11,2020-02-22,35.0,4,2.5,▲,3.0,7.7
12,2020-02-23,36.0,2,1.0,▲,4.0,2.9
13,2020-02-24,37.1,4,1.1,▲,5.0,3.1
14,2020-02-25,36.1,1,-1.0,▼,4.0,-2.7
15,2020-02-26,36.9,6,0.8,▲,5.0,2.2
16,2020-02-27,36.9,11,0.0,-,5.0,0.0
17,2020-02-28,36.9,5,0.0,-,5.0,0.0
18,2020-02-29,35.5,4,-1.4,▼,4.0,-3.8
19,2020-03-01,36.3,6,0.8,▲,5.0,2.3
20,2020-03-02,37.2,5,0.9,▲,6.0,2.5
21,2020-03-03,38.2,7,1.0,▲,7.0,2.7
22,2020-03-04,38.3,6,0.1,▲,8.0,0.3
23,2020-03-05,37.7,7,-0.6,▼,7.0,-1.6
24,2020-03-06,36.9,2,-0.8,▼,6.0,-2.1
25,2020-03-07,35.9,4,-1.0,▼,5.0,-2.7
26,2020-03-08,32.9,3,-3.0,▼,4.0,-8.4
27,2020-03-09,33.7,3,0.8,▲,5.0,2.4
28,2020-03-10,33.8,1,0.1,▲,6.0,0.3
29,2020-03-11,35.2,4,1.4,▲,7.0,4.1
30,2020-03-12,33.8,4,-1.4,▼,6.0,-4.0
31,2020-03-13,34.3,6,0.5,▲,7.0,1.5
32,2020-03-14,34.4,7,0.1,▲,8.0,0.3
33,2020-03-15,35.9,4,1.5,▲,9.0,4.4
34,2020-03-16,35.5,1,-0.4,▼,8.0,-1.1
35,2020-03-17,36.5,5,1.0,▲,9.0,2.8
36,2020-03-18,37.0,4,0.5,▲,10.0,1.4
37,2020-03-19,35.5,6,-1.5,▼,9.0,-4.1
38,2020-03-20,34.9,3,-0.6,▼,8.0,-1.7
39,2020-03-21,32.7,4,-2.2,▼,7.0,-6.3
40,2020-03-22,33.0,10,0.3,▲,8.0,0.9
41,2020-03-23,32.0,3,-1.0,▼,7.0,-3.0
42,2020-03-24,33.0,5,1.0,▲,8.0,3.1
43,2020-03-25,32.6,3,-0.4,▼,7.0,-1.2
44,2020-03-26,32.8,2,0.2,▲,8.0,0.6
45,2020-03-27,32.7,3,-0.1,▼,7.0,-0.3
46,2020-03-28,33.0,7,0.3,▲,8.0,0.9
47,2020-03-29,32.9,7,-0.1,▼,7.0,-0.3
48,2020-03-30,33.4,1,0.5,▲,8.0,1.5
49,2020-03-31,33.4,8,0.0,-,8.0,0.0
50,2020-04-01,33.2,6,-0.2,▼,7.0,-0.6
51,2020-04-02,32.4,8,-0.8,▼,6.0,-2.4
