,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,16.3,104,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,15.3,98,-1.0,▼,-1.0,-6.1,-6.0,98.0
2,2020-04-09,13.8,135,-1.5,▼,-2.0,-9.8,37.0,233.0
3,2020-04-10,13.2,124,-0.6,▼,-3.0,-4.3,-11.0,357.0
4,2020-04-11,13.2,72,0.0,-,-3.0,0.0,-52.0,429.0
5,2020-04-12,13.1,61,-0.1,▼,-4.0,-0.8,-11.0,490.0
6,2020-04-13,13.2,103,0.1,▲,-3.0,0.8,42.0,593.0
7,2020-04-14,12.9,6,-0.3,▼,-4.0,-2.3,-97.0,599.0
8,2020-04-15,12.4,21,-0.5,▼,-5.0,-3.9,15.0,620.0
9,2020-04-16,11.9,41,-0.5,▼,-6.0,-4.0,20.0,661.0
10,2020-04-17,11.3,32,-0.6,▼,-7.0,-5.0,-9.0,693.0
11,2020-04-18,10.6,38,-0.7,▼,-8.0,-6.2,6.0,731.0
12,2020-04-19,10.5,27,-0.1,▼,-9.0,-0.9,-11.0,758.0
13,2020-04-20,10.4,39,-0.1,▼,-10.0,-1.0,12.0,797.0
14,2020-04-21,10.1,14,-0.3,▼,-11.0,-2.9,-25.0,811.0
15,2020-04-22,10.0,23,-0.1,▼,-12.0,-1.0,9.0,834.0
16,2020-04-23,10.4,52,0.4,▲,-11.0,4.0,29.0,886.0
17,2020-04-24,10.0,86,-0.4,▼,-12.0,-3.8,34.0,972.0
18,2020-04-25,10.3,60,0.3,▲,-11.0,3.0,-26.0,1032.0
19,2020-04-26,10.6,62,0.3,▲,-10.0,2.9,2.0,1094.0
20,2020-04-27,10.7,100,0.1,▲,-9.0,0.9,38.0,1194.0
21,2020-04-28,11.1,157,0.4,▲,-8.0,3.7,57.0,1351.0
22,2020-04-29,12.2,86,1.1,▲,-7.0,9.9,-71.0,1437.0
23,2020-04-30,12.8,24,0.6,▲,-6.0,4.9,-62.0,1461.0
24,2020-05-01,13.8,30,1.0,▲,-5.0,7.8,6.0,1491.0
25,2020-05-02,14.9,36,1.1,▲,-4.0,8.0,6.0,1527.0
26,2020-05-03,14.9,6,0.0,-,-4.0,0.0,-30.0,1533.0
27,2020-05-04,15.6,22,0.7,▲,-3.0,4.7,16.0,1555.0
28,2020-05-05,15.9,37,0.3,▲,-2.0,1.9,15.0,1592.0
29,2020-05-06,15.9,30,0.0,-,-2.0,0.0,-7.0,1622.0
30,2020-05-07,15.7,24,-0.2,▼,-3.0,-1.3,-6.0,1646.0
31,2020-05-08,16.2,26,0.5,▲,-2.0,3.2,2.0,1672.0
32,2020-05-09,16.4,14,0.2,▲,-1.0,1.2,-12.0,1686.0
33,2020-05-10,16.4,51,0.0,-,-1.0,0.0,37.0,1737.0
34,2020-05-11,17.1,6,0.7,▲,0.0,4.3,-45.0,1743.0
35,2020-05-12,17.6,17,0.5,▲,1.0,2.9,11.0,1760.0
36,2020-05-13,17.6,25,0.0,-,1.0,0.0,8.0,1785.0
37,2020-05-14,17.7,27,0.1,▲,2.0,0.6,2.0,1812.0
38,2020-05-15,17.9,23,0.2,▲,3.0,1.1,-4.0,1835.0
39,2020-05-16,17.8,8,-0.1,▼,2.0,-0.6,-15.0,1843.0
40,2020-05-17,17.6,47,-0.2,▼,1.0,-1.1,39.0,1890.0
41,2020-05-18,18.3,20,0.7,▲,2.0,4.0,-27.0,1910.0
42,2020-05-19,17.7,25,-0.6,▼,1.0,-3.3,5.0,1935.0
43,2020-05-20,17.2,44,-0.5,▼,0.0,-2.8,19.0,1979.0
44,2020-05-21,16.2,26,-1.0,▼,-1.0,-5.8,-18.0,2005.0
45,2020-05-22,16.4,63,0.2,▲,0.0,1.2,37.0,2068.0
46,2020-05-23,16.0,51,-0.4,▼,-1.0,-2.4,-12.0,2119.0
47,2020-05-24,16.5,56,0.5,▲,0.0,3.1,5.0,2175.0
48,2020-05-25,17.3,50,0.8,▲,1.0,4.8,-6.0,2225.0
49,2020-05-26,17.8,30,0.5,▲,2.0,2.9,-20.0,2255.0
50,2020-05-27,17.6,35,-0.2,▼,1.0,-1.1,5.0,2290.0
51,2020-05-28,17.2,34,-0.4,▼,0.0,-2.3,-1.0,2324.0
52,2020-05-29,16.5,39,-0.7,▼,-1.0,-4.1,5.0,2363.0
53,2020-05-30,16.5,22,0.0,-,-1.0,0.0,-17.0,2385.0
54,2020-05-31,16.3,15,-0.2,▼,-2.0,-1.2,-7.0,2400.0
55,2020-06-01,16.0,37,-0.3,▼,-3.0,-1.8,22.0,2437.0
56,2020-06-02,15.8,16,-0.2,▼,-4.0,-1.2,-21.0,2453.0
57,2020-06-03,16.3,56,0.5,▲,-3.0,3.2,40.0,2509.0
58,2020-06-04,15.5,56,-0.8,▼,-4.0,-4.9,0.0,2565.0
59,2020-06-05,15.8,15,0.3,▲,-3.0,1.9,-41.0,2580.0
60,2020-06-06,16.6,33,0.8,▲,-2.0,5.1,18.0,2613.0
61,2020-06-07,17.0,73,0.4,▲,-1.0,2.4,40.0,2686.0
62,2020-06-08,17.0,44,0.0,-,-1.0,0.0,-29.0,2730.0
63,2020-06-09,17.5,26,0.5,▲,0.0,2.9,-18.0,2756.0
64,2020-06-10,17.4,20,-0.1,▼,-1.0,-0.6,-6.0,2776.0
65,2020-06-11,17.5,29,0.1,▲,0.0,0.6,9.0,2805.0
66,2020-06-12,17.6,155,0.1,▲,1.0,0.6,126.0,2960.0
67,2020-06-13,17.9,62,0.3,▲,2.0,1.7,-93.0,3022.0
68,2020-06-14,17.9,12,0.0,-,2.0,0.0,-50.0,3034.0
69,2020-06-15,18.1,76,0.2,▲,3.0,1.1,64.0,3110.0
70,2020-06-16,17.7,52,-0.4,▼,2.0,-2.2,-24.0,3162.0
71,2020-06-17,18.1,64,0.4,▲,3.0,2.3,12.0,3226.0
72,2020-06-18,18.1,19,0.0,-,3.0,0.0,-45.0,3245.0
73,2020-06-19,18.4,56,0.3,▲,4.0,1.7,37.0,3301.0
74,2020-06-20,18.0,10,-0.4,▼,3.0,-2.2,-46.0,3311.0
75,2020-06-21,17.8,11,-0.2,▼,2.0,-1.1,1.0,3322.0
76,2020-06-22,17.3,7,-0.5,▼,1.0,-2.8,-4.0,3329.0
77,2020-06-23,16.7,45,-0.6,▼,0.0,-3.5,38.0,3374.0
78,2020-06-24,15.6,59,-1.1,▼,-1.0,-6.6,14.0,3433.0
79,2020-06-25,15.5,24,-0.1,▼,-2.0,-0.6,-35.0,3457.0
80,2020-06-26,15.1,51,-0.4,▼,-3.0,-2.6,27.0,3508.0
81,2020-06-27,14.8,37,-0.3,▼,-4.0,-2.0,-14.0,3545.0
82,2020-06-28,14.7,46,-0.1,▼,-5.0,-0.7,9.0,3591.0
83,2020-06-29,15.1,15,0.4,▲,-4.0,2.7,-31.0,3606.0
84,2020-06-30,15.5,57,0.4,▲,-3.0,2.6,42.0,3663.0
85,2020-07-01,15.6,33,0.1,▲,-2.0,0.6,-24.0,3696.0
86,2020-07-02,15.6,29,0.0,-,-2.0,0.0,-4.0,3725.0
87,2020-07-03,16.0,60,0.4,▲,-1.0,2.6,31.0,3785.0
88,2020-07-04,16.1,53,0.1,▲,0.0,0.6,-7.0,3838.0
89,2020-07-05,16.1,62,0.0,-,0.0,0.0,9.0,3900.0
90,2020-07-06,16.0,30,-0.1,▼,-1.0,-0.6,-32.0,3930.0
91,2020-07-07,15.8,38,-0.2,▼,-2.0,-1.2,8.0,3968.0
92,2020-07-08,15.6,37,-0.2,▼,-3.0,-1.3,-1.0,4005.0
93,2020-07-09,15.6,20,0.0,-,-3.0,0.0,-17.0,4025.0
94,2020-07-10,15.5,64,-0.1,▼,-4.0,-0.6,44.0,4089.0
95,2020-07-11,16.1,70,0.6,▲,-3.0,3.9,6.0,4159.0
96,2020-07-12,17.0,47,0.9,▲,-2.0,5.6,-23.0,4206.0
97,2020-07-13,16.7,56,-0.3,▼,-3.0,-1.8,9.0,4262.0
98,2020-07-14,17.3,42,0.6,▲,-2.0,3.6,-14.0,4304.0
99,2020-07-15,17.1,48,-0.2,▼,-3.0,-1.2,6.0,4352.0
100,2020-07-16,17.1,68,0.0,-,-3.0,0.0,20.0,4420.0
101,2020-07-17,16.3,17,-0.8,▼,-4.0,-4.7,-51.0,4437.0
102,2020-07-18,17.0,76,0.7,▲,-3.0,4.3,59.0,4513.0
103,2020-07-19,16.2,61,-0.8,▼,-4.0,-4.7,-15.0,4574.0
104,2020-07-20,16.3,71,0.1,▲,-3.0,0.6,10.0,4645.0
105,2020-07-21,16.1,77,-0.2,▼,-4.0,-1.2,6.0,4722.0
106,2020-07-22,16.6,27,0.5,▲,-3.0,3.1,-50.0,4749.0
107,2020-07-23,16.2,12,-0.4,▼,-4.0,-2.4,-15.0,4761.0
108,2020-07-24,16.7,31,0.5,▲,-3.0,3.1,19.0,4792.0
109,2020-07-25,17.4,40,0.7,▲,-2.0,4.2,9.0,4832.0
110,2020-07-26,17.8,87,0.4,▲,-1.0,2.3,47.0,4919.0
111,2020-07-27,17.9,11,0.1,▲,0.0,0.6,-76.0,4930.0
112,2020-07-28,18.2,26,0.3,▲,1.0,1.7,15.0,4956.0
113,2020-07-29,18.3,39,0.1,▲,2.0,0.5,13.0,4995.0
114,2020-07-30,18.2,54,-0.1,▼,1.0,-0.5,15.0,5049.0
115,2020-07-31,18.3,5,0.1,▲,2.0,0.5,-49.0,5054.0
116,2020-08-01,18.5,48,0.2,▲,3.0,1.1,43.0,5102.0
