,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-07,2.9,8,0.0,-,0.0,0.0
1,2020-04-08,2.9,47,0.0,-,0.0,0.0
2,2020-04-09,3.2,4,0.3,▲,1.0,10.3
3,2020-04-11,3.1,7,-0.1,▼,0.0,-3.1
4,2020-04-12,3.1,13,0.0,-,0.0,0.0
5,2020-04-13,3.3,33,0.2,▲,1.0,6.5
6,2020-04-14,3.6,5,0.3,▲,2.0,9.1
7,2020-04-15,4.0,9,0.4,▲,3.0,11.1
8,2020-04-17,4.0,7,0.0,-,3.0,0.0
9,2020-04-18,4.0,18,0.0,-,3.0,0.0
10,2020-04-19,4.1,22,0.1,▲,4.0,2.5
11,2020-04-20,4.2,38,0.1,▲,5.0,2.4
12,2020-04-21,3.7,46,-0.5,▼,4.0,-11.9
13,2020-04-22,4.0,10,0.3,▲,5.0,8.1
14,2020-04-23,4.0,5,0.0,-,5.0,0.0
15,2020-04-24,4.1,1,0.1,▲,6.0,2.5
16,2020-04-27,3.9,8,-0.2,▼,5.0,-4.9
17,2020-04-28,4.7,44,0.8,▲,6.0,20.5
18,2020-04-29,4.5,15,-0.2,▼,5.0,-4.3
19,2020-04-30,4.3,14,-0.2,▼,4.0,-4.4
20,2020-05-01,4.1,2,-0.2,▼,3.0,-4.7
21,2020-05-02,4.3,13,0.2,▲,4.0,4.9
22,2020-05-03,3.7,19,-0.6,▼,3.0,-14.0
23,2020-05-06,3.9,2,0.2,▲,4.0,5.4
24,2020-05-08,4.5,19,0.6,▲,5.0,15.4
25,2020-05-09,4.5,4,0.0,-,5.0,0.0
26,2020-05-10,4.2,1,-0.3,▼,4.0,-6.7
27,2020-05-11,4.2,1,0.0,-,4.0,0.0
28,2020-05-12,4.0,1,-0.2,▼,3.0,-4.8
29,2020-05-13,3.8,30,-0.2,▼,2.0,-5.0
30,2020-05-14,3.8,1,0.0,-,2.0,0.0
31,2020-05-15,3.8,14,0.0,-,2.0,0.0
32,2020-05-16,3.7,5,-0.1,▼,1.0,-2.6
33,2020-05-17,3.5,39,-0.2,▼,0.0,-5.4
34,2020-05-18,3.3,15,-0.2,▼,-1.0,-5.7
35,2020-05-19,2.9,1,-0.4,▼,-2.0,-12.1
36,2020-05-22,3.1,19,0.2,▲,-1.0,6.9
37,2020-05-23,3.0,16,-0.1,▼,-2.0,-3.2
38,2020-05-24,3.0,5,0.0,-,-2.0,0.0
39,2020-05-25,3.2,14,0.2,▲,-1.0,6.7
40,2020-05-26,3.2,22,0.0,-,-1.0,0.0
