,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,3.0,78,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,3.2,22,0.2,▲,1.0,6.7,-56.0,22.0
2,2020-04-09,3.3,17,0.1,▲,2.0,3.1,-5.0,39.0
3,2020-04-10,3.3,133,0.0,-,2.0,0.0,116.0,172.0
4,2020-04-11,3.7,36,0.4,▲,3.0,12.1,-97.0,208.0
5,2020-04-12,3.7,44,0.0,-,3.0,0.0,8.0,252.0
6,2020-04-13,3.8,14,0.1,▲,4.0,2.7,-30.0,266.0
7,2020-04-14,3.8,31,0.0,-,4.0,0.0,17.0,297.0
8,2020-04-15,4.0,18,0.2,▲,5.0,5.3,-13.0,315.0
9,2020-04-16,4.1,10,0.1,▲,6.0,2.5,-8.0,325.0
10,2020-04-17,4.2,2,0.1,▲,7.0,2.4,-8.0,327.0
11,2020-04-18,4.2,17,0.0,-,7.0,0.0,15.0,344.0
12,2020-04-20,4.3,73,0.1,▲,8.0,2.4,56.0,417.0
13,2020-04-21,4.2,55,-0.1,▼,7.0,-2.3,-18.0,472.0
14,2020-04-22,4.3,15,0.1,▲,8.0,2.4,-40.0,487.0
15,2020-04-23,4.8,59,0.5,▲,9.0,11.6,44.0,546.0
16,2020-04-24,4.9,26,0.1,▲,10.0,2.1,-33.0,572.0
17,2020-04-25,4.9,18,0.0,-,10.0,0.0,-8.0,590.0
18,2020-04-26,5.1,18,0.2,▲,11.0,4.1,0.0,608.0
19,2020-04-27,5.2,18,0.1,▲,12.0,2.0,0.0,626.0
20,2020-04-28,5.4,42,0.2,▲,13.0,3.8,24.0,668.0
21,2020-04-29,5.3,31,-0.1,▼,12.0,-1.9,-11.0,699.0
22,2020-04-30,5.6,39,0.3,▲,13.0,5.7,8.0,738.0
23,2020-05-01,5.5,27,-0.1,▼,12.0,-1.8,-12.0,765.0
24,2020-05-02,5.3,14,-0.2,▼,11.0,-3.6,-13.0,779.0
25,2020-05-04,4.6,17,-0.7,▼,10.0,-13.2,3.0,796.0
26,2020-05-06,4.7,5,0.1,▲,11.0,2.2,-12.0,801.0
27,2020-05-07,4.4,16,-0.3,▼,10.0,-6.4,11.0,817.0
28,2020-05-08,4.5,1,0.1,▲,11.0,2.3,-15.0,818.0
29,2020-05-09,4.5,4,0.0,-,11.0,0.0,3.0,822.0
30,2020-05-10,4.6,12,0.1,▲,12.0,2.2,8.0,834.0
31,2020-05-12,4.7,8,0.1,▲,13.0,2.2,-4.0,842.0
32,2020-05-13,5.0,33,0.3,▲,14.0,6.4,25.0,875.0
33,2020-05-14,4.6,36,-0.4,▼,13.0,-8.0,3.0,911.0
34,2020-05-15,4.6,10,0.0,-,13.0,0.0,-26.0,921.0
35,2020-05-16,4.6,6,0.0,-,13.0,0.0,-4.0,927.0
36,2020-05-17,4.4,8,-0.2,▼,12.0,-4.3,2.0,935.0
37,2020-05-18,4.0,1,-0.4,▼,11.0,-9.1,-7.0,936.0
38,2020-05-19,4.4,1,0.4,▲,12.0,10.0,0.0,937.0
39,2020-05-20,4.5,1,0.1,▲,13.0,2.3,0.0,938.0
40,2020-05-22,4.3,20,-0.2,▼,12.0,-4.4,19.0,958.0
41,2020-05-23,4.2,44,-0.1,▼,11.0,-2.3,24.0,1002.0
42,2020-05-24,4.0,21,-0.2,▼,10.0,-4.8,-23.0,1023.0
43,2020-05-26,3.8,17,-0.2,▼,9.0,-5.0,-4.0,1040.0
44,2020-05-27,3.3,35,-0.5,▼,8.0,-13.2,18.0,1075.0
45,2020-05-28,3.2,34,-0.1,▼,7.0,-3.0,-1.0,1109.0
46,2020-05-31,2.9,6,-0.3,▼,6.0,-9.4,-28.0,1115.0
47,2020-06-01,2.8,30,-0.1,▼,5.0,-3.4,24.0,1145.0
48,2020-06-02,2.4,2,-0.4,▼,4.0,-14.3,-28.0,1147.0
49,2020-06-03,2.5,1,0.1,▲,5.0,4.2,-1.0,1148.0
50,2020-06-05,2.3,15,-0.2,▼,4.0,-8.0,14.0,1163.0
51,2020-06-07,2.3,2,0.0,-,4.0,0.0,-13.0,1165.0
52,2020-06-08,2.4,15,0.1,▲,5.0,4.3,13.0,1180.0
53,2020-06-12,2.4,30,0.0,-,5.0,0.0,15.0,1210.0
54,2020-06-13,2.2,6,-0.2,▼,4.0,-8.3,-24.0,1216.0
55,2020-06-14,2.3,14,0.1,▲,5.0,4.5,8.0,1230.0
56,2020-06-16,2.4,12,0.1,▲,6.0,4.3,-2.0,1242.0
57,2020-06-17,2.4,1,0.0,-,6.0,0.0,-11.0,1243.0
58,2020-06-19,2.4,11,0.0,-,6.0,0.0,10.0,1254.0
59,2020-06-20,2.4,1,0.0,-,6.0,0.0,-10.0,1255.0
60,2020-06-21,2.3,1,-0.1,▼,5.0,-4.2,0.0,1256.0
61,2020-06-22,2.2,16,-0.1,▼,4.0,-4.3,15.0,1272.0
62,2020-06-24,2.0,5,-0.2,▼,3.0,-9.1,-11.0,1277.0
63,2020-06-25,2.2,15,0.2,▲,4.0,10.0,10.0,1292.0
64,2020-06-27,2.4,1,0.2,▲,5.0,9.1,-14.0,1293.0
65,2020-07-02,2.2,23,-0.2,▼,4.0,-8.3,22.0,1316.0
66,2020-07-03,2.0,4,-0.2,▼,3.0,-9.1,-19.0,1320.0
67,2020-07-04,2.0,13,0.0,-,3.0,0.0,9.0,1333.0
68,2020-07-05,1.8,29,-0.2,▼,2.0,-10.0,16.0,1362.0
69,2020-07-06,1.6,28,-0.2,▼,1.0,-11.1,-1.0,1390.0
70,2020-07-08,1.7,2,0.1,▲,2.0,6.2,-26.0,1392.0
71,2020-07-09,2.1,20,0.4,▲,3.0,23.5,18.0,1412.0
72,2020-07-10,1.9,8,-0.2,▼,2.0,-9.5,-12.0,1420.0
73,2020-07-11,2.1,8,0.2,▲,3.0,10.5,0.0,1428.0
74,2020-07-12,2.0,17,-0.1,▼,2.0,-4.8,9.0,1445.0
75,2020-07-13,2.3,2,0.3,▲,3.0,15.0,-15.0,1447.0
76,2020-07-14,2.0,4,-0.3,▼,2.0,-13.0,2.0,1451.0
77,2020-07-16,2.3,22,0.3,▲,3.0,15.0,18.0,1473.0
78,2020-07-17,2.1,6,-0.2,▼,2.0,-8.7,-16.0,1479.0
79,2020-07-18,2.4,1,0.3,▲,3.0,14.3,-5.0,1480.0
80,2020-07-19,2.2,28,-0.2,▼,2.0,-8.3,27.0,1508.0
81,2020-07-21,2.4,15,0.2,▲,3.0,9.1,-13.0,1523.0
82,2020-07-23,2.3,12,-0.1,▼,2.0,-4.2,-3.0,1535.0
83,2020-07-24,2.3,21,0.0,-,2.0,0.0,9.0,1556.0
84,2020-07-26,2.1,11,-0.2,▼,1.0,-8.7,-10.0,1567.0
85,2020-08-02,2.1,25,0.0,-,1.0,0.0,14.0,1592.0
86,2020-08-03,1.8,9,-0.3,▼,0.0,-14.3,-16.0,1601.0
87,2020-08-04,1.8,12,0.0,-,0.0,0.0,3.0,1613.0
88,2020-08-06,2.0,18,0.2,▲,1.0,11.1,6.0,1631.0
89,2020-08-07,1.9,10,-0.1,▼,0.0,-5.0,-8.0,1641.0
90,2020-08-09,1.9,3,0.0,-,0.0,0.0,-7.0,1644.0
91,2020-08-11,2.2,13,0.3,▲,1.0,15.8,10.0,1657.0
92,2020-08-14,2.2,6,0.0,-,1.0,0.0,-7.0,1663.0
93,2020-08-15,2.1,17,-0.1,▼,0.0,-4.5,11.0,1680.0
94,2020-08-16,2.2,1,0.1,▲,1.0,4.8,-16.0,1681.0
95,2020-08-17,2.3,20,0.1,▲,2.0,4.5,19.0,1701.0
96,2020-08-18,2.2,6,-0.1,▼,1.0,-4.3,-14.0,1707.0
97,2020-08-19,2.2,11,0.0,-,1.0,0.0,5.0,1718.0
98,2020-08-21,2.7,4,0.5,▲,2.0,22.7,-7.0,1722.0
99,2020-08-22,2.7,17,0.0,-,2.0,0.0,13.0,1739.0
100,2020-08-23,2.6,15,-0.1,▼,1.0,-3.7,-2.0,1754.0
101,2020-08-24,2.6,4,0.0,-,1.0,0.0,-11.0,1758.0
102,2020-08-25,2.5,7,-0.1,▼,0.0,-3.8,3.0,1765.0
103,2020-08-28,2.5,13,0.0,-,0.0,0.0,6.0,1778.0
104,2020-08-29,2.5,3,0.0,-,0.0,0.0,-10.0,1781.0
105,2020-08-30,2.5,3,0.0,-,0.0,0.0,0.0,1784.0
106,2020-08-31,2.7,5,0.2,▲,1.0,8.0,2.0,1789.0
107,2020-09-02,2.7,3,0.0,-,1.0,0.0,-2.0,1792.0
108,2020-09-03,1.9,12,-0.8,▼,0.0,-29.6,9.0,1804.0
109,2020-09-05,1.8,10,-0.1,▼,-1.0,-5.3,-2.0,1814.0
110,2020-09-06,1.9,29,0.1,▲,0.0,5.6,19.0,1843.0
111,2020-09-07,1.8,20,-0.1,▼,-1.0,-5.3,-9.0,1863.0
112,2020-09-08,1.7,1,-0.1,▼,-2.0,-5.6,-19.0,1864.0
113,2020-09-11,1.8,28,0.1,▲,-1.0,5.9,27.0,1892.0
114,2020-09-13,1.9,25,0.1,▲,0.0,5.6,-3.0,1917.0
115,2020-09-14,1.8,4,-0.1,▼,-1.0,-5.3,-21.0,1921.0
116,2020-09-15,1.7,13,-0.1,▼,-2.0,-5.6,9.0,1934.0
117,2020-09-16,1.9,21,0.2,▲,-1.0,11.8,8.0,1955.0
118,2020-09-17,2.0,3,0.1,▲,0.0,5.3,-18.0,1958.0
119,2020-09-18,1.8,11,-0.2,▼,-1.0,-10.0,8.0,1969.0
120,2020-09-20,1.8,18,0.0,-,-1.0,0.0,7.0,1987.0
121,2020-09-22,1.9,9,0.1,▲,0.0,5.6,-9.0,1996.0
122,2020-09-23,1.9,3,0.0,-,0.0,0.0,-6.0,1999.0
123,2020-09-24,1.9,7,0.0,-,0.0,0.0,4.0,2006.0
124,2020-09-27,2.1,8,0.2,▲,1.0,10.5,1.0,2014.0
125,2020-09-30,2.7,10,0.6,▲,2.0,28.6,2.0,2024.0
126,2020-10-01,2.6,6,-0.1,▼,1.0,-3.7,-4.0,2030.0
127,2020-10-02,2.5,5,-0.1,▼,0.0,-3.8,-1.0,2035.0
128,2020-10-03,2.5,11,0.0,-,0.0,0.0,6.0,2046.0
129,2020-10-04,2.5,1,0.0,-,0.0,0.0,-10.0,2047.0
130,2020-10-05,2.1,19,-0.4,▼,-1.0,-16.0,18.0,2066.0
131,2020-10-06,2.1,3,0.0,-,-1.0,0.0,-16.0,2069.0
132,2020-10-07,2.2,6,0.1,▲,0.0,4.8,3.0,2075.0
133,2020-10-11,2.2,2,0.0,-,0.0,0.0,-4.0,2077.0
134,2020-10-12,2.2,3,0.0,-,0.0,0.0,1.0,2080.0
135,2020-10-17,2.6,5,0.4,▲,1.0,18.2,2.0,2085.0
136,2020-10-21,2.7,6,0.1,▲,2.0,3.8,1.0,2091.0
137,2020-10-22,2.7,1,0.0,-,2.0,0.0,-5.0,2092.0
138,2020-10-23,2.7,1,0.0,-,2.0,0.0,0.0,2093.0
139,2020-10-28,2.7,1,0.0,-,2.0,0.0,0.0,2094.0
140,2020-10-31,2.3,5,-0.4,▼,1.0,-14.8,4.0,2099.0
141,2020-11-04,2.2,20,-0.1,▼,0.0,-4.3,15.0,2119.0
142,2020-11-07,2.2,13,0.0,-,0.0,0.0,-7.0,2132.0
143,2020-11-08,2.0,11,-0.2,▼,-1.0,-9.1,-2.0,2143.0
144,2020-11-10,2.0,30,0.0,-,-1.0,0.0,19.0,2173.0
145,2020-11-13,1.8,26,-0.2,▼,-2.0,-10.0,-4.0,2199.0
146,2020-11-14,1.8,3,0.0,-,-2.0,0.0,-23.0,2202.0
147,2020-11-15,1.8,50,0.0,-,-2.0,0.0,47.0,2252.0
148,2020-11-20,1.8,4,0.0,-,-2.0,0.0,-46.0,2256.0
149,2020-11-21,1.8,11,0.0,-,-2.0,0.0,7.0,2267.0
150,2020-11-22,1.8,21,0.0,-,-2.0,0.0,10.0,2288.0
151,2020-11-23,1.8,4,0.0,-,-2.0,0.0,-17.0,2292.0
152,2020-11-27,2.4,2,0.6,▲,-1.0,33.3,-2.0,2294.0
153,2020-11-29,2.4,3,0.0,-,-1.0,0.0,1.0,2297.0
154,2020-12-01,2.3,20,-0.1,▼,-2.0,-4.2,17.0,2317.0
155,2020-12-02,2.1,2,-0.2,▼,-3.0,-8.7,-18.0,2319.0
156,2020-12-03,1.9,1,-0.2,▼,-4.0,-9.5,-1.0,2320.0
157,2020-12-08,1.1,4,-0.8,▼,-5.0,-42.1,3.0,2324.0
158,2020-12-11,1.1,1,0.0,-,-5.0,0.0,-3.0,2325.0
159,2020-12-14,1.1,10,0.0,-,-5.0,0.0,9.0,2335.0
160,2020-12-15,1.1,6,0.0,-,-5.0,0.0,-4.0,2341.0
161,2020-12-20,1.2,21,0.1,▲,-4.0,9.1,15.0,2362.0
162,2020-12-21,1.3,13,0.1,▲,-3.0,8.3,-8.0,2375.0
163,2020-12-22,1.5,5,0.2,▲,-2.0,15.4,-8.0,2380.0
164,2020-12-23,1.6,2,0.1,▲,-1.0,6.7,-3.0,2382.0
165,2020-12-24,1.8,11,0.2,▲,0.0,12.5,9.0,2393.0
166,2020-12-25,1.9,14,0.1,▲,1.0,5.6,3.0,2407.0
167,2020-12-27,2.1,79,0.2,▲,2.0,10.5,65.0,2486.0
168,2020-12-28,2.1,34,0.0,-,2.0,0.0,-45.0,2520.0
169,2020-12-29,1.9,1,-0.2,▼,1.0,-9.5,-33.0,2521.0
170,2020-12-31,2.1,1,0.2,▲,2.0,10.5,0.0,2522.0
171,2021-01-02,1.9,4,-0.2,▼,1.0,-9.5,3.0,2526.0
172,2021-01-03,1.8,17,-0.1,▼,0.0,-5.3,13.0,2543.0
173,2021-01-04,2.4,5,0.6,▲,1.0,33.3,-12.0,2548.0
