,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,9.9,85,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,10.2,75,0.3,▲,1.0,3.0,-10.0,75.0
2,2020-04-09,10.9,72,0.7,▲,2.0,6.9,-3.0,147.0
3,2020-04-10,11.5,46,0.6,▲,3.0,5.5,-26.0,193.0
4,2020-04-11,11.7,24,0.2,▲,4.0,1.7,-22.0,217.0
5,2020-04-12,11.2,27,-0.5,▼,3.0,-4.3,3.0,244.0
6,2020-04-13,11.0,105,-0.2,▼,2.0,-1.8,78.0,349.0
7,2020-04-14,10.7,21,-0.3,▼,1.0,-2.7,-84.0,370.0
8,2020-04-15,10.0,61,-0.7,▼,0.0,-6.5,40.0,431.0
9,2020-04-16,9.8,123,-0.2,▼,-1.0,-2.0,62.0,554.0
10,2020-04-17,9.9,95,0.1,▲,0.0,1.0,-28.0,649.0
11,2020-04-18,9.8,33,-0.1,▼,-1.0,-1.0,-62.0,682.0
12,2020-04-19,9.6,43,-0.2,▼,-2.0,-2.0,10.0,725.0
13,2020-04-20,9.5,59,-0.1,▼,-3.0,-1.0,16.0,784.0
14,2020-04-21,9.9,48,0.4,▲,-2.0,4.2,-11.0,832.0
15,2020-04-22,9.8,41,-0.1,▼,-3.0,-1.0,-7.0,873.0
16,2020-04-23,9.8,67,0.0,-,-3.0,0.0,26.0,940.0
17,2020-04-24,9.8,80,0.0,-,-3.0,0.0,13.0,1020.0
18,2020-04-25,9.8,63,0.0,-,-3.0,0.0,-17.0,1083.0
19,2020-04-26,9.4,49,-0.4,▼,-4.0,-4.1,-14.0,1132.0
20,2020-04-27,9.6,120,0.2,▲,-3.0,2.1,71.0,1252.0
21,2020-04-28,10.1,127,0.5,▲,-2.0,5.2,7.0,1379.0
22,2020-04-29,10.9,21,0.8,▲,-1.0,7.9,-106.0,1400.0
23,2020-04-30,11.4,55,0.5,▲,0.0,4.6,34.0,1455.0
24,2020-05-01,11.5,23,0.1,▲,1.0,0.9,-32.0,1478.0
25,2020-05-02,12.2,63,0.7,▲,2.0,6.1,40.0,1541.0
26,2020-05-03,12.3,80,0.1,▲,3.0,0.8,17.0,1621.0
27,2020-05-04,11.9,55,-0.4,▼,2.0,-3.3,-25.0,1676.0
28,2020-05-05,11.6,34,-0.3,▼,1.0,-2.5,-21.0,1710.0
29,2020-05-06,11.6,50,0.0,-,1.0,0.0,16.0,1760.0
30,2020-05-07,11.2,70,-0.4,▼,0.0,-3.4,20.0,1830.0
31,2020-05-08,11.0,41,-0.2,▼,-1.0,-1.8,-29.0,1871.0
32,2020-05-09,11.4,41,0.4,▲,0.0,3.6,0.0,1912.0
33,2020-05-10,11.2,66,-0.2,▼,-1.0,-1.8,25.0,1978.0
34,2020-05-11,11.2,46,0.0,-,-1.0,0.0,-20.0,2024.0
35,2020-05-12,10.6,55,-0.6,▼,-2.0,-5.4,9.0,2079.0
36,2020-05-13,10.3,41,-0.3,▼,-3.0,-2.8,-14.0,2120.0
37,2020-05-14,9.5,32,-0.8,▼,-4.0,-7.8,-9.0,2152.0
38,2020-05-15,9.8,87,0.3,▲,-3.0,3.2,55.0,2239.0
39,2020-05-16,9.7,64,-0.1,▼,-4.0,-1.0,-23.0,2303.0
40,2020-05-17,10.4,32,0.7,▲,-3.0,7.2,-32.0,2335.0
41,2020-05-18,10.6,33,0.2,▲,-2.0,1.9,1.0,2368.0
42,2020-05-19,11.2,26,0.6,▲,-1.0,5.7,-7.0,2394.0
43,2020-05-20,11.3,50,0.1,▲,0.0,0.9,24.0,2444.0
44,2020-05-21,11.7,43,0.4,▲,1.0,3.5,-7.0,2487.0
45,2020-05-22,11.4,8,-0.3,▼,0.0,-2.6,-35.0,2495.0
46,2020-05-23,11.5,57,0.1,▲,1.0,0.9,49.0,2552.0
