,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,11.7,46,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,11.8,63,0.1,▲,1.0,0.9,17.0,63.0
2,2020-04-09,11.3,32,-0.5,▼,0.0,-4.2,-31.0,95.0
3,2020-04-10,10.9,56,-0.4,▼,-1.0,-3.5,24.0,151.0
4,2020-04-11,11.0,35,0.1,▲,0.0,0.9,-21.0,186.0
5,2020-04-12,10.6,68,-0.4,▼,-1.0,-3.6,33.0,254.0
6,2020-04-13,10.3,56,-0.3,▼,-2.0,-2.8,-12.0,310.0
7,2020-04-14,10.6,18,0.3,▲,-1.0,2.9,-38.0,328.0
8,2020-04-15,10.9,28,0.3,▲,0.0,2.8,10.0,356.0
9,2020-04-16,11.2,60,0.3,▲,1.0,2.8,32.0,416.0
10,2020-04-17,10.9,70,-0.3,▼,0.0,-2.7,10.0,486.0
11,2020-04-18,11.6,108,0.7,▲,1.0,6.4,38.0,594.0
12,2020-04-19,12.0,85,0.4,▲,2.0,3.4,-23.0,679.0
13,2020-04-20,12.4,58,0.4,▲,3.0,3.3,-27.0,737.0
14,2020-04-21,13.1,99,0.7,▲,4.0,5.6,41.0,836.0
15,2020-04-22,13.8,44,0.7,▲,5.0,5.3,-55.0,880.0
16,2020-04-23,13.3,62,-0.5,▼,4.0,-3.6,18.0,942.0
17,2020-04-24,13.3,25,0.0,-,4.0,0.0,-37.0,967.0
18,2020-04-25,13.3,32,0.0,-,4.0,0.0,7.0,999.0
19,2020-04-26,13.4,37,0.1,▲,5.0,0.8,5.0,1036.0
20,2020-04-27,13.6,96,0.2,▲,6.0,1.5,59.0,1132.0
21,2020-04-28,14.5,107,0.9,▲,7.0,6.6,11.0,1239.0
22,2020-04-29,14.8,82,0.3,▲,8.0,2.1,-25.0,1321.0
23,2020-04-30,14.6,45,-0.2,▼,7.0,-1.4,-37.0,1366.0
24,2020-05-01,14.5,82,-0.1,▼,6.0,-0.7,37.0,1448.0
25,2020-05-02,14.4,32,-0.1,▼,5.0,-0.7,-50.0,1480.0
26,2020-05-03,14.0,51,-0.4,▼,4.0,-2.8,19.0,1531.0
27,2020-05-04,13.3,58,-0.7,▼,3.0,-5.0,7.0,1589.0
28,2020-05-05,13.1,87,-0.2,▼,2.0,-1.5,29.0,1676.0
29,2020-05-06,12.3,72,-0.8,▼,1.0,-6.1,-15.0,1748.0
30,2020-05-07,11.7,137,-0.6,▼,0.0,-4.9,65.0,1885.0
