,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,15.4,73,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,15.0,123,-0.4,▼,-1.0,-2.6,50.0,123.0
2,2020-04-09,14.5,100,-0.5,▼,-2.0,-3.3,-23.0,223.0
3,2020-04-10,13.6,155,-0.9,▼,-3.0,-6.2,55.0,378.0
4,2020-04-11,13.4,89,-0.2,▼,-4.0,-1.5,-66.0,467.0
5,2020-04-12,12.9,52,-0.5,▼,-5.0,-3.7,-37.0,519.0
6,2020-04-13,12.2,105,-0.7,▼,-6.0,-5.4,53.0,624.0
7,2020-04-14,12.2,66,0.0,-,-6.0,0.0,-39.0,690.0
8,2020-04-15,12.2,93,0.0,-,-6.0,0.0,27.0,783.0
9,2020-04-16,12.0,52,-0.2,▼,-7.0,-1.6,-41.0,835.0
10,2020-04-17,11.7,170,-0.3,▼,-8.0,-2.5,118.0,1005.0
11,2020-04-18,11.4,17,-0.3,▼,-9.0,-2.6,-153.0,1022.0
12,2020-04-19,10.9,41,-0.5,▼,-10.0,-4.4,24.0,1063.0
13,2020-04-20,10.7,60,-0.2,▼,-11.0,-1.8,19.0,1123.0
14,2020-04-21,10.3,31,-0.4,▼,-12.0,-3.7,-29.0,1154.0
15,2020-04-22,10.3,20,0.0,-,-12.0,0.0,-11.0,1174.0
16,2020-04-23,10.3,55,0.0,-,-12.0,0.0,35.0,1229.0
17,2020-04-24,10.2,29,-0.1,▼,-13.0,-1.0,-26.0,1258.0
18,2020-04-25,10.2,20,0.0,-,-13.0,0.0,-9.0,1278.0
19,2020-04-26,10.1,28,-0.1,▼,-14.0,-1.0,8.0,1306.0
20,2020-04-27,10.3,50,0.2,▲,-13.0,2.0,22.0,1356.0
21,2020-04-28,10.9,140,0.6,▲,-12.0,5.8,90.0,1496.0
22,2020-04-29,11.5,105,0.6,▲,-11.0,5.5,-35.0,1601.0
23,2020-04-30,11.9,21,0.4,▲,-10.0,3.5,-84.0,1622.0
24,2020-05-01,13.3,46,1.4,▲,-9.0,11.8,25.0,1668.0
25,2020-05-02,14.2,57,0.9,▲,-8.0,6.8,11.0,1725.0
26,2020-05-03,14.3,18,0.1,▲,-7.0,0.7,-39.0,1743.0
27,2020-05-04,14.6,44,0.3,▲,-6.0,2.1,26.0,1787.0
28,2020-05-05,15.1,60,0.5,▲,-5.0,3.4,16.0,1847.0
29,2020-05-06,14.2,42,-0.9,▼,-6.0,-6.0,-18.0,1889.0
30,2020-05-07,13.3,35,-0.9,▼,-7.0,-6.3,-7.0,1924.0
31,2020-05-08,13.8,42,0.5,▲,-6.0,3.8,7.0,1966.0
32,2020-05-09,13.8,8,0.0,-,-6.0,0.0,-34.0,1974.0
33,2020-05-10,13.5,42,-0.3,▼,-7.0,-2.2,34.0,2016.0
34,2020-05-11,14.4,6,0.9,▲,-6.0,6.7,-36.0,2022.0
35,2020-05-12,15.2,133,0.8,▲,-5.0,5.6,127.0,2155.0
36,2020-05-13,14.7,43,-0.5,▼,-6.0,-3.3,-90.0,2198.0
37,2020-05-14,14.6,17,-0.1,▼,-7.0,-0.7,-26.0,2215.0
38,2020-05-15,14.9,42,0.3,▲,-6.0,2.1,25.0,2257.0
39,2020-05-16,14.4,66,-0.5,▼,-7.0,-3.4,24.0,2323.0
40,2020-05-17,14.3,28,-0.1,▼,-8.0,-0.7,-38.0,2351.0
41,2020-05-18,14.7,20,0.4,▲,-7.0,2.8,-8.0,2371.0
42,2020-05-19,14.6,27,-0.1,▼,-8.0,-0.7,7.0,2398.0
43,2020-05-20,14.6,33,0.0,-,-8.0,0.0,6.0,2431.0
44,2020-05-21,14.5,34,-0.1,▼,-9.0,-0.7,1.0,2465.0
45,2020-05-22,13.9,42,-0.6,▼,-10.0,-4.1,8.0,2507.0
46,2020-05-23,13.8,99,-0.1,▼,-11.0,-0.7,57.0,2606.0
47,2020-05-24,14.3,46,0.5,▲,-10.0,3.6,-53.0,2652.0
48,2020-05-25,14.2,59,-0.1,▼,-11.0,-0.7,13.0,2711.0
49,2020-05-26,14.1,11,-0.1,▼,-12.0,-0.7,-48.0,2722.0
50,2020-05-27,14.5,31,0.4,▲,-11.0,2.8,20.0,2753.0
51,2020-05-28,14.3,17,-0.2,▼,-12.0,-1.4,-14.0,2770.0
52,2020-05-29,14.0,25,-0.3,▼,-13.0,-2.1,8.0,2795.0
53,2020-05-30,13.3,14,-0.7,▼,-14.0,-5.0,-11.0,2809.0
54,2020-05-31,13.3,49,0.0,-,-14.0,0.0,35.0,2858.0
55,2020-06-01,13.8,27,0.5,▲,-13.0,3.8,-22.0,2885.0
56,2020-06-02,13.5,40,-0.3,▼,-14.0,-2.2,13.0,2925.0
57,2020-06-03,13.2,24,-0.3,▼,-15.0,-2.2,-16.0,2949.0
58,2020-06-04,13.5,11,0.3,▲,-14.0,2.3,-13.0,2960.0
59,2020-06-05,13.1,49,-0.4,▼,-15.0,-3.0,38.0,3009.0
60,2020-06-06,12.6,37,-0.5,▼,-16.0,-3.8,-12.0,3046.0
61,2020-06-07,12.5,22,-0.1,▼,-17.0,-0.8,-15.0,3068.0
62,2020-06-08,12.4,31,-0.1,▼,-18.0,-0.8,9.0,3099.0
63,2020-06-09,12.8,46,0.4,▲,-17.0,3.2,15.0,3145.0
64,2020-06-10,13.0,33,0.2,▲,-16.0,1.6,-13.0,3178.0
65,2020-06-11,13.0,34,0.0,-,-16.0,0.0,1.0,3212.0
66,2020-06-12,13.1,43,0.1,▲,-15.0,0.8,9.0,3255.0
67,2020-06-13,13.3,11,0.2,▲,-14.0,1.5,-32.0,3266.0
68,2020-06-14,13.1,43,-0.2,▼,-15.0,-1.5,32.0,3309.0
69,2020-06-15,13.4,52,0.3,▲,-14.0,2.3,9.0,3361.0
70,2020-06-16,13.1,12,-0.3,▼,-15.0,-2.2,-40.0,3373.0
71,2020-06-17,13.1,78,0.0,-,-15.0,0.0,66.0,3451.0
72,2020-06-18,12.6,12,-0.5,▼,-16.0,-3.8,-66.0,3463.0
73,2020-06-19,12.2,44,-0.4,▼,-17.0,-3.2,32.0,3507.0
74,2020-06-20,11.9,72,-0.3,▼,-18.0,-2.5,28.0,3579.0
75,2020-06-21,11.5,27,-0.4,▼,-19.0,-3.4,-45.0,3606.0
76,2020-06-22,11.6,90,0.1,▲,-18.0,0.9,63.0,3696.0
77,2020-06-23,11.9,38,0.3,▲,-17.0,2.6,-52.0,3734.0
78,2020-06-24,11.7,48,-0.2,▼,-18.0,-1.7,10.0,3782.0
79,2020-06-25,11.1,12,-0.6,▼,-19.0,-5.1,-36.0,3794.0
