,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-07,5.3,26,0.0,-,0.0,0.0
1,2020-04-08,5.4,30,0.1,▲,1.0,1.9
2,2020-04-09,4.8,31,-0.6,▼,0.0,-11.1
3,2020-04-10,5.1,2,0.3,▲,1.0,6.2
4,2020-04-11,4.8,12,-0.3,▼,0.0,-5.9
5,2020-04-12,5.0,16,0.2,▲,1.0,4.2
6,2020-04-13,4.9,3,-0.1,▼,0.0,-2.0
7,2020-04-14,5.2,2,0.3,▲,1.0,6.1
8,2020-04-15,5.1,32,-0.1,▼,0.0,-1.9
9,2020-04-16,5.2,11,0.1,▲,1.0,2.0
10,2020-04-17,5.8,14,0.6,▲,2.0,11.5
11,2020-04-18,6.1,10,0.3,▲,3.0,5.2
12,2020-04-19,5.8,55,-0.3,▼,2.0,-4.9
13,2020-04-20,5.6,21,-0.2,▼,1.0,-3.4
14,2020-04-21,5.1,25,-0.5,▼,0.0,-8.9
15,2020-04-22,4.7,14,-0.4,▼,-1.0,-7.8
16,2020-04-24,4.7,35,0.0,-,-1.0,0.0
17,2020-04-25,4.6,8,-0.1,▼,-2.0,-2.1
18,2020-04-26,4.7,10,0.1,▲,-1.0,2.2
19,2020-04-27,5.0,7,0.3,▲,0.0,6.4
20,2020-04-28,5.4,71,0.4,▲,1.0,8.0
21,2020-04-29,6.0,27,0.6,▲,2.0,11.1
22,2020-04-30,7.2,7,1.2,▲,3.0,20.0
23,2020-05-01,8.0,4,0.8,▲,4.0,11.1
24,2020-05-02,7.8,26,-0.2,▼,3.0,-2.5
25,2020-05-03,7.5,18,-0.3,▼,2.0,-3.8
26,2020-05-04,6.2,12,-1.3,▼,1.0,-17.3
27,2020-05-05,5.1,5,-1.1,▼,0.0,-17.7
28,2020-05-06,4.3,1,-0.8,▼,-1.0,-15.7
29,2020-05-07,4.8,45,0.5,▲,0.0,11.6
30,2020-05-08,4.7,7,-0.1,▼,-1.0,-2.1
31,2020-05-09,4.8,33,0.1,▲,0.0,2.1
32,2020-05-10,4.9,5,0.1,▲,1.0,2.1
33,2020-05-12,4.9,4,0.0,-,1.0,0.0
34,2020-05-13,4.6,27,-0.3,▼,0.0,-6.1
35,2020-05-14,4.4,2,-0.2,▼,-1.0,-4.3
36,2020-05-15,4.7,3,0.3,▲,0.0,6.8
37,2020-05-17,4.6,15,-0.1,▼,-1.0,-2.1
38,2020-05-18,4.4,5,-0.2,▼,-2.0,-4.3
39,2020-05-19,4.4,7,0.0,-,-2.0,0.0
40,2020-05-21,4.4,50,0.0,-,-2.0,0.0
41,2020-05-22,4.2,3,-0.2,▼,-3.0,-4.5
42,2020-05-23,3.9,2,-0.3,▼,-4.0,-7.1
43,2020-05-24,3.7,7,-0.2,▼,-5.0,-5.1
44,2020-05-25,3.5,38,-0.2,▼,-6.0,-5.4
45,2020-05-26,3.3,11,-0.2,▼,-7.0,-5.7
46,2020-05-27,3.4,7,0.1,▲,-6.0,3.0
47,2020-05-28,3.4,2,0.0,-,-6.0,0.0
48,2020-05-29,3.6,3,0.2,▲,-5.0,5.9
49,2020-05-30,3.9,22,0.3,▲,-4.0,8.3
50,2020-05-31,4.1,6,0.2,▲,-3.0,5.1
51,2020-06-01,4.0,5,-0.1,▼,-4.0,-2.4
52,2020-06-02,3.8,1,-0.2,▼,-5.0,-5.0
53,2020-06-03,4.1,11,0.3,▲,-4.0,7.9
54,2020-06-04,4.4,19,0.3,▲,-3.0,7.3
