,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-07,7.8,15,0.0,-,0.0,0.0
1,2020-04-08,7.4,25,-0.4,▼,-1.0,-5.1
2,2020-04-09,7.8,13,0.4,▲,0.0,5.4
3,2020-04-10,7.8,17,0.0,-,0.0,0.0
4,2020-04-11,8.4,21,0.6,▲,1.0,7.7
5,2020-04-12,9.0,18,0.6,▲,2.0,7.1
6,2020-04-13,10.1,34,1.1,▲,3.0,12.2
7,2020-04-15,10.0,7,-0.1,▼,2.0,-1.0
8,2020-04-16,10.2,7,0.2,▲,3.0,2.0
9,2020-04-17,9.9,8,-0.3,▼,2.0,-2.9
10,2020-04-18,9.9,42,0.0,-,2.0,0.0
11,2020-04-19,9.3,31,-0.6,▼,1.0,-6.1
12,2020-04-20,8.8,26,-0.5,▼,0.0,-5.4
13,2020-04-21,9.6,22,0.8,▲,1.0,9.1
14,2020-04-22,9.9,20,0.3,▲,2.0,3.1
15,2020-04-23,9.5,5,-0.4,▼,1.0,-4.0
16,2020-04-24,9.5,14,0.0,-,1.0,0.0
17,2020-04-25,10.2,21,0.7,▲,2.0,7.4
18,2020-04-26,9.6,17,-0.6,▼,1.0,-5.9
19,2020-04-27,8.8,13,-0.8,▼,0.0,-8.3
20,2020-04-28,10.1,34,1.3,▲,1.0,14.8
21,2020-04-29,10.1,42,0.0,-,1.0,0.0
22,2020-04-30,11.2,9,1.1,▲,2.0,10.9
23,2020-05-01,11.3,7,0.1,▲,3.0,0.9
24,2020-05-02,12.3,6,1.0,▲,4.0,8.8
25,2020-05-03,11.4,19,-0.9,▼,3.0,-7.3
26,2020-05-04,11.8,9,0.4,▲,4.0,3.5
27,2020-05-05,11.8,8,0.0,-,4.0,0.0
28,2020-05-07,11.6,9,-0.2,▼,3.0,-1.7
29,2020-05-08,11.0,10,-0.6,▼,2.0,-5.2
30,2020-05-09,10.6,8,-0.4,▼,1.0,-3.6
31,2020-05-10,10.1,5,-0.5,▼,0.0,-4.7
32,2020-05-11,8.9,4,-1.2,▼,-1.0,-11.9
33,2020-05-12,8.6,16,-0.3,▼,-2.0,-3.4
34,2020-05-13,8.4,15,-0.2,▼,-3.0,-2.3
35,2020-05-14,8.0,9,-0.4,▼,-4.0,-4.8
36,2020-05-15,8.1,10,0.1,▲,-3.0,1.2
