,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-10,8.9,12,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-11,8.9,6,0.0,-,0.0,0.0,-6.0,6.0
2,2020-04-12,9.1,13,0.2,▲,1.0,2.2,7.0,19.0
3,2020-04-13,9.7,15,0.6,▲,2.0,6.6,2.0,34.0
4,2020-04-14,9.3,15,-0.4,▼,1.0,-4.1,0.0,49.0
5,2020-04-15,9.2,21,-0.1,▼,0.0,-1.1,6.0,70.0
6,2020-04-16,10.5,10,1.3,▲,1.0,14.1,-11.0,80.0
7,2020-04-17,11.1,1,0.6,▲,2.0,5.7,-9.0,81.0
8,2020-04-19,10.9,10,-0.2,▼,1.0,-1.8,9.0,91.0
9,2020-04-20,10.9,14,0.0,-,1.0,0.0,4.0,105.0
10,2020-04-24,11.2,3,0.3,▲,2.0,2.8,-11.0,108.0
11,2020-05-02,10.4,1,-0.8,▼,1.0,-7.1,-2.0,109.0
12,2020-05-04,9.6,11,-0.8,▼,0.0,-7.7,10.0,120.0
13,2020-05-10,9.4,21,-0.2,▼,-1.0,-2.1,10.0,141.0
14,2020-05-11,9.4,2,0.0,-,-1.0,0.0,-19.0,143.0
15,2020-05-13,8.9,18,-0.5,▼,-2.0,-5.3,16.0,161.0
16,2020-05-14,9.3,6,0.4,▲,-1.0,4.5,-12.0,167.0
17,2020-05-15,9.5,17,0.2,▲,0.0,2.2,11.0,184.0
18,2020-05-19,10.1,2,0.6,▲,1.0,6.3,-15.0,186.0
19,2020-05-20,9.9,5,-0.2,▼,0.0,-2.0,3.0,191.0
20,2020-05-25,10.4,3,0.5,▲,1.0,5.1,-2.0,194.0
21,2020-05-26,10.0,16,-0.4,▼,0.0,-3.8,13.0,210.0
22,2020-05-27,10.2,3,0.2,▲,1.0,2.0,-13.0,213.0
23,2020-05-28,10.2,6,0.0,-,1.0,0.0,3.0,219.0
24,2020-05-29,10.4,1,0.2,▲,2.0,2.0,-5.0,220.0
25,2020-05-30,10.4,10,0.0,-,2.0,0.0,9.0,230.0
26,2020-05-31,10.0,10,-0.4,▼,1.0,-3.8,0.0,240.0
27,2020-06-02,9.6,10,-0.4,▼,0.0,-4.0,0.0,250.0
28,2020-06-06,9.6,6,0.0,-,0.0,0.0,-4.0,256.0
29,2020-06-07,9.6,3,0.0,-,0.0,0.0,-3.0,259.0
30,2020-06-10,8.0,1,-1.6,▼,-1.0,-16.7,-2.0,260.0
31,2020-06-13,8.0,1,0.0,-,-1.0,0.0,0.0,261.0
32,2020-06-14,7.6,9,-0.4,▼,-2.0,-5.0,8.0,270.0
33,2020-06-15,7.1,2,-0.5,▼,-3.0,-6.6,-7.0,272.0
34,2020-06-17,7.1,4,0.0,-,-3.0,0.0,2.0,276.0
35,2020-06-19,8.7,6,1.6,▲,-2.0,22.5,2.0,282.0
36,2020-06-21,9.1,3,0.4,▲,-1.0,4.6,-3.0,285.0
