,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,8.3,13,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-09,7.8,23,-0.5,▼,-1.0,-6.0,10.0,23.0
2,2020-04-13,8.0,5,0.2,▲,0.0,2.6,-18.0,28.0
3,2020-04-15,8.0,2,0.0,-,0.0,0.0,-3.0,30.0
4,2020-04-18,7.9,2,-0.1,▼,-1.0,-1.2,0.0,32.0
5,2020-04-19,7.5,23,-0.4,▼,-2.0,-5.1,21.0,55.0
6,2020-04-21,8.0,12,0.5,▲,-1.0,6.7,-11.0,67.0
7,2020-04-22,7.6,12,-0.4,▼,-2.0,-5.0,0.0,79.0
8,2020-04-25,6.8,1,-0.8,▼,-3.0,-10.5,-11.0,80.0
9,2020-04-26,6.9,17,0.1,▲,-2.0,1.5,16.0,97.0
10,2020-04-28,7.1,9,0.2,▲,-1.0,2.9,-8.0,106.0
11,2020-04-29,6.9,12,-0.2,▼,-2.0,-2.8,3.0,118.0
12,2020-04-30,6.7,9,-0.2,▼,-3.0,-2.9,-3.0,127.0
13,2020-05-02,6.9,2,0.2,▲,-2.0,3.0,-7.0,129.0
14,2020-05-03,6.4,14,-0.5,▼,-3.0,-7.2,12.0,143.0
15,2020-05-04,5.9,18,-0.5,▼,-4.0,-7.8,4.0,161.0
16,2020-05-08,5.4,30,-0.5,▼,-5.0,-8.5,12.0,191.0
17,2020-05-10,5.4,14,0.0,-,-5.0,0.0,-16.0,205.0
18,2020-05-11,5.4,16,0.0,-,-5.0,0.0,2.0,221.0
19,2020-05-12,6.0,3,0.6,▲,-4.0,11.1,-13.0,224.0
20,2020-05-13,6.4,4,0.4,▲,-3.0,6.7,1.0,228.0
21,2020-05-14,6.3,1,-0.1,▼,-4.0,-1.6,-3.0,229.0
22,2020-05-16,6.1,18,-0.2,▼,-5.0,-3.2,17.0,247.0
23,2020-05-19,6.3,5,0.2,▲,-4.0,3.3,-13.0,252.0
24,2020-05-20,5.7,4,-0.6,▼,-5.0,-9.5,-1.0,256.0
25,2020-05-21,5.0,11,-0.7,▼,-6.0,-12.3,7.0,267.0
26,2020-05-24,4.8,6,-0.2,▼,-7.0,-4.0,-5.0,273.0
27,2020-06-02,4.8,16,0.0,-,-7.0,0.0,10.0,289.0
28,2020-06-06,4.6,12,-0.2,▼,-8.0,-4.2,-4.0,301.0
29,2020-06-10,4.4,9,-0.2,▼,-9.0,-4.3,-3.0,310.0
30,2020-06-12,4.4,1,0.0,-,-9.0,0.0,-8.0,311.0
31,2020-06-14,4.4,9,0.0,-,-9.0,0.0,8.0,320.0
32,2020-06-16,4.4,11,0.0,-,-9.0,0.0,2.0,331.0
33,2020-06-18,4.4,2,0.0,-,-9.0,0.0,-9.0,333.0
34,2020-06-20,4.4,15,0.0,-,-9.0,0.0,13.0,348.0
35,2020-06-21,4.6,2,0.2,▲,-8.0,4.5,-13.0,350.0
36,2020-06-23,4.4,1,-0.2,▼,-9.0,-4.3,-1.0,351.0
37,2020-06-25,4.2,8,-0.2,▼,-10.0,-4.5,7.0,359.0
38,2020-06-28,4.0,13,-0.2,▼,-11.0,-4.8,5.0,372.0
39,2020-06-29,4.2,11,0.2,▲,-10.0,5.0,-2.0,383.0
40,2020-06-30,4.2,3,0.0,-,-10.0,0.0,-8.0,386.0
41,2020-07-02,4.6,4,0.4,▲,-9.0,9.5,1.0,390.0
42,2020-07-07,4.8,1,0.2,▲,-8.0,4.3,-3.0,391.0
43,2020-07-08,5.0,4,0.2,▲,-7.0,4.2,3.0,395.0
44,2020-07-10,4.6,10,-0.4,▼,-8.0,-8.0,6.0,405.0
45,2020-07-11,4.6,10,0.0,-,-8.0,0.0,0.0,415.0
46,2020-07-12,4.4,1,-0.2,▼,-9.0,-4.3,-9.0,416.0
47,2020-07-16,4.2,1,-0.2,▼,-10.0,-4.5,0.0,417.0
48,2020-07-17,4.2,4,0.0,-,-10.0,0.0,3.0,421.0
49,2020-07-18,4.6,1,0.4,▲,-9.0,9.5,-3.0,422.0
50,2020-07-21,4.4,11,-0.2,▼,-10.0,-4.3,10.0,433.0
51,2020-07-23,4.4,11,0.0,-,-10.0,0.0,0.0,444.0
52,2020-07-26,4.6,11,0.2,▲,-9.0,4.5,0.0,455.0
53,2020-07-28,4.6,6,0.0,-,-9.0,0.0,-5.0,461.0
54,2020-07-31,4.2,26,-0.4,▼,-10.0,-8.7,20.0,487.0
55,2020-08-02,4.4,8,0.2,▲,-9.0,4.8,-18.0,495.0
56,2020-08-03,4.4,1,0.0,-,-9.0,0.0,-7.0,496.0
57,2020-08-06,4.1,16,-0.3,▼,-10.0,-6.8,15.0,512.0
58,2020-08-08,4.1,5,0.0,-,-10.0,0.0,-11.0,517.0
59,2020-08-10,4.9,12,0.8,▲,-9.0,19.5,7.0,529.0
60,2020-08-11,5.3,1,0.4,▲,-8.0,8.2,-11.0,530.0
61,2020-08-15,5.3,2,0.0,-,-8.0,0.0,1.0,532.0
62,2020-08-16,5.6,1,0.3,▲,-7.0,5.7,-1.0,533.0
63,2020-08-17,5.0,8,-0.6,▼,-8.0,-10.7,7.0,541.0
64,2020-08-19,4.0,10,-1.0,▼,-9.0,-20.0,2.0,551.0
65,2020-08-20,3.2,6,-0.8,▼,-10.0,-20.0,-4.0,557.0
66,2020-08-22,2.8,12,-0.4,▼,-11.0,-12.5,6.0,569.0
67,2020-08-23,3.0,1,0.2,▲,-10.0,7.1,-11.0,570.0
68,2020-08-27,3.6,15,0.6,▲,-9.0,20.0,14.0,585.0
69,2020-08-28,4.3,20,0.7,▲,-8.0,19.4,5.0,605.0
70,2020-08-29,4.7,6,0.4,▲,-7.0,9.3,-14.0,611.0
71,2020-08-31,5.3,7,0.6,▲,-6.0,12.8,1.0,618.0
72,2020-09-04,4.7,15,-0.6,▼,-7.0,-11.3,8.0,633.0
73,2020-09-05,4.7,3,0.0,-,-7.0,0.0,-12.0,636.0
