,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,4.9,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,4.9,14,0.0,-,0.0,0.0,13.0,14.0
2,2020-04-11,4.8,8,-0.1,▼,-1.0,-2.0,-6.0,22.0
3,2020-04-12,4.7,3,-0.1,▼,-2.0,-2.1,-5.0,25.0
4,2020-04-13,4.7,6,0.0,-,-2.0,0.0,3.0,31.0
5,2020-04-14,5.2,7,0.5,▲,-1.0,10.6,1.0,38.0
6,2020-04-15,5.3,6,0.1,▲,0.0,1.9,-1.0,44.0
7,2020-04-16,5.8,4,0.5,▲,1.0,9.4,-2.0,48.0
8,2020-04-18,5.7,10,-0.1,▼,0.0,-1.7,6.0,58.0
9,2020-04-19,5.7,14,0.0,-,0.0,0.0,4.0,72.0
10,2020-04-20,5.1,9,-0.6,▼,-1.0,-10.5,-5.0,81.0
11,2020-04-22,5.2,12,0.1,▲,0.0,2.0,3.0,93.0
12,2020-04-24,4.8,3,-0.4,▼,-1.0,-7.7,-9.0,96.0
13,2020-04-25,4.7,16,-0.1,▼,-2.0,-2.1,13.0,112.0
14,2020-04-29,4.5,3,-0.2,▼,-3.0,-4.3,-13.0,115.0
15,2020-05-01,4.6,8,0.1,▲,-2.0,2.2,5.0,123.0
16,2020-05-02,4.5,11,-0.1,▼,-3.0,-2.2,3.0,134.0
17,2020-05-03,4.4,12,-0.1,▼,-4.0,-2.2,1.0,146.0
18,2020-05-05,4.7,8,0.3,▲,-3.0,6.8,-4.0,154.0
19,2020-05-06,4.8,14,0.1,▲,-2.0,2.1,6.0,168.0
20,2020-05-09,4.7,23,-0.1,▼,-3.0,-2.1,9.0,191.0
21,2020-05-10,4.7,7,0.0,-,-3.0,0.0,-16.0,198.0
22,2020-05-11,4.8,2,0.1,▲,-2.0,2.1,-5.0,200.0
23,2020-05-13,4.7,8,-0.1,▼,-3.0,-2.1,6.0,208.0
24,2020-05-14,4.6,5,-0.1,▼,-4.0,-2.1,-3.0,213.0
25,2020-05-15,4.3,4,-0.3,▼,-5.0,-6.5,-1.0,217.0
26,2020-05-16,4.1,5,-0.2,▼,-6.0,-4.7,1.0,222.0
27,2020-05-17,4.3,10,0.2,▲,-5.0,4.9,5.0,232.0
28,2020-05-19,4.4,5,0.1,▲,-4.0,2.3,-5.0,237.0
29,2020-05-20,4.6,1,0.2,▲,-3.0,4.5,-4.0,238.0
30,2020-05-21,5.0,5,0.4,▲,-2.0,8.7,4.0,243.0
31,2020-05-22,5.0,1,0.0,-,-2.0,0.0,-4.0,244.0
32,2020-05-23,4.8,7,-0.2,▼,-3.0,-4.0,6.0,251.0
33,2020-05-24,4.6,5,-0.2,▼,-4.0,-4.2,-2.0,256.0
34,2020-05-26,4.6,10,0.0,-,-4.0,0.0,5.0,266.0
35,2020-05-27,4.5,8,-0.1,▼,-5.0,-2.2,-2.0,274.0
36,2020-05-28,4.5,3,0.0,-,-5.0,0.0,-5.0,277.0
37,2020-05-29,4.3,26,-0.2,▼,-6.0,-4.4,23.0,303.0
38,2020-05-31,4.5,10,0.2,▲,-5.0,4.7,-16.0,313.0
39,2020-06-03,4.4,6,-0.1,▼,-6.0,-2.2,-4.0,319.0
40,2020-06-04,4.3,4,-0.1,▼,-7.0,-2.3,-2.0,323.0
41,2020-06-06,4.3,8,0.0,-,-7.0,0.0,4.0,331.0
42,2020-06-07,4.3,8,0.0,-,-7.0,0.0,0.0,339.0
43,2020-06-08,4.1,8,-0.2,▼,-8.0,-4.7,0.0,347.0
44,2020-06-09,4.1,23,0.0,-,-8.0,0.0,15.0,370.0
45,2020-06-10,4.2,18,0.1,▲,-7.0,2.4,-5.0,388.0
46,2020-06-11,4.2,6,0.0,-,-7.0,0.0,-12.0,394.0
47,2020-06-12,4.4,34,0.2,▲,-6.0,4.8,28.0,428.0
48,2020-06-13,4.4,38,0.0,-,-6.0,0.0,4.0,466.0
49,2020-06-14,4.4,25,0.0,-,-6.0,0.0,-13.0,491.0
50,2020-06-15,4.7,2,0.3,▲,-5.0,6.8,-23.0,493.0
51,2020-06-16,4.9,5,0.2,▲,-4.0,4.3,3.0,498.0
52,2020-06-17,4.6,12,-0.3,▼,-5.0,-6.1,7.0,510.0
53,2020-06-18,4.7,11,0.1,▲,-4.0,2.2,-1.0,521.0
54,2020-06-19,4.9,2,0.2,▲,-3.0,4.3,-9.0,523.0
55,2020-06-20,4.5,1,-0.4,▼,-4.0,-8.2,-1.0,524.0
56,2020-06-21,4.5,4,0.0,-,-4.0,0.0,3.0,528.0
57,2020-06-22,4.8,10,0.3,▲,-3.0,6.7,6.0,538.0
58,2020-06-24,4.9,4,0.1,▲,-2.0,2.1,-6.0,542.0
59,2020-06-25,4.8,36,-0.1,▼,-3.0,-2.0,32.0,578.0
60,2020-06-26,4.9,9,0.1,▲,-2.0,2.1,-27.0,587.0
61,2020-06-27,4.7,5,-0.2,▼,-3.0,-4.1,-4.0,592.0
62,2020-06-28,4.5,4,-0.2,▼,-4.0,-4.3,-1.0,596.0
63,2020-06-29,4.2,14,-0.3,▼,-5.0,-6.7,10.0,610.0
64,2020-07-01,4.1,6,-0.1,▼,-6.0,-2.4,-8.0,616.0
65,2020-07-02,4.1,14,0.0,-,-6.0,0.0,8.0,630.0
66,2020-07-04,4.1,10,0.0,-,-6.0,0.0,-4.0,640.0
67,2020-07-05,4.1,17,0.0,-,-6.0,0.0,7.0,657.0
68,2020-07-06,4.2,13,0.1,▲,-5.0,2.4,-4.0,670.0
69,2020-07-07,4.1,13,-0.1,▼,-6.0,-2.4,0.0,683.0
70,2020-07-09,3.4,1,-0.7,▼,-7.0,-17.1,-12.0,684.0
71,2020-07-10,3.4,2,0.0,-,-7.0,0.0,1.0,686.0
72,2020-07-11,3.5,5,0.1,▲,-6.0,2.9,3.0,691.0
73,2020-07-12,3.5,10,0.0,-,-6.0,0.0,5.0,701.0
74,2020-07-13,3.7,2,0.2,▲,-5.0,5.7,-8.0,703.0
75,2020-07-14,4.5,11,0.8,▲,-4.0,21.6,9.0,714.0
76,2020-07-15,4.7,10,0.2,▲,-3.0,4.4,-1.0,724.0
77,2020-07-16,4.8,8,0.1,▲,-2.0,2.1,-2.0,732.0
78,2020-07-17,4.8,8,0.0,-,-2.0,0.0,0.0,740.0
79,2020-07-18,4.8,1,0.0,-,-2.0,0.0,-7.0,741.0
80,2020-07-19,4.8,6,0.0,-,-2.0,0.0,5.0,747.0
81,2020-07-20,4.8,1,0.0,-,-2.0,0.0,-5.0,748.0
82,2020-07-21,4.8,3,0.0,-,-2.0,0.0,2.0,751.0
83,2020-07-22,5.0,10,0.2,▲,-1.0,4.2,7.0,761.0
84,2020-07-23,4.7,19,-0.3,▼,-2.0,-6.0,9.0,780.0
85,2020-07-24,4.7,24,0.0,-,-2.0,0.0,5.0,804.0
86,2020-07-28,4.7,5,0.0,-,-2.0,0.0,-19.0,809.0
87,2020-07-29,4.7,4,0.0,-,-2.0,0.0,-1.0,813.0
88,2020-07-30,4.5,9,-0.2,▼,-3.0,-4.3,5.0,822.0
89,2020-08-01,4.8,10,0.3,▲,-2.0,6.7,1.0,832.0
90,2020-08-02,4.6,11,-0.2,▼,-3.0,-4.2,1.0,843.0
91,2020-08-03,4.6,1,0.0,-,-3.0,0.0,-10.0,844.0
92,2020-08-04,4.4,5,-0.2,▼,-4.0,-4.3,4.0,849.0
93,2020-08-07,4.5,18,0.1,▲,-3.0,2.3,13.0,867.0
94,2020-08-09,4.5,6,0.0,-,-3.0,0.0,-12.0,873.0
95,2020-08-10,4.7,2,0.2,▲,-2.0,4.4,-4.0,875.0
96,2020-08-11,4.5,7,-0.2,▼,-3.0,-4.3,5.0,882.0
97,2020-08-12,5.2,36,0.7,▲,-2.0,15.6,29.0,918.0
98,2020-08-13,5.0,6,-0.2,▼,-3.0,-3.8,-30.0,924.0
99,2020-08-16,5.0,4,0.0,-,-3.0,0.0,-2.0,928.0
100,2020-08-17,5.1,20,0.1,▲,-2.0,2.0,16.0,948.0
101,2020-08-18,5.0,13,-0.1,▼,-3.0,-2.0,-7.0,961.0
102,2020-08-19,4.3,2,-0.7,▼,-4.0,-14.0,-11.0,963.0
103,2020-08-22,4.5,7,0.2,▲,-3.0,4.7,5.0,970.0
104,2020-08-23,4.3,8,-0.2,▼,-4.0,-4.4,1.0,978.0
105,2020-08-25,4.1,26,-0.2,▼,-5.0,-4.7,18.0,1004.0
106,2020-08-26,4.8,1,0.7,▲,-4.0,17.1,-25.0,1005.0
107,2020-08-27,4.4,1,-0.4,▼,-5.0,-8.3,0.0,1006.0
108,2020-08-28,4.5,9,0.1,▲,-4.0,2.3,8.0,1015.0
109,2020-08-29,4.6,8,0.1,▲,-3.0,2.2,-1.0,1023.0
110,2020-08-30,4.7,2,0.1,▲,-2.0,2.2,-6.0,1025.0
111,2020-09-01,4.2,17,-0.5,▼,-3.0,-10.6,15.0,1042.0
112,2020-09-02,4.8,1,0.6,▲,-2.0,14.3,-16.0,1043.0
113,2020-09-05,4.9,3,0.1,▲,-1.0,2.1,2.0,1046.0
