,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-07-08,,148,0.0,-,0.0,0.0,0.0,0.0
1,2021-07-09,,212,,▲,1.0,,64.0,212.0
2,2021-07-10,,369,,▲,2.0,,157.0,581.0
3,2021-07-11,,230,,▲,3.0,,-139.0,811.0
4,2021-07-12,9.2,281,,▲,4.0,,51.0,1092.0
5,2021-07-13,7.8,168,-1.4,▼,3.0,-15.2,-113.0,1260.0
6,2021-07-14,6.5,200,-1.3,▼,2.0,-16.7,32.0,1460.0
7,2021-07-15,5.4,200,-1.1,▼,1.0,-16.9,0.0,1660.0
8,2021-07-16,5.0,128,-0.4,▼,0.0,-7.4,-72.0,1788.0
9,2021-07-17,3.9,107,-1.1,▼,-1.0,-22.0,-21.0,1895.0
10,2021-07-18,3.7,221,-0.2,▼,-2.0,-5.1,114.0,2116.0
11,2021-07-19,3.4,201,-0.3,▼,-3.0,-8.1,-20.0,2317.0
12,2021-07-20,3.4,135,0.0,-,-3.0,0.0,-66.0,2452.0
13,2021-07-21,3.2,236,-0.2,▼,-4.0,-5.9,101.0,2688.0
14,2021-07-22,3.2,171,0.0,-,-4.0,0.0,-65.0,2859.0
15,2021-07-23,3.1,60,-0.1,▼,-5.0,-3.1,-111.0,2919.0
16,2021-07-24,3.2,59,0.1,▲,-4.0,3.2,-1.0,2978.0
17,2021-07-25,3.3,59,0.1,▲,-3.0,3.1,0.0,3037.0
18,2021-07-26,3.4,111,0.1,▲,-2.0,3.0,52.0,3148.0
19,2021-07-27,3.2,164,-0.2,▼,-3.0,-5.9,53.0,3312.0
20,2021-07-28,2.9,36,-0.3,▼,-4.0,-9.4,-128.0,3348.0
21,2021-07-29,2.5,24,-0.4,▼,-5.0,-13.8,-12.0,3372.0
22,2021-07-30,2.1,62,-0.4,▼,-6.0,-16.0,38.0,3434.0
23,2021-07-31,1.8,97,-0.3,▼,-7.0,-14.3,35.0,3531.0
24,2021-08-01,1.7,91,-0.1,▼,-8.0,-5.6,-6.0,3622.0
25,2021-08-02,1.7,213,0.0,-,-8.0,0.0,122.0,3835.0
26,2021-08-03,1.7,67,0.0,-,-8.0,0.0,-146.0,3902.0
27,2021-08-04,1.7,74,0.0,-,-8.0,0.0,7.0,3976.0
28,2021-08-05,1.6,28,-0.1,▼,-9.0,-5.9,-46.0,4004.0
29,2021-08-06,1.5,95,-0.1,▼,-10.0,-6.2,67.0,4099.0
30,2021-08-07,1.8,54,0.3,▲,-9.0,20.0,-41.0,4153.0
31,2021-08-08,1.8,122,0.0,-,-9.0,0.0,68.0,4275.0
32,2021-08-09,1.9,157,0.1,▲,-8.0,5.6,35.0,4432.0
33,2021-08-10,2.1,97,0.2,▲,-7.0,10.5,-60.0,4529.0
34,2021-08-11,2.1,28,0.0,-,-7.0,0.0,-69.0,4557.0
35,2021-08-12,1.8,155,-0.3,▼,-8.0,-14.3,127.0,4712.0
36,2021-08-13,1.8,50,0.0,-,-8.0,0.0,-105.0,4762.0
37,2021-08-14,1.7,68,-0.1,▼,-9.0,-5.6,18.0,4830.0
38,2021-08-15,1.4,6,-0.3,▼,-10.0,-17.6,-62.0,4836.0
39,2021-08-16,1.4,43,0.0,-,-10.0,0.0,37.0,4879.0
40,2021-08-17,1.4,30,0.0,-,-10.0,0.0,-13.0,4909.0
41,2021-08-18,1.4,23,0.0,-,-10.0,0.0,-7.0,4932.0
42,2021-08-19,1.3,1,-0.1,▼,-11.0,-7.1,-22.0,4933.0
43,2021-08-20,1.3,44,0.0,-,-11.0,0.0,43.0,4977.0
44,2021-08-21,1.2,117,-0.1,▼,-12.0,-7.7,73.0,5094.0
45,2021-08-22,1.2,94,0.0,-,-12.0,0.0,-23.0,5188.0
46,2021-08-23,1.1,36,-0.1,▼,-13.0,-8.3,-58.0,5224.0
47,2021-08-24,1.1,10,0.0,-,-13.0,0.0,-26.0,5234.0
48,2021-08-25,1.1,93,0.0,-,-13.0,0.0,83.0,5327.0
49,2021-08-26,1.1,68,0.0,-,-13.0,0.0,-25.0,5395.0
50,2021-08-27,1.2,83,0.1,▲,-12.0,9.1,15.0,5478.0
51,2021-08-28,1.2,42,0.0,-,-12.0,0.0,-41.0,5520.0
