,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-07-08,,263,0.0,-,0.0,0.0,0.0,0.0
1,2021-07-09,,366,,▲,1.0,,103.0,366.0
2,2021-07-10,,282,,▲,2.0,,-84.0,648.0
3,2021-07-11,,590,,▲,3.0,,308.0,1238.0
4,2021-07-12,25.4,489,,▲,4.0,,-101.0,1727.0
5,2021-07-13,23.1,475,-2.3,▼,3.0,-9.1,-14.0,2202.0
6,2021-07-14,21.1,561,-2.0,▼,2.0,-8.7,86.0,2763.0
7,2021-07-15,19.1,854,-2.0,▼,1.0,-9.5,293.0,3617.0
8,2021-07-16,17.1,670,-2.0,▼,0.0,-10.5,-184.0,4287.0
9,2021-07-17,16.1,357,-1.0,▼,-1.0,-5.8,-313.0,4644.0
