,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-07-08,,36,0.0,-,0.0,0.0,0.0,0.0
1,2021-07-09,,259,,▲,1.0,,223.0,259.0
2,2021-07-10,,219,,▲,2.0,,-40.0,478.0
3,2021-07-11,,192,,▲,3.0,,-27.0,670.0
4,2021-07-12,7.5,267,,▲,4.0,,75.0,937.0
5,2021-07-13,6.4,213,-1.1,▼,3.0,-14.7,-54.0,1150.0
6,2021-07-14,5.5,140,-0.9,▼,2.0,-14.1,-73.0,1290.0
7,2021-07-15,4.5,190,-1.0,▼,1.0,-18.2,50.0,1480.0
8,2021-07-16,4.1,60,-0.4,▼,0.0,-8.9,-130.0,1540.0
9,2021-07-17,3.4,33,-0.7,▼,-1.0,-17.1,-27.0,1573.0
