,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-07-08,,234,0.0,-,0.0,0.0,0.0,0.0
1,2021-07-09,,280,,▲,1.0,,46.0,280.0
2,2021-07-10,,409,,▲,2.0,,129.0,689.0
3,2021-07-11,,447,,▲,3.0,,38.0,1136.0
4,2021-07-12,14.5,342,,▲,4.0,,-105.0,1478.0
5,2021-07-13,12.2,221,-2.3,▼,3.0,-15.9,-121.0,1699.0
6,2021-07-14,10.8,420,-1.4,▼,2.0,-11.5,199.0,2119.0
7,2021-07-15,9.2,352,-1.6,▼,1.0,-14.8,-68.0,2471.0
8,2021-07-16,8.1,339,-1.1,▼,0.0,-12.0,-13.0,2810.0
9,2021-07-17,7.4,241,-0.7,▼,-1.0,-8.6,-98.0,3051.0
10,2021-07-18,6.9,424,-0.5,▼,-2.0,-6.8,183.0,3475.0
11,2021-07-19,6.5,356,-0.4,▼,-3.0,-5.8,-68.0,3831.0
12,2021-07-20,6.1,291,-0.4,▼,-4.0,-6.2,-65.0,4122.0
13,2021-07-21,5.6,214,-0.5,▼,-5.0,-8.2,-77.0,4336.0
14,2021-07-22,5.0,230,-0.6,▼,-6.0,-10.7,16.0,4566.0
15,2021-07-23,5.1,165,0.1,▲,-5.0,2.0,-65.0,4731.0
16,2021-07-24,4.6,404,-0.5,▼,-6.0,-9.8,239.0,5135.0
17,2021-07-25,4.3,228,-0.3,▼,-7.0,-6.5,-176.0,5363.0
18,2021-07-26,4.1,326,-0.2,▼,-8.0,-4.7,98.0,5689.0
19,2021-07-27,4.2,349,0.1,▲,-7.0,2.4,23.0,6038.0
20,2021-07-28,3.6,233,-0.6,▼,-8.0,-14.3,-116.0,6271.0
21,2021-07-29,3.6,358,0.0,-,-8.0,0.0,125.0,6629.0
22,2021-07-30,3.6,195,0.0,-,-8.0,0.0,-163.0,6824.0
23,2021-07-31,3.6,286,0.0,-,-8.0,0.0,91.0,7110.0
24,2021-08-01,3.5,184,-0.1,▼,-9.0,-2.8,-102.0,7294.0
25,2021-08-02,3.3,199,-0.2,▼,-10.0,-5.7,15.0,7493.0
26,2021-08-03,3.3,333,0.0,-,-10.0,0.0,134.0,7826.0
27,2021-08-04,3.1,109,-0.2,▼,-11.0,-6.1,-224.0,7935.0
28,2021-08-05,3.0,267,-0.1,▼,-12.0,-3.2,158.0,8202.0
29,2021-08-06,2.8,134,-0.2,▼,-13.0,-6.7,-133.0,8336.0
30,2021-08-07,2.7,153,-0.1,▼,-14.0,-3.6,19.0,8489.0
31,2021-08-08,2.5,102,-0.2,▼,-15.0,-7.4,-51.0,8591.0
32,2021-08-09,2.4,133,-0.1,▼,-16.0,-4.0,31.0,8724.0
33,2021-08-10,2.2,244,-0.2,▼,-17.0,-8.3,111.0,8968.0
34,2021-08-11,2.1,101,-0.1,▼,-18.0,-4.5,-143.0,9069.0
35,2021-08-12,2.1,156,0.0,-,-18.0,0.0,55.0,9225.0
36,2021-08-13,2.0,116,-0.1,▼,-19.0,-4.8,-40.0,9341.0
37,2021-08-14,1.9,111,-0.1,▼,-20.0,-5.0,-5.0,9452.0
38,2021-08-15,1.8,134,-0.1,▼,-21.0,-5.3,23.0,9586.0
39,2021-08-16,1.8,107,0.0,-,-21.0,0.0,-27.0,9693.0
40,2021-08-17,1.7,129,-0.1,▼,-22.0,-5.6,22.0,9822.0
41,2021-08-18,1.7,162,0.0,-,-22.0,0.0,33.0,9984.0
42,2021-08-19,1.7,97,0.0,-,-22.0,0.0,-65.0,10081.0
43,2021-08-20,1.8,141,0.1,▲,-21.0,5.9,44.0,10222.0
44,2021-08-21,1.9,195,0.1,▲,-20.0,5.6,54.0,10417.0
45,2021-08-22,2.0,131,0.1,▲,-19.0,5.3,-64.0,10548.0
46,2021-08-23,2.1,124,0.1,▲,-18.0,5.0,-7.0,10672.0
47,2021-08-24,2.1,119,0.0,-,-18.0,0.0,-5.0,10791.0
48,2021-08-25,2.0,81,-0.1,▼,-19.0,-4.8,-38.0,10872.0
49,2021-08-26,2.0,158,0.0,-,-19.0,0.0,77.0,11030.0
50,2021-08-27,1.9,260,-0.1,▼,-20.0,-5.0,102.0,11290.0
51,2021-08-28,1.7,72,-0.2,▼,-21.0,-10.5,-188.0,11362.0
52,2021-08-29,1.7,132,0.0,-,-21.0,0.0,60.0,11494.0
53,2021-08-30,2.0,67,0.3,▲,-20.0,17.6,-65.0,11561.0
54,2021-08-31,1.8,139,-0.2,▼,-21.0,-10.0,72.0,11700.0
55,2021-09-01,1.8,69,0.0,-,-21.0,0.0,-70.0,11769.0
56,2021-09-02,1.8,171,0.0,-,-21.0,0.0,102.0,11940.0
57,2021-09-03,1.8,59,0.0,-,-21.0,0.0,-112.0,11999.0
58,2021-09-04,1.4,12,-0.4,▼,-22.0,-22.2,-47.0,12011.0
59,2021-09-05,1.4,164,0.0,-,-22.0,0.0,152.0,12175.0
60,2021-09-06,1.3,21,-0.1,▼,-23.0,-7.1,-143.0,12196.0
61,2021-09-07,1.3,82,0.0,-,-23.0,0.0,61.0,12278.0
62,2021-09-08,1.3,76,0.0,-,-23.0,0.0,-6.0,12354.0
63,2021-09-09,1.7,97,0.4,▲,-22.0,30.8,21.0,12451.0
64,2021-09-10,2.0,107,0.3,▲,-21.0,17.6,10.0,12558.0
65,2021-09-11,2.4,145,0.4,▲,-20.0,20.0,38.0,12703.0
66,2021-09-12,2.5,75,0.1,▲,-19.0,4.2,-70.0,12778.0
67,2021-09-13,2.6,79,0.1,▲,-18.0,4.0,4.0,12857.0
68,2021-09-14,2.5,203,-0.1,▼,-19.0,-3.8,124.0,13060.0
69,2021-09-15,2.3,57,-0.2,▼,-20.0,-8.0,-146.0,13117.0
70,2021-09-16,2.1,100,-0.2,▼,-21.0,-8.7,43.0,13217.0
71,2021-09-17,2.1,153,0.0,-,-21.0,0.0,53.0,13370.0
72,2021-09-18,2.2,204,0.1,▲,-20.0,4.8,51.0,13574.0
73,2021-09-19,2.1,128,-0.1,▼,-21.0,-4.5,-76.0,13702.0
74,2021-09-20,2.3,84,0.2,▲,-20.0,9.5,-44.0,13786.0
75,2021-09-21,2.5,55,0.2,▲,-19.0,8.7,-29.0,13841.0
76,2021-09-22,2.4,49,-0.1,▼,-20.0,-4.0,-6.0,13890.0
77,2021-09-23,2.5,28,0.1,▲,-19.0,4.2,-21.0,13918.0
78,2021-09-24,2.5,15,0.0,-,-19.0,0.0,-13.0,13933.0
79,2021-09-25,2.5,73,0.0,-,-19.0,0.0,58.0,14006.0
80,2021-09-26,2.3,67,-0.2,▼,-20.0,-8.0,-6.0,14073.0
81,2021-09-27,2.7,51,0.4,▲,-19.0,17.4,-16.0,14124.0
82,2021-09-28,2.5,98,-0.2,▼,-20.0,-7.4,47.0,14222.0
83,2021-09-29,2.6,44,0.1,▲,-19.0,4.0,-54.0,14266.0
84,2021-09-30,2.4,47,-0.2,▼,-20.0,-7.7,3.0,14313.0
85,2021-10-01,2.3,18,-0.1,▼,-21.0,-4.2,-29.0,14331.0
86,2021-10-02,1.9,70,-0.4,▼,-22.0,-17.4,52.0,14401.0
87,2021-10-03,2.1,20,0.2,▲,-21.0,10.5,-50.0,14421.0
88,2021-10-04,2.0,10,-0.1,▼,-22.0,-4.8,-10.0,14431.0
89,2021-10-05,1.9,68,-0.1,▼,-23.0,-5.0,58.0,14499.0
90,2021-10-06,2.0,40,0.1,▲,-22.0,5.3,-28.0,14539.0
91,2021-10-07,2.1,72,0.1,▲,-21.0,5.0,32.0,14611.0
92,2021-10-08,1.9,30,-0.2,▼,-22.0,-9.5,-42.0,14641.0
93,2021-10-09,1.9,126,0.0,-,-22.0,0.0,96.0,14767.0
94,2021-10-10,2.1,75,0.2,▲,-21.0,10.5,-51.0,14842.0
95,2021-10-11,2.2,129,0.1,▲,-20.0,4.8,54.0,14971.0
96,2021-10-12,2.1,72,-0.1,▼,-21.0,-4.5,-57.0,15043.0
97,2021-10-13,2.1,38,0.0,-,-21.0,0.0,-34.0,15081.0
98,2021-10-14,2.1,30,0.0,-,-21.0,0.0,-8.0,15111.0
99,2021-10-15,2.0,81,-0.1,▼,-22.0,-4.8,51.0,15192.0
100,2021-10-16,1.9,84,-0.1,▼,-23.0,-5.0,3.0,15276.0
101,2021-10-17,2.1,202,0.2,▲,-22.0,10.5,118.0,15478.0
102,2021-10-18,2.0,46,-0.1,▼,-23.0,-4.8,-156.0,15524.0
103,2021-10-19,1.9,68,-0.1,▼,-24.0,-5.0,22.0,15592.0
104,2021-10-20,1.9,32,0.0,-,-24.0,0.0,-36.0,15624.0
105,2021-10-21,1.9,11,0.0,-,-24.0,0.0,-21.0,15635.0
