,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-24,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-26,,2,,▲,1.0,,1.0,2.0
2,2020-05-04,,1,,▲,2.0,,-1.0,3.0
3,2020-05-30,,6,,▲,3.0,,5.0,9.0
4,2020-06-16,9.2,1,,▲,4.0,,-5.0,10.0
5,2020-06-18,5.6,2,-3.6,▼,3.0,-39.1,1.0,12.0
6,2020-06-30,6.6,10,1.0,▲,4.0,17.9,8.0,22.0
7,2020-07-25,6.8,3,0.2,▲,5.0,3.0,-7.0,25.0
8,2020-08-16,7.6,9,0.8,▲,6.0,11.8,6.0,34.0
9,2020-08-31,10.2,1,2.6,▲,7.0,34.2,-8.0,35.0
10,2020-09-01,11.9,8,1.7,▲,8.0,16.7,7.0,43.0
11,2020-09-04,10.9,1,-1.0,▼,7.0,-8.4,-7.0,44.0
12,2020-10-08,11.1,5,0.2,▲,8.0,1.8,4.0,49.0
13,2020-10-09,11.5,2,0.4,▲,9.0,3.6,-3.0,51.0
14,2020-10-19,10.3,2,-1.2,▼,8.0,-10.4,0.0,53.0
15,2020-11-03,9.2,4,-1.1,▼,7.0,-10.7,2.0,57.0
16,2020-11-07,11.2,1,2.0,▲,8.0,21.7,-3.0,58.0
17,2020-11-26,11.2,10,0.0,-,8.0,0.0,9.0,68.0
18,2020-12-19,10.8,1,-0.4,▼,7.0,-3.6,-9.0,69.0
19,2020-12-27,11.0,1,0.2,▲,8.0,1.9,0.0,70.0
20,2020-12-28,12.8,1,1.8,▲,9.0,16.4,0.0,71.0
21,2021-01-16,10.2,2,-2.6,▼,8.0,-20.3,1.0,73.0
22,2021-01-19,11.6,1,1.4,▲,9.0,13.7,-1.0,74.0
23,2021-05-29,,2,,▲,10.0,,1.0,76.0
24,2021-06-11,,6,,▲,11.0,,4.0,82.0
25,2021-06-19,,2,,▲,12.0,,-4.0,84.0
26,2021-07-16,,1,,▲,13.0,,-1.0,85.0
