,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-13,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-18,,10,,▲,1.0,,9.0,10.0
2,2020-04-19,,1,,▲,2.0,,-9.0,11.0
3,2020-04-24,,1,,▲,3.0,,0.0,12.0
4,2020-05-01,6.2,1,,▲,4.0,,0.0,13.0
5,2020-05-04,2.6,10,-3.6,▼,3.0,-58.1,9.0,23.0
6,2020-05-18,2.2,1,-0.4,▼,2.0,-15.4,-9.0,24.0
7,2020-05-24,1.6,1,-0.6,▼,1.0,-27.3,0.0,25.0
8,2020-06-06,1.6,7,0.0,-,1.0,0.0,6.0,32.0
9,2020-06-27,3.4,1,1.8,▲,2.0,112.5,-6.0,33.0
10,2020-07-01,5.0,1,1.6,▲,3.0,47.1,0.0,34.0
11,2020-07-11,5.2,1,0.2,▲,4.0,4.0,0.0,35.0
12,2020-07-23,5.8,9,0.6,▲,5.0,11.5,8.0,44.0
13,2020-08-07,5.8,1,0.0,-,5.0,0.0,-8.0,45.0
14,2020-08-19,4.0,4,-1.8,▼,4.0,-31.0,3.0,49.0
15,2020-08-22,2.6,10,-1.4,▼,3.0,-35.0,6.0,59.0
16,2020-08-26,3.4,3,0.8,▲,4.0,30.8,-7.0,62.0
17,2020-08-29,3.0,2,-0.4,▼,3.0,-11.8,-1.0,64.0
18,2020-09-03,3.8,1,0.8,▲,4.0,26.7,-1.0,65.0
19,2020-09-09,4.6,1,0.8,▲,5.0,21.1,0.0,66.0
20,2020-09-19,4.8,1,0.2,▲,6.0,4.3,0.0,67.0
21,2020-09-28,4.2,1,-0.6,▼,5.0,-12.5,0.0,68.0
22,2020-10-09,5.2,1,1.0,▲,6.0,23.8,0.0,69.0
23,2020-10-12,5.2,1,0.0,-,6.0,0.0,0.0,70.0
24,2020-10-20,6.2,11,1.0,▲,7.0,19.2,10.0,81.0
25,2020-12-03,6.4,1,0.2,▲,8.0,3.2,-10.0,82.0
26,2020-12-04,6.4,1,0.0,-,8.0,0.0,0.0,83.0
27,2020-12-25,5.8,1,-0.6,▼,7.0,-9.4,0.0,84.0
28,2020-12-30,5.0,10,-0.8,▼,6.0,-13.8,9.0,94.0
29,2021-01-01,3.4,10,-1.6,▼,5.0,-32.0,0.0,104.0
30,2021-01-06,3.2,1,-0.2,▼,4.0,-5.9,-9.0,105.0
31,2021-01-21,3.0,2,-0.2,▼,3.0,-6.2,1.0,107.0
32,2021-01-24,2.4,11,-0.6,▼,2.0,-20.0,9.0,118.0
33,2021-02-01,3.0,1,0.6,▲,3.0,25.0,-10.0,119.0
34,2021-02-02,3.6,1,0.6,▲,4.0,20.0,0.0,120.0
35,2021-02-03,3.2,1,-0.4,▼,3.0,-11.1,0.0,121.0
36,2021-02-16,3.6,10,0.4,▲,4.0,12.5,9.0,131.0
37,2021-02-19,5.2,1,1.6,▲,5.0,44.4,-9.0,132.0
38,2021-02-21,5.0,6,-0.2,▼,4.0,-3.8,5.0,138.0
39,2021-02-23,5.0,3,0.0,-,4.0,0.0,-3.0,141.0
40,2021-03-01,5.6,1,0.6,▲,5.0,12.0,-2.0,142.0
41,2021-03-16,6.6,1,1.0,▲,6.0,17.9,0.0,143.0
42,2021-03-30,5.0,1,-1.6,▼,5.0,-24.2,0.0,144.0
43,2021-04-01,5.4,1,0.4,▲,6.0,8.0,0.0,145.0
44,2021-04-04,4.8,1,-0.6,▼,5.0,-11.1,0.0,146.0
45,2021-04-15,5.8,1,1.0,▲,6.0,20.8,0.0,147.0
46,2021-05-01,4.8,1,-1.0,▼,5.0,-17.2,0.0,148.0
47,2021-05-07,5.4,1,0.6,▲,6.0,12.5,0.0,149.0
48,2021-05-25,5.4,5,0.0,-,6.0,0.0,4.0,154.0
49,2021-06-03,5.8,1,0.4,▲,7.0,7.4,-4.0,155.0
