,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-09,,5,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-12,,1,,▲,1.0,,-4.0,1.0
2,2020-04-13,,2,,▲,2.0,,1.0,3.0
3,2020-04-21,2.9,1,,▲,3.0,,-1.0,4.0
4,2020-04-24,2.5,2,-0.4,▼,2.0,-13.8,1.0,6.0
5,2020-04-25,2.9,1,0.4,▲,3.0,16.0,-1.0,7.0
6,2020-05-01,4.1,1,1.2,▲,4.0,41.4,0.0,8.0
7,2020-05-06,4.6,1,0.5,▲,5.0,12.2,0.0,9.0
8,2020-05-12,4.6,1,0.0,-,5.0,0.0,0.0,10.0
9,2020-05-19,4.8,1,0.2,▲,6.0,4.3,0.0,11.0
10,2020-05-21,4.2,1,-0.6,▼,5.0,-12.5,0.0,12.0
11,2020-05-23,2.8,1,-1.4,▼,4.0,-33.3,0.0,13.0
12,2020-05-25,2.4,1,-0.4,▼,3.0,-14.3,0.0,14.0
13,2020-06-03,3.0,1,0.6,▲,4.0,25.0,0.0,15.0
14,2020-06-14,2.6,1,-0.4,▼,3.0,-13.3,0.0,16.0
15,2020-06-21,2.6,1,0.0,-,3.0,0.0,0.0,17.0
16,2020-06-23,2.8,1,0.2,▲,4.0,7.7,0.0,18.0
17,2020-06-26,5.0,2,2.2,▲,5.0,78.6,1.0,20.0
18,2020-07-02,6.6,1,1.6,▲,6.0,32.0,-1.0,21.0
19,2020-07-06,6.6,1,0.0,-,6.0,0.0,0.0,22.0
20,2020-07-11,6.6,1,0.0,-,6.0,0.0,0.0,23.0
21,2020-07-12,6.6,9,0.0,-,6.0,0.0,8.0,32.0
22,2020-07-18,4.2,1,-2.4,▼,5.0,-36.4,-8.0,33.0
23,2020-07-25,2.6,2,-1.6,▼,4.0,-38.1,1.0,35.0
24,2020-07-29,2.7,2,0.1,▲,5.0,3.8,0.0,37.0
25,2020-08-13,2.7,1,0.0,-,5.0,0.0,-1.0,38.0
26,2020-08-14,2.7,2,0.0,-,5.0,0.0,1.0,40.0
27,2020-08-19,3.3,1,0.6,▲,6.0,22.2,-1.0,41.0
28,2020-08-20,3.3,1,0.0,-,6.0,0.0,0.0,42.0
29,2020-08-22,4.4,4,1.1,▲,7.0,33.3,3.0,46.0
30,2020-08-25,4.4,2,0.0,-,7.0,0.0,-2.0,48.0
31,2020-08-27,4.4,5,0.0,-,7.0,0.0,3.0,53.0
32,2020-08-28,4.6,1,0.2,▲,8.0,4.5,-4.0,54.0
33,2020-09-01,4.2,1,-0.4,▼,7.0,-8.7,0.0,55.0
34,2020-09-08,3.0,2,-1.2,▼,6.0,-28.6,1.0,57.0
35,2020-09-14,2.8,2,-0.2,▼,5.0,-6.7,0.0,59.0
36,2020-09-19,3.0,8,0.2,▲,6.0,7.1,6.0,67.0
37,2020-09-26,2.2,1,-0.8,▼,5.0,-26.7,-7.0,68.0
38,2020-10-01,2.2,1,0.0,-,5.0,0.0,0.0,69.0
39,2020-10-03,2.0,1,-0.2,▼,4.0,-9.1,0.0,70.0
40,2020-10-04,2.2,1,0.2,▲,5.0,10.0,0.0,71.0
41,2020-10-23,1.8,1,-0.4,▼,4.0,-18.2,0.0,72.0
42,2020-10-25,2.4,1,0.6,▲,5.0,33.3,0.0,73.0
43,2020-10-26,3.2,1,0.8,▲,6.0,33.3,0.0,74.0
44,2020-11-04,3.4,1,0.2,▲,7.0,6.2,0.0,75.0
45,2020-11-05,3.2,1,-0.2,▼,6.0,-5.9,0.0,76.0
46,2020-11-21,3.8,1,0.6,▲,7.0,18.7,0.0,77.0
47,2020-12-02,4.8,1,1.0,▲,8.0,26.3,0.0,78.0
48,2020-12-03,3.8,1,-1.0,▼,7.0,-20.8,0.0,79.0
49,2020-12-08,4.0,1,0.2,▲,8.0,5.3,0.0,80.0
50,2020-12-20,4.8,1,0.8,▲,9.0,20.0,0.0,81.0
51,2021-01-13,5.0,1,0.2,▲,10.0,4.2,0.0,82.0
52,2021-01-21,3.4,1,-1.6,▼,9.0,-32.0,0.0,83.0
53,2021-01-22,4.6,1,1.2,▲,10.0,35.3,0.0,84.0
54,2021-01-24,4.4,1,-0.2,▼,9.0,-4.3,0.0,85.0
55,2021-01-28,4.2,1,-0.2,▼,8.0,-4.5,0.0,86.0
56,2021-02-04,3.8,2,-0.4,▼,7.0,-9.5,1.0,88.0
