,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-11,,3,0.0,-,0.0,0.0
1,2020-04-16,,1,,▲,1.0,
2,2020-04-18,,1,,▲,2.0,
3,2020-04-20,,1,,▲,3.0,
4,2020-04-25,2.6,1,,▲,4.0,
5,2020-04-30,2.2,1,-0.4,▼,3.0,-15.4
6,2020-05-01,2.4,1,0.2,▲,4.0,9.1
7,2020-05-02,2.6,1,0.2,▲,5.0,8.3
8,2020-05-08,2.6,4,0.0,-,5.0,0.0
9,2020-05-16,2.6,1,0.0,-,5.0,0.0
10,2020-05-17,2.8,1,0.2,▲,6.0,7.7
11,2020-05-26,2.4,1,-0.4,▼,5.0,-14.3
12,2020-06-14,2.4,1,0.0,-,5.0,0.0
13,2020-06-29,2.2,2,-0.2,▼,4.0,-8.3
14,2020-07-07,2.0,14,-0.2,▼,3.0,-9.1
15,2020-07-09,2.2,1,0.2,▲,4.0,10.0
16,2020-07-13,3.0,1,0.8,▲,5.0,36.4
17,2020-07-15,3.2,1,0.2,▲,6.0,6.7
18,2020-07-16,3.2,1,0.0,-,6.0,0.0
19,2020-07-17,3.6,1,0.4,▲,7.0,12.5
20,2020-07-18,3.4,1,-0.2,▼,6.0,-5.6
21,2020-07-20,3.0,1,-0.4,▼,5.0,-11.8
22,2020-07-23,2.6,5,-0.4,▼,4.0,-13.3
23,2020-08-09,3.0,1,0.4,▲,5.0,15.4
24,2020-08-17,2.6,1,-0.4,▼,4.0,-13.3
25,2020-08-19,2.6,4,0.0,-,4.0,0.0
26,2020-08-22,2.4,1,-0.2,▼,3.0,-7.7
