,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,4.2,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,4.0,1,-0.2,▼,-1.0,-4.8,0.0,1.0
2,2020-03-26,4.0,3,0.0,-,-1.0,0.0,2.0,4.0
3,2020-03-28,4.1,1,0.1,▲,0.0,2.5,-2.0,5.0
4,2020-03-29,4.4,3,0.3,▲,1.0,7.3,2.0,8.0
5,2020-03-30,4.6,1,0.2,▲,2.0,4.5,-2.0,9.0
6,2020-03-31,4.7,2,0.1,▲,3.0,2.2,1.0,11.0
7,2020-04-01,4.8,1,0.1,▲,4.0,2.1,-1.0,12.0
8,2020-04-02,4.8,1,0.0,-,4.0,0.0,0.0,13.0
9,2020-04-03,4.8,2,0.0,-,4.0,0.0,1.0,15.0
10,2020-04-04,5.0,1,0.2,▲,5.0,4.2,-1.0,16.0
11,2020-04-06,5.1,1,0.1,▲,6.0,2.0,0.0,17.0
12,2020-04-07,4.9,5,-0.2,▼,5.0,-3.9,4.0,22.0
13,2020-04-08,4.7,1,-0.2,▼,4.0,-4.1,-4.0,23.0
14,2020-04-09,4.4,1,-0.3,▼,3.0,-6.4,0.0,24.0
15,2020-04-10,4.0,4,-0.4,▼,2.0,-9.1,3.0,28.0
16,2020-04-11,3.5,4,-0.5,▼,1.0,-12.5,0.0,32.0
17,2020-04-12,3.7,1,0.2,▲,2.0,5.7,-3.0,33.0
18,2020-04-13,3.7,1,0.0,-,2.0,0.0,0.0,34.0
19,2020-04-14,3.7,1,0.0,-,2.0,0.0,0.0,35.0
20,2020-04-15,3.5,2,-0.2,▼,1.0,-5.4,1.0,37.0
21,2020-04-16,3.8,1,0.3,▲,2.0,8.6,-1.0,38.0
22,2020-04-17,3.6,1,-0.2,▼,1.0,-5.3,0.0,39.0
23,2020-04-18,3.6,2,0.0,-,1.0,0.0,1.0,41.0
24,2020-04-19,3.7,3,0.1,▲,2.0,2.8,1.0,44.0
25,2020-04-20,4.1,3,0.4,▲,3.0,10.8,0.0,47.0
26,2020-04-21,4.2,3,0.1,▲,4.0,2.4,0.0,50.0
27,2020-04-23,4.0,1,-0.2,▼,3.0,-4.8,-2.0,51.0
28,2020-04-24,3.9,4,-0.1,▼,2.0,-2.5,3.0,55.0
29,2020-04-25,4.1,6,0.2,▲,3.0,5.1,2.0,61.0
30,2020-04-26,4.0,6,-0.1,▼,2.0,-2.4,0.0,67.0
31,2020-04-27,3.9,4,-0.1,▼,1.0,-2.5,-2.0,71.0
32,2020-04-28,4.2,4,0.3,▲,2.0,7.7,0.0,75.0
33,2020-04-29,4.3,1,0.1,▲,3.0,2.4,-3.0,76.0
34,2020-04-30,4.4,1,0.1,▲,4.0,2.3,0.0,77.0
35,2020-05-01,4.5,2,0.1,▲,5.0,2.3,1.0,79.0
36,2020-05-02,4.6,3,0.1,▲,6.0,2.2,1.0,82.0
37,2020-05-03,4.6,2,0.0,-,6.0,0.0,-1.0,84.0
38,2020-05-04,4.8,3,0.2,▲,7.0,4.3,1.0,87.0
39,2020-05-05,4.7,2,-0.1,▼,6.0,-2.1,-1.0,89.0
40,2020-05-07,4.6,4,-0.1,▼,5.0,-2.1,2.0,93.0
41,2020-05-08,4.8,7,0.2,▲,6.0,4.3,3.0,100.0
42,2020-05-10,4.5,2,-0.3,▼,5.0,-6.2,-5.0,102.0
43,2020-05-11,4.3,2,-0.2,▼,4.0,-4.4,0.0,104.0
44,2020-05-13,4.2,6,-0.1,▼,3.0,-2.3,4.0,110.0
45,2020-05-14,3.9,1,-0.3,▼,2.0,-7.1,-5.0,111.0
46,2020-05-15,3.6,4,-0.3,▼,1.0,-7.7,3.0,115.0
47,2020-05-16,3.6,3,0.0,-,1.0,0.0,-1.0,118.0
48,2020-05-17,3.4,1,-0.2,▼,0.0,-5.6,-2.0,119.0
49,2020-05-19,3.3,2,-0.1,▼,-1.0,-2.9,1.0,121.0
50,2020-05-21,3.5,5,0.2,▲,0.0,6.1,3.0,126.0
51,2020-05-22,3.4,5,-0.1,▼,-1.0,-2.9,0.0,131.0
52,2020-05-23,3.8,1,0.4,▲,0.0,11.8,-4.0,132.0
53,2020-05-24,4.1,3,0.3,▲,1.0,7.9,2.0,135.0
54,2020-05-25,4.3,5,0.2,▲,2.0,4.9,2.0,140.0
55,2020-05-26,4.3,5,0.0,-,2.0,0.0,0.0,145.0
56,2020-05-27,4.5,4,0.2,▲,3.0,4.7,-1.0,149.0
57,2020-05-30,4.3,3,-0.2,▼,2.0,-4.4,-1.0,152.0
58,2020-05-31,4.2,1,-0.1,▼,1.0,-2.3,-2.0,153.0
59,2020-06-01,4.1,1,-0.1,▼,0.0,-2.4,0.0,154.0
60,2020-06-02,4.2,2,0.1,▲,1.0,2.4,1.0,156.0
61,2020-06-03,4.2,6,0.0,-,1.0,0.0,4.0,162.0
62,2020-06-04,4.3,4,0.1,▲,2.0,2.4,-2.0,166.0
63,2020-06-05,4.4,3,0.1,▲,3.0,2.3,-1.0,169.0
64,2020-06-06,4.2,2,-0.2,▼,2.0,-4.5,-1.0,171.0
65,2020-06-07,4.1,7,-0.1,▼,1.0,-2.4,5.0,178.0
66,2020-06-08,4.2,5,0.1,▲,2.0,2.4,-2.0,183.0
67,2020-06-09,4.3,3,0.1,▲,3.0,2.4,-2.0,186.0
68,2020-06-11,4.1,2,-0.2,▼,2.0,-4.7,-1.0,188.0
69,2020-06-12,4.3,5,0.2,▲,3.0,4.9,3.0,193.0
70,2020-06-13,4.5,1,0.2,▲,4.0,4.7,-4.0,194.0
71,2020-06-14,4.3,2,-0.2,▼,3.0,-4.4,1.0,196.0
72,2020-06-15,4.1,2,-0.2,▼,2.0,-4.7,0.0,198.0
73,2020-06-16,4.4,2,0.3,▲,3.0,7.3,0.0,200.0
74,2020-06-17,4.4,2,0.0,-,3.0,0.0,0.0,202.0
75,2020-06-18,4.3,3,-0.1,▼,2.0,-2.3,1.0,205.0
76,2020-06-19,4.5,4,0.2,▲,3.0,4.7,1.0,209.0
77,2020-06-20,4.9,7,0.4,▲,4.0,8.9,3.0,216.0
78,2020-06-21,4.7,1,-0.2,▼,3.0,-4.1,-6.0,217.0
79,2020-06-22,5.4,6,0.7,▲,4.0,14.9,5.0,223.0
80,2020-06-24,5.4,3,0.0,-,4.0,0.0,-3.0,226.0
81,2020-06-25,5.3,2,-0.1,▼,3.0,-1.9,-1.0,228.0
82,2020-06-26,4.9,6,-0.4,▼,2.0,-7.5,4.0,234.0
