,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,3.6,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,3.5,4,-0.1,▼,-1.0,-2.8,1.0,4.0
2,2020-03-26,3.4,5,-0.1,▼,-2.0,-2.9,1.0,9.0
3,2020-03-27,2.9,6,-0.5,▼,-3.0,-14.7,1.0,15.0
4,2020-03-28,3.2,6,0.3,▲,-2.0,10.3,0.0,21.0
5,2020-03-29,3.0,4,-0.2,▼,-3.0,-6.2,-2.0,25.0
6,2020-03-30,2.9,3,-0.1,▼,-4.0,-3.3,-1.0,28.0
7,2020-03-31,3.1,32,0.2,▲,-3.0,6.9,29.0,60.0
8,2020-04-01,3.4,41,0.3,▲,-2.0,9.7,9.0,101.0
9,2020-04-02,3.2,25,-0.2,▼,-3.0,-5.9,-16.0,126.0
10,2020-04-03,3.6,12,0.4,▲,-2.0,12.5,-13.0,138.0
11,2020-04-04,3.8,15,0.2,▲,-1.0,5.6,3.0,153.0
12,2020-04-05,3.8,27,0.0,-,-1.0,0.0,12.0,180.0
13,2020-04-06,3.7,12,-0.1,▼,-2.0,-2.6,-15.0,192.0
14,2020-04-07,3.9,4,0.2,▲,-1.0,5.4,-8.0,196.0
15,2020-04-08,3.8,13,-0.1,▼,-2.0,-2.6,9.0,209.0
16,2020-04-09,3.8,11,0.0,-,-2.0,0.0,-2.0,220.0
17,2020-04-10,3.9,8,0.1,▲,-1.0,2.6,-3.0,228.0
18,2020-04-11,4.0,15,0.1,▲,0.0,2.6,7.0,243.0
19,2020-04-12,3.9,14,-0.1,▼,-1.0,-2.5,-1.0,257.0
20,2020-04-13,3.8,12,-0.1,▼,-2.0,-2.6,-2.0,269.0
21,2020-04-14,3.6,5,-0.2,▼,-3.0,-5.3,-7.0,274.0
22,2020-04-15,3.5,14,-0.1,▼,-4.0,-2.8,9.0,288.0
23,2020-04-16,3.4,5,-0.1,▼,-5.0,-2.9,-9.0,293.0
24,2020-04-17,3.3,8,-0.1,▼,-6.0,-2.9,3.0,301.0
25,2020-04-18,3.2,12,-0.1,▼,-7.0,-3.0,4.0,313.0
26,2020-04-19,3.3,3,0.1,▲,-6.0,3.1,-9.0,316.0
27,2020-04-20,3.3,9,0.0,-,-6.0,0.0,6.0,325.0
28,2020-04-21,3.2,5,-0.1,▼,-7.0,-3.0,-4.0,330.0
29,2020-04-22,3.2,4,0.0,-,-7.0,0.0,-1.0,334.0
30,2020-04-23,3.5,3,0.3,▲,-6.0,9.4,-1.0,337.0
31,2020-04-24,3.5,3,0.0,-,-6.0,0.0,0.0,340.0
32,2020-04-25,3.4,5,-0.1,▼,-7.0,-2.9,2.0,345.0
33,2020-04-26,3.6,8,0.2,▲,-6.0,5.9,3.0,353.0
34,2020-04-27,3.5,4,-0.1,▼,-7.0,-2.8,-4.0,357.0
35,2020-04-28,3.2,6,-0.3,▼,-8.0,-8.6,2.0,363.0
36,2020-04-29,3.1,4,-0.1,▼,-9.0,-3.1,-2.0,367.0
37,2020-04-30,3.3,11,0.2,▲,-8.0,6.5,7.0,378.0
38,2020-05-01,3.3,9,0.0,-,-8.0,0.0,-2.0,387.0
39,2020-05-02,3.4,11,0.1,▲,-7.0,3.0,2.0,398.0
40,2020-05-03,3.5,7,0.1,▲,-6.0,2.9,-4.0,405.0
41,2020-05-04,3.6,5,0.1,▲,-5.0,2.9,-2.0,410.0
42,2020-05-05,3.4,13,-0.2,▼,-6.0,-5.6,8.0,423.0
43,2020-05-06,3.4,6,0.0,-,-6.0,0.0,-7.0,429.0
44,2020-05-07,3.5,7,0.1,▲,-5.0,2.9,1.0,436.0
45,2020-05-08,3.4,8,-0.1,▼,-6.0,-2.9,1.0,444.0
46,2020-05-09,3.3,3,-0.1,▼,-7.0,-2.9,-5.0,447.0
47,2020-05-10,3.2,9,-0.1,▼,-8.0,-3.0,6.0,456.0
48,2020-05-11,3.0,4,-0.2,▼,-9.0,-6.2,-5.0,460.0
49,2020-05-12,3.0,3,0.0,-,-9.0,0.0,-1.0,463.0
50,2020-05-13,3.0,7,0.0,-,-9.0,0.0,4.0,470.0
51,2020-05-14,3.1,15,0.1,▲,-8.0,3.3,8.0,485.0
52,2020-05-15,3.1,5,0.0,-,-8.0,0.0,-10.0,490.0
53,2020-05-16,3.0,9,-0.1,▼,-9.0,-3.2,4.0,499.0
54,2020-05-17,2.8,11,-0.2,▼,-10.0,-6.7,2.0,510.0
55,2020-05-18,2.7,7,-0.1,▼,-11.0,-3.6,-4.0,517.0
56,2020-05-19,2.6,7,-0.1,▼,-12.0,-3.7,0.0,524.0
57,2020-05-20,2.6,3,0.0,-,-12.0,0.0,-4.0,527.0
58,2020-05-21,2.7,4,0.1,▲,-11.0,3.8,1.0,531.0
59,2020-05-22,2.6,3,-0.1,▼,-12.0,-3.7,-1.0,534.0
60,2020-05-23,2.6,3,0.0,-,-12.0,0.0,0.0,537.0
61,2020-05-24,2.8,4,0.2,▲,-11.0,7.7,1.0,541.0
62,2020-05-25,2.9,6,0.1,▲,-10.0,3.6,2.0,547.0
63,2020-05-26,2.8,3,-0.1,▼,-11.0,-3.4,-3.0,550.0
64,2020-05-27,2.9,4,0.1,▲,-10.0,3.6,1.0,554.0
65,2020-05-28,3.0,1,0.1,▲,-9.0,3.4,-3.0,555.0
66,2020-05-29,2.8,5,-0.2,▼,-10.0,-6.7,4.0,560.0
67,2020-05-30,2.9,3,0.1,▲,-9.0,3.6,-2.0,563.0
68,2020-05-31,3.0,6,0.1,▲,-8.0,3.4,3.0,569.0
69,2020-06-01,3.0,2,0.0,-,-8.0,0.0,-4.0,571.0
70,2020-06-02,3.1,3,0.1,▲,-7.0,3.3,1.0,574.0
71,2020-06-03,3.4,7,0.3,▲,-6.0,9.7,4.0,581.0
72,2020-06-04,3.4,4,0.0,-,-6.0,0.0,-3.0,585.0
73,2020-06-05,3.6,5,0.2,▲,-5.0,5.9,1.0,590.0
74,2020-06-06,3.6,1,0.0,-,-5.0,0.0,-4.0,591.0
75,2020-06-08,3.6,7,0.0,-,-5.0,0.0,6.0,598.0
76,2020-06-09,3.4,3,-0.2,▼,-6.0,-5.6,-4.0,601.0
77,2020-06-10,3.1,2,-0.3,▼,-7.0,-8.8,-1.0,603.0
78,2020-06-11,2.8,6,-0.3,▼,-8.0,-9.7,4.0,609.0
79,2020-06-12,2.9,3,0.1,▲,-7.0,3.6,-3.0,612.0
80,2020-06-13,2.8,3,-0.1,▼,-8.0,-3.4,0.0,615.0
81,2020-06-14,2.9,7,0.1,▲,-7.0,3.6,4.0,622.0
82,2020-06-15,3.0,9,0.1,▲,-6.0,3.4,2.0,631.0
83,2020-06-16,3.3,9,0.3,▲,-5.0,10.0,0.0,640.0
84,2020-06-17,3.0,4,-0.3,▼,-6.0,-9.1,-5.0,644.0
85,2020-06-18,3.0,2,0.0,-,-6.0,0.0,-2.0,646.0
86,2020-06-19,2.8,4,-0.2,▼,-7.0,-6.7,2.0,650.0
87,2020-06-20,3.0,7,0.2,▲,-6.0,7.1,3.0,657.0
88,2020-06-21,2.6,2,-0.4,▼,-7.0,-13.3,-5.0,659.0
89,2020-06-22,2.9,6,0.3,▲,-6.0,11.5,4.0,665.0
90,2020-06-23,2.8,4,-0.1,▼,-7.0,-3.4,-2.0,669.0
91,2020-06-24,2.7,1,-0.1,▼,-8.0,-3.6,-3.0,670.0
92,2020-06-25,2.4,3,-0.3,▼,-9.0,-11.1,2.0,673.0
93,2020-06-26,2.6,5,0.2,▲,-8.0,8.3,2.0,678.0
94,2020-06-27,2.6,5,0.0,-,-8.0,0.0,0.0,683.0
95,2020-06-28,2.6,4,0.0,-,-8.0,0.0,-1.0,687.0
96,2020-06-29,2.8,4,0.2,▲,-7.0,7.7,0.0,691.0
97,2020-06-30,2.8,2,0.0,-,-7.0,0.0,-2.0,693.0
98,2020-07-01,2.9,2,0.1,▲,-6.0,3.6,0.0,695.0
99,2020-07-02,2.6,2,-0.3,▼,-7.0,-10.3,0.0,697.0
100,2020-07-03,2.7,3,0.1,▲,-6.0,3.8,1.0,700.0
101,2020-07-04,2.8,4,0.1,▲,-5.0,3.7,1.0,704.0
102,2020-07-05,2.8,1,0.0,-,-5.0,0.0,-3.0,705.0
103,2020-07-06,2.6,4,-0.2,▼,-6.0,-7.1,3.0,709.0
104,2020-07-07,2.6,4,0.0,-,-6.0,0.0,0.0,713.0
105,2020-07-08,2.4,8,-0.2,▼,-7.0,-7.7,4.0,721.0
