,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,3.0,7,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,3.2,7,0.2,▲,1.0,6.7,0.0,7.0
2,2020-04-29,3.4,4,0.2,▲,2.0,6.2,-3.0,11.0
3,2020-04-30,3.3,7,-0.1,▼,1.0,-2.9,3.0,18.0
4,2020-05-01,3.1,4,-0.2,▼,0.0,-6.1,-3.0,22.0
5,2020-05-02,3.2,4,0.1,▲,1.0,3.2,0.0,26.0
6,2020-05-03,3.0,6,-0.2,▼,0.0,-6.2,2.0,32.0
7,2020-05-04,2.7,11,-0.3,▼,-1.0,-10.0,5.0,43.0
8,2020-05-05,2.6,8,-0.1,▼,-2.0,-3.7,-3.0,51.0
9,2020-05-06,2.6,6,0.0,-,-2.0,0.0,-2.0,57.0
10,2020-05-07,2.4,2,-0.2,▼,-3.0,-7.7,-4.0,59.0
11,2020-05-08,2.6,8,0.2,▲,-2.0,8.3,6.0,67.0
12,2020-05-09,2.7,5,0.1,▲,-1.0,3.8,-3.0,72.0
13,2020-05-10,2.7,8,0.0,-,-1.0,0.0,3.0,80.0
14,2020-05-11,2.7,9,0.0,-,-1.0,0.0,1.0,89.0
15,2020-05-12,2.7,6,0.0,-,-1.0,0.0,-3.0,95.0
16,2020-05-13,2.6,4,-0.1,▼,-2.0,-3.7,-2.0,99.0
17,2020-05-14,2.6,5,0.0,-,-2.0,0.0,1.0,104.0
18,2020-05-15,2.7,1,0.1,▲,-1.0,3.8,-4.0,105.0
19,2020-05-16,2.7,6,0.0,-,-1.0,0.0,5.0,111.0
20,2020-05-17,2.7,8,0.0,-,-1.0,0.0,2.0,119.0
21,2020-05-18,2.6,6,-0.1,▼,-2.0,-3.7,-2.0,125.0
22,2020-05-19,2.6,5,0.0,-,-2.0,0.0,-1.0,130.0
23,2020-05-20,2.4,2,-0.2,▼,-3.0,-7.7,-3.0,132.0
24,2020-05-21,2.7,6,0.3,▲,-2.0,12.5,4.0,138.0
25,2020-05-22,2.6,5,-0.1,▼,-3.0,-3.7,-1.0,143.0
26,2020-05-23,2.9,5,0.3,▲,-2.0,11.5,0.0,148.0
27,2020-05-24,3.0,6,0.1,▲,-1.0,3.4,1.0,154.0
28,2020-05-25,3.1,8,0.1,▲,0.0,3.3,2.0,162.0
29,2020-05-26,3.0,8,-0.1,▼,-1.0,-3.2,0.0,170.0
30,2020-05-27,3.1,7,0.1,▲,0.0,3.3,-1.0,177.0
31,2020-05-28,2.8,3,-0.3,▼,-1.0,-9.7,-4.0,180.0
32,2020-05-29,2.7,6,-0.1,▼,-2.0,-3.6,3.0,186.0
33,2020-05-30,2.7,4,0.0,-,-2.0,0.0,-2.0,190.0
34,2020-05-31,2.6,3,-0.1,▼,-3.0,-3.7,-1.0,193.0
