,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,14.1,37,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,14.4,34,0.3,▲,1.0,2.1,-3.0,34.0
2,2020-03-26,14.5,54,0.1,▲,2.0,0.7,20.0,88.0
3,2020-03-27,14.5,47,0.0,-,2.0,0.0,-7.0,135.0
4,2020-03-28,14.4,64,-0.1,▼,1.0,-0.7,17.0,199.0
5,2020-03-29,14.9,79,0.5,▲,2.0,3.5,15.0,278.0
6,2020-03-30,15.1,57,0.2,▲,3.0,1.3,-22.0,335.0
7,2020-03-31,15.6,57,0.5,▲,4.0,3.3,0.0,392.0
8,2020-04-01,15.3,49,-0.3,▼,3.0,-1.9,-8.0,441.0
9,2020-04-02,15.2,43,-0.1,▼,2.0,-0.7,-6.0,484.0
10,2020-04-03,14.7,56,-0.5,▼,1.0,-3.3,13.0,540.0
11,2020-04-04,14.7,54,0.0,-,1.0,0.0,-2.0,594.0
12,2020-04-05,14.2,66,-0.5,▼,0.0,-3.4,12.0,660.0
13,2020-04-06,14.5,42,0.3,▲,1.0,2.1,-24.0,702.0
14,2020-04-07,14.7,68,0.2,▲,2.0,1.4,26.0,770.0
15,2020-04-08,15.0,39,0.3,▲,3.0,2.0,-29.0,809.0
16,2020-04-09,15.0,69,0.0,-,3.0,0.0,30.0,878.0
17,2020-04-10,15.1,44,0.1,▲,4.0,0.7,-25.0,922.0
18,2020-04-11,15.4,55,0.3,▲,5.0,2.0,11.0,977.0
19,2020-04-12,15.4,64,0.0,-,5.0,0.0,9.0,1041.0
20,2020-04-13,15.5,56,0.1,▲,6.0,0.6,-8.0,1097.0
21,2020-04-14,15.5,68,0.0,-,6.0,0.0,12.0,1165.0
22,2020-04-15,15.4,71,-0.1,▼,5.0,-0.6,3.0,1236.0
23,2020-04-16,15.5,60,0.1,▲,6.0,0.6,-11.0,1296.0
24,2020-04-17,15.4,81,-0.1,▼,5.0,-0.6,21.0,1377.0
25,2020-04-18,15.4,50,0.0,-,5.0,0.0,-31.0,1427.0
26,2020-04-19,15.1,84,-0.3,▼,4.0,-1.9,34.0,1511.0
