,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,47.7,43,0.0,-,0.0,0.0
1,2020-04-28,47.7,37,0.0,-,0.0,0.0
2,2020-04-29,47.7,54,0.0,-,0.0,0.0
3,2020-04-30,47.8,53,0.1,▲,1.0,0.2
4,2020-05-01,47.8,35,0.0,-,1.0,0.0
5,2020-05-02,47.2,46,-0.6,▼,0.0,-1.3
6,2020-05-03,47.9,23,0.7,▲,1.0,1.5
7,2020-05-04,46.4,31,-1.5,▼,0.0,-3.1
8,2020-05-05,46.9,32,0.5,▲,1.0,1.1
9,2020-05-06,46.3,37,-0.6,▼,0.0,-1.3
10,2020-05-07,45.7,40,-0.6,▼,-1.0,-1.3
11,2020-05-08,44.9,37,-0.8,▼,-2.0,-1.8
12,2020-05-09,45.4,45,0.5,▲,-1.0,1.1
13,2020-05-10,44.4,64,-1.0,▼,-2.0,-2.2
14,2020-05-11,44.0,45,-0.4,▼,-3.0,-0.9
15,2020-05-12,43.3,45,-0.7,▼,-4.0,-1.6
16,2020-05-13,43.3,34,0.0,-,-4.0,0.0
17,2020-05-14,42.8,40,-0.5,▼,-5.0,-1.2
18,2020-05-15,42.8,32,0.0,-,-5.0,0.0
19,2020-05-16,42.8,55,0.0,-,-5.0,0.0
20,2020-05-17,43.0,53,0.2,▲,-4.0,0.5
21,2020-05-18,42.8,15,-0.2,▼,-5.0,-0.5
22,2020-05-19,42.8,40,0.0,-,-5.0,0.0
23,2020-05-20,42.9,43,0.1,▲,-4.0,0.2
24,2020-05-21,42.3,39,-0.6,▼,-5.0,-1.4
25,2020-05-22,42.4,26,0.1,▲,-4.0,0.2
26,2020-05-23,42.1,32,-0.3,▼,-5.0,-0.7
27,2020-05-24,42.6,29,0.5,▲,-4.0,1.2
28,2020-05-25,43.0,33,0.4,▲,-3.0,0.9
29,2020-05-26,43.6,42,0.6,▲,-2.0,1.4
30,2020-05-27,44.3,30,0.7,▲,-1.0,1.6
31,2020-05-28,44.7,24,0.4,▲,0.0,0.9
32,2020-05-29,44.1,25,-0.6,▼,-1.0,-1.3
33,2020-05-30,43.5,31,-0.6,▼,-2.0,-1.4
34,2020-05-31,44.0,29,0.5,▲,-1.0,1.1
35,2020-06-01,44.2,21,0.2,▲,0.0,0.5
36,2020-06-02,43.7,33,-0.5,▼,-1.0,-1.1
37,2020-06-03,44.3,21,0.6,▲,0.0,1.4
38,2020-06-04,44.9,23,0.6,▲,1.0,1.4
39,2020-06-05,44.9,31,0.0,-,1.0,0.0
40,2020-06-06,44.4,37,-0.5,▼,0.0,-1.1
41,2020-06-07,45.7,32,1.3,▲,1.0,2.9
42,2020-06-08,46.2,17,0.5,▲,2.0,1.1
43,2020-06-09,47.1,18,0.9,▲,3.0,1.9
44,2020-06-10,47.1,18,0.0,-,3.0,0.0
45,2020-06-11,47.0,34,-0.1,▼,2.0,-0.2
46,2020-06-12,47.3,30,0.3,▲,3.0,0.6
47,2020-06-13,47.3,29,0.0,-,3.0,0.0
48,2020-06-14,46.4,51,-0.9,▼,2.0,-1.9
49,2020-06-15,45.9,47,-0.5,▼,1.0,-1.1
50,2020-06-16,44.5,50,-1.4,▼,0.0,-3.1
51,2020-06-17,43.0,38,-1.5,▼,-1.0,-3.4
52,2020-06-18,41.9,37,-1.1,▼,-2.0,-2.6
53,2020-06-19,41.6,33,-0.3,▼,-3.0,-0.7
54,2020-06-20,41.0,35,-0.6,▼,-4.0,-1.4
55,2020-06-21,42.2,26,1.2,▲,-3.0,2.9
56,2020-06-22,42.5,18,0.3,▲,-2.0,0.7
57,2020-06-23,43.5,29,1.0,▲,-1.0,2.4
58,2020-06-24,44.1,33,0.6,▲,0.0,1.4
59,2020-06-25,45.2,29,1.1,▲,1.0,2.5
60,2020-06-26,46.0,53,0.8,▲,2.0,1.8
61,2020-06-27,46.2,34,0.2,▲,3.0,0.4
62,2020-06-28,46.8,37,0.6,▲,4.0,1.3
63,2020-06-29,47.5,27,0.7,▲,5.0,1.5
64,2020-06-30,48.8,15,1.3,▲,6.0,2.7
65,2020-07-01,48.3,29,-0.5,▼,5.0,-1.0
66,2020-07-02,49.0,22,0.7,▲,6.0,1.4
67,2020-07-03,49.0,25,0.0,-,6.0,0.0
68,2020-07-04,49.0,36,0.0,-,6.0,0.0
69,2020-07-05,47.7,34,-1.3,▼,5.0,-2.7
70,2020-07-06,48.6,18,0.9,▲,6.0,1.9
71,2020-07-07,48.1,14,-0.5,▼,5.0,-1.0
72,2020-07-08,48.1,32,0.0,-,5.0,0.0
73,2020-07-09,48.3,27,0.2,▲,6.0,0.4
74,2020-07-10,49.0,29,0.7,▲,7.0,1.4
75,2020-07-11,48.6,32,-0.4,▼,6.0,-0.8
76,2020-07-12,47.6,34,-1.0,▼,5.0,-2.1
77,2020-07-13,47.2,30,-0.4,▼,4.0,-0.8
78,2020-07-14,45.8,35,-1.4,▼,3.0,-3.0
