,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-30,,1,0.0,-,0.0,0.0
1,2020-05-01,,1,,▲,1.0,
2,2020-05-03,2.6,1,,▲,2.0,
3,2020-05-04,2.8,1,0.2,▲,3.0,7.7
4,2020-05-05,2.6,1,-0.2,▼,2.0,-7.1
5,2020-05-08,2.9,2,0.3,▲,3.0,11.5
6,2020-05-09,2.8,2,-0.1,▼,2.0,-3.4
7,2020-05-10,2.3,3,-0.5,▼,1.0,-17.9
8,2020-05-12,2.2,3,-0.1,▼,0.0,-4.3
9,2020-05-13,2.0,1,-0.2,▼,-1.0,-9.1
10,2020-05-14,2.1,1,0.1,▲,0.0,5.0
11,2020-05-16,1.8,1,-0.3,▼,-1.0,-14.3
12,2020-05-18,1.5,1,-0.3,▼,-2.0,-16.7
13,2020-05-19,2.0,2,0.5,▲,-1.0,33.3
14,2020-05-20,2.2,1,0.2,▲,0.0,10.0
15,2020-05-21,1.8,4,-0.4,▼,-1.0,-18.2
16,2020-05-22,2.2,1,0.4,▲,0.0,22.2
17,2020-05-23,2.3,2,0.1,▲,1.0,4.5
18,2020-05-24,2.1,1,-0.2,▼,0.0,-8.7
19,2020-05-25,2.9,4,0.8,▲,1.0,38.1
20,2020-05-27,3.1,1,0.2,▲,2.0,6.9
21,2020-05-29,2.7,1,-0.4,▼,1.0,-12.9
22,2020-06-01,3.0,1,0.3,▲,2.0,11.1
23,2020-06-03,3.0,2,0.0,-,2.0,0.0
24,2020-06-06,2.8,2,-0.2,▼,1.0,-6.7
25,2020-06-07,2.8,2,0.0,-,1.0,0.0
26,2020-06-08,3.2,1,0.4,▲,2.0,14.3
27,2020-06-09,3.1,2,-0.1,▼,1.0,-3.1
28,2020-06-10,3.5,1,0.4,▲,2.0,12.9
29,2020-06-14,2.9,2,-0.6,▼,1.0,-17.1
30,2020-06-15,2.9,1,0.0,-,1.0,0.0
31,2020-06-19,2.7,1,-0.2,▼,0.0,-6.9
32,2020-06-20,2.7,3,0.0,-,0.0,0.0
33,2020-06-21,2.1,3,-0.6,▼,-1.0,-22.2
34,2020-06-22,1.9,2,-0.2,▼,-2.0,-9.5
35,2020-06-24,1.9,1,0.0,-,-2.0,0.0
36,2020-06-26,1.7,1,-0.2,▼,-3.0,-10.5
37,2020-06-28,1.5,2,-0.2,▼,-4.0,-11.8
38,2020-06-29,1.4,2,-0.1,▼,-5.0,-6.7
39,2020-07-01,1.4,3,0.0,-,-5.0,0.0
40,2020-07-04,1.2,2,-0.2,▼,-6.0,-14.3
41,2020-07-05,1.4,1,0.2,▲,-5.0,16.7
42,2020-07-06,1.3,1,-0.1,▼,-6.0,-7.1
43,2020-07-08,1.4,1,0.1,▲,-5.0,7.7
44,2020-07-13,1.6,1,0.2,▲,-4.0,14.3
45,2020-07-16,1.6,1,0.0,-,-4.0,0.0
46,2020-07-17,1.7,2,0.1,▲,-3.0,6.2
47,2020-07-19,1.9,1,0.2,▲,-2.0,11.8
48,2020-07-22,2.0,5,0.1,▲,-1.0,5.3
49,2020-07-25,2.6,1,0.6,▲,0.0,30.0
50,2020-07-27,2.8,1,0.2,▲,1.0,7.7
51,2020-07-30,2.7,1,-0.1,▼,0.0,-3.6
52,2020-08-02,2.7,1,0.0,-,0.0,0.0
53,2020-08-03,2.7,3,0.0,-,0.0,0.0
54,2020-08-05,2.3,3,-0.4,▼,-1.0,-14.8
55,2020-08-06,2.3,1,0.0,-,-1.0,0.0
56,2020-08-09,2.3,1,0.0,-,-1.0,0.0
57,2020-08-13,2.6,4,0.3,▲,0.0,13.0
58,2020-08-14,2.5,2,-0.1,▼,-1.0,-3.8
59,2020-08-19,2.3,1,-0.2,▼,-2.0,-8.0
60,2020-08-21,2.3,2,0.0,-,-2.0,0.0
61,2020-08-22,2.3,3,0.0,-,-2.0,0.0
62,2020-08-25,2.1,2,-0.2,▼,-3.0,-8.7
63,2020-08-27,2.1,5,0.0,-,-3.0,0.0
64,2020-08-28,2.2,3,0.1,▲,-2.0,4.8
