,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,5.6,6,0.0,-,0.0,0.0
1,2020-04-28,5.2,2,-0.4,▼,-1.0,-7.1
2,2020-04-29,5.2,1,0.0,-,-1.0,0.0
3,2020-04-30,5.1,3,-0.1,▼,-2.0,-1.9
4,2020-05-01,5.1,6,0.0,-,-2.0,0.0
5,2020-05-02,4.7,5,-0.4,▼,-3.0,-7.8
6,2020-05-03,4.7,6,0.0,-,-3.0,0.0
7,2020-05-04,4.9,2,0.2,▲,-2.0,4.3
8,2020-05-05,5.1,4,0.2,▲,-1.0,4.1
9,2020-05-06,5.0,4,-0.1,▼,-2.0,-2.0
10,2020-05-07,5.3,5,0.3,▲,-1.0,6.0
11,2020-05-08,5.4,5,0.1,▲,0.0,1.9
12,2020-05-09,4.9,5,-0.5,▼,-1.0,-9.3
13,2020-05-10,4.5,6,-0.4,▼,-2.0,-8.2
14,2020-05-11,4.4,6,-0.1,▼,-3.0,-2.2
15,2020-05-12,4.0,7,-0.4,▼,-4.0,-9.1
16,2020-05-13,3.7,4,-0.3,▼,-5.0,-7.5
17,2020-05-14,4.0,1,0.3,▲,-4.0,8.1
18,2020-05-15,4.4,9,0.4,▲,-3.0,10.0
19,2020-05-16,4.3,3,-0.1,▼,-4.0,-2.3
20,2020-05-17,4.5,9,0.2,▲,-3.0,4.7
21,2020-05-18,5.1,2,0.6,▲,-2.0,13.3
22,2020-05-19,5.0,3,-0.1,▼,-3.0,-2.0
23,2020-05-20,4.6,8,-0.4,▼,-4.0,-8.0
24,2020-05-21,5.0,4,0.4,▲,-3.0,8.7
25,2020-05-22,5.2,2,0.2,▲,-2.0,4.0
26,2020-05-23,4.6,4,-0.6,▼,-3.0,-11.5
27,2020-05-24,4.6,6,0.0,-,-3.0,0.0
28,2020-05-25,4.9,5,0.3,▲,-2.0,6.5
29,2020-05-26,4.4,1,-0.5,▼,-3.0,-10.2
30,2020-05-27,4.4,5,0.0,-,-3.0,0.0
31,2020-05-28,4.8,4,0.4,▲,-2.0,9.1
32,2020-05-29,4.7,6,-0.1,▼,-3.0,-2.1
33,2020-05-30,4.6,5,-0.1,▼,-4.0,-2.1
34,2020-05-31,4.9,9,0.3,▲,-3.0,6.5
35,2020-06-01,4.8,1,-0.1,▼,-4.0,-2.0
36,2020-06-02,4.6,4,-0.2,▼,-5.0,-4.2
37,2020-06-03,4.7,6,0.1,▲,-4.0,2.2
38,2020-06-04,4.7,3,0.0,-,-4.0,0.0
39,2020-06-05,4.9,7,0.2,▲,-3.0,4.3
40,2020-06-06,4.9,2,0.0,-,-3.0,0.0
41,2020-06-07,5.0,7,0.1,▲,-2.0,2.0
42,2020-06-08,5.0,4,0.0,-,-2.0,0.0
43,2020-06-09,4.9,2,-0.1,▼,-3.0,-2.0
44,2020-06-10,5.0,2,0.1,▲,-2.0,2.0
45,2020-06-11,4.9,3,-0.1,▼,-3.0,-2.0
46,2020-06-12,4.7,7,-0.2,▼,-4.0,-4.1
47,2020-06-13,4.8,2,0.1,▲,-3.0,2.1
48,2020-06-14,5.2,3,0.4,▲,-2.0,8.3
49,2020-06-15,5.0,2,-0.2,▼,-3.0,-3.8
50,2020-06-16,5.0,4,0.0,-,-3.0,0.0
51,2020-06-17,4.9,1,-0.1,▼,-4.0,-2.0
52,2020-06-18,4.9,3,0.0,-,-4.0,0.0
53,2020-06-19,4.6,3,-0.3,▼,-5.0,-6.1
54,2020-06-20,4.5,4,-0.1,▼,-6.0,-2.2
55,2020-06-21,4.6,4,0.1,▲,-5.0,2.2
56,2020-06-22,4.6,7,0.0,-,-5.0,0.0
57,2020-06-23,4.6,4,0.0,-,-5.0,0.0
58,2020-06-24,4.7,5,0.1,▲,-4.0,2.2
59,2020-06-25,4.8,2,0.1,▲,-3.0,2.1
60,2020-06-26,4.8,7,0.0,-,-3.0,0.0
61,2020-06-27,4.8,2,0.0,-,-3.0,0.0
62,2020-06-28,4.6,3,-0.2,▼,-4.0,-4.2
63,2020-06-29,4.5,6,-0.1,▼,-5.0,-2.2
64,2020-06-30,4.3,1,-0.2,▼,-6.0,-4.4
65,2020-07-01,4.1,5,-0.2,▼,-7.0,-4.7
66,2020-07-02,4.2,3,0.1,▲,-6.0,2.4
67,2020-07-03,4.2,1,0.0,-,-6.0,0.0
68,2020-07-04,4.0,6,-0.2,▼,-7.0,-4.8
69,2020-07-05,4.1,3,0.1,▲,-6.0,2.5
