,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-29,,1,,▲,1.0,,-3.0,1.0
2,2020-05-02,2.9,1,,▲,2.0,,0.0,2.0
3,2020-05-04,2.9,1,0.0,-,2.0,0.0,0.0,3.0
4,2020-05-09,3.1,2,0.2,▲,3.0,6.9,1.0,5.0
5,2020-05-12,3.2,1,0.1,▲,4.0,3.2,-1.0,6.0
6,2020-05-13,3.5,3,0.3,▲,5.0,9.4,2.0,9.0
7,2020-05-16,2.9,2,-0.6,▼,4.0,-17.1,-1.0,11.0
8,2020-05-25,3.1,1,0.2,▲,5.0,6.9,-1.0,12.0
9,2020-05-29,3.3,1,0.2,▲,6.0,6.5,0.0,13.0
10,2020-06-09,3.1,1,-0.2,▼,5.0,-6.1,0.0,14.0
11,2020-06-10,2.8,1,-0.3,▼,4.0,-9.7,0.0,15.0
12,2020-06-12,3.0,1,0.2,▲,5.0,7.1,0.0,16.0
13,2020-06-16,2.8,1,-0.2,▼,4.0,-6.7,0.0,17.0
14,2020-06-18,2.4,2,-0.4,▼,3.0,-14.3,1.0,19.0
15,2020-06-19,2.6,1,0.2,▲,4.0,8.3,-1.0,20.0
16,2020-06-23,2.8,10,0.2,▲,5.0,7.7,9.0,30.0
17,2020-06-25,3.2,1,0.4,▲,6.0,14.3,-9.0,31.0
18,2020-06-28,3.4,1,0.2,▲,7.0,6.2,0.0,32.0
19,2020-06-30,3.2,1,-0.2,▼,6.0,-5.9,0.0,33.0
20,2020-07-01,3.2,2,0.0,-,6.0,0.0,1.0,35.0
21,2020-07-07,3.2,1,0.0,-,6.0,0.0,-1.0,36.0
22,2020-07-08,2.8,1,-0.4,▼,5.0,-12.5,0.0,37.0
23,2020-07-18,2.8,1,0.0,-,5.0,0.0,0.0,38.0
24,2020-07-19,3.0,1,0.2,▲,6.0,7.1,0.0,39.0
25,2020-07-20,3.0,1,0.0,-,6.0,0.0,0.0,40.0
26,2020-07-23,2.9,2,-0.1,▼,5.0,-3.3,1.0,42.0
27,2020-07-24,3.3,1,0.4,▲,6.0,13.8,-1.0,43.0
28,2020-07-25,3.3,1,0.0,-,6.0,0.0,0.0,44.0
29,2020-07-28,3.3,1,0.0,-,6.0,0.0,0.0,45.0
30,2020-07-31,3.4,3,0.1,▲,7.0,3.0,2.0,48.0
31,2020-08-02,3.4,3,0.0,-,7.0,0.0,0.0,51.0
32,2020-08-04,3.0,2,-0.4,▼,6.0,-11.8,-1.0,53.0
33,2020-08-06,3.0,1,0.0,-,6.0,0.0,-1.0,54.0
34,2020-08-08,2.8,1,-0.2,▼,5.0,-6.7,0.0,55.0
35,2020-08-11,2.7,1,-0.1,▼,4.0,-3.6,0.0,56.0
36,2020-08-12,2.8,1,0.1,▲,5.0,3.7,0.0,57.0
37,2020-08-15,2.7,2,-0.1,▼,4.0,-3.6,1.0,59.0
38,2020-08-18,2.9,3,0.2,▲,5.0,7.4,1.0,62.0
39,2020-08-21,2.7,1,-0.2,▼,4.0,-6.9,-2.0,63.0
40,2020-08-24,2.7,1,0.0,-,4.0,0.0,0.0,64.0
41,2020-08-27,2.7,2,0.0,-,4.0,0.0,1.0,66.0
42,2020-08-28,2.9,2,0.2,▲,5.0,7.4,0.0,68.0
43,2020-08-29,2.7,1,-0.2,▼,4.0,-6.9,-1.0,69.0
44,2020-08-30,3.3,2,0.6,▲,5.0,22.2,1.0,71.0
45,2020-09-03,3.3,1,0.0,-,5.0,0.0,-1.0,72.0
46,2020-09-05,3.3,1,0.0,-,5.0,0.0,0.0,73.0
47,2020-09-06,3.2,2,-0.1,▼,4.0,-3.0,1.0,75.0
48,2020-09-08,3.2,2,0.0,-,4.0,0.0,0.0,77.0
49,2020-09-09,3.0,1,-0.2,▼,3.0,-6.2,-1.0,78.0
50,2020-09-12,3.0,1,0.0,-,3.0,0.0,0.0,79.0
51,2020-09-13,3.0,1,0.0,-,3.0,0.0,0.0,80.0
52,2020-09-18,3.2,1,0.2,▲,4.0,6.7,0.0,81.0
53,2020-09-22,3.3,2,0.1,▲,5.0,3.1,1.0,83.0
54,2020-09-23,3.3,1,0.0,-,5.0,0.0,-1.0,84.0
55,2020-09-27,3.3,1,0.0,-,5.0,0.0,0.0,85.0
56,2020-09-28,3.3,3,0.0,-,5.0,0.0,2.0,88.0
57,2020-09-29,3.1,1,-0.2,▼,4.0,-6.1,-2.0,89.0
58,2020-09-30,2.8,1,-0.3,▼,3.0,-9.7,0.0,90.0
59,2020-10-01,2.8,1,0.0,-,3.0,0.0,0.0,91.0
60,2020-10-02,2.8,2,0.0,-,3.0,0.0,1.0,93.0
61,2020-10-03,2.8,2,0.0,-,3.0,0.0,0.0,95.0
62,2020-10-05,3.0,1,0.2,▲,4.0,7.1,-1.0,96.0
63,2020-10-11,3.6,5,0.6,▲,5.0,20.0,4.0,101.0
64,2020-10-12,3.6,1,0.0,-,5.0,0.0,-4.0,102.0
65,2020-10-14,3.7,2,0.1,▲,6.0,2.8,1.0,104.0
66,2020-10-22,4.1,2,0.4,▲,7.0,10.8,0.0,106.0
67,2020-10-29,4.1,1,0.0,-,7.0,0.0,-1.0,107.0
68,2020-10-30,3.8,2,-0.3,▼,6.0,-7.3,1.0,109.0
69,2020-10-31,3.8,1,0.0,-,6.0,0.0,-1.0,110.0
70,2020-11-03,3.9,2,0.1,▲,7.0,2.6,1.0,112.0
71,2020-11-04,3.5,1,-0.4,▼,6.0,-10.3,-1.0,113.0
72,2020-11-06,3.3,1,-0.2,▼,5.0,-5.7,0.0,114.0
73,2020-11-15,3.4,1,0.1,▲,6.0,3.0,0.0,115.0
74,2020-11-18,3.4,1,0.0,-,6.0,0.0,0.0,116.0
75,2020-11-27,3.2,1,-0.2,▼,5.0,-5.9,0.0,117.0
76,2020-11-29,3.0,2,-0.2,▼,4.0,-6.2,1.0,119.0
77,2020-12-08,3.4,1,0.4,▲,5.0,13.3,-1.0,120.0
78,2020-12-14,3.1,3,-0.3,▼,4.0,-8.8,2.0,123.0
79,2020-12-15,3.0,2,-0.1,▼,3.0,-3.2,-1.0,125.0
80,2020-12-16,3.4,1,0.4,▲,4.0,13.3,-1.0,126.0
81,2020-12-19,3.6,2,0.2,▲,5.0,5.9,1.0,128.0
82,2020-12-25,3.2,1,-0.4,▼,4.0,-11.1,-1.0,129.0
83,2020-12-27,3.1,1,-0.1,▼,3.0,-3.1,0.0,130.0
84,2020-12-28,3.2,1,0.1,▲,4.0,3.2,0.0,131.0
85,2020-12-31,2.6,1,-0.6,▼,3.0,-18.7,0.0,132.0
86,2021-01-01,2.8,1,0.2,▲,4.0,7.7,0.0,133.0
87,2021-01-05,2.8,3,0.0,-,4.0,0.0,2.0,136.0
88,2021-01-09,3.0,1,0.2,▲,5.0,7.1,-2.0,137.0
89,2021-01-16,3.4,1,0.4,▲,6.0,13.3,0.0,138.0
90,2021-01-20,3.6,2,0.2,▲,7.0,5.9,1.0,140.0
91,2021-01-22,3.8,1,0.2,▲,8.0,5.6,-1.0,141.0
92,2021-01-23,3.8,1,0.0,-,8.0,0.0,0.0,142.0
93,2021-01-25,3.8,1,0.0,-,8.0,0.0,0.0,143.0
94,2021-02-02,3.4,1,-0.4,▼,7.0,-10.5,0.0,144.0
