,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,4.8,24,0.0,-,0.0,0.0
1,2020-03-25,5.3,19,0.5,▲,1.0,10.4
2,2020-03-26,5.3,19,0.0,-,1.0,0.0
3,2020-03-27,4.9,16,-0.4,▼,0.0,-7.5
4,2020-03-28,5.1,20,0.2,▲,1.0,4.1
5,2020-03-29,5.4,32,0.3,▲,2.0,5.9
6,2020-03-30,5.5,42,0.1,▲,3.0,1.9
7,2020-03-31,5.8,16,0.3,▲,4.0,5.5
8,2020-04-01,6.3,25,0.5,▲,5.0,8.6
9,2020-04-02,7.2,21,0.9,▲,6.0,14.3
10,2020-04-03,7.7,16,0.5,▲,7.0,6.9
11,2020-04-04,7.6,29,-0.1,▼,6.0,-1.3
12,2020-04-05,7.2,34,-0.4,▼,5.0,-5.3
13,2020-04-06,7.1,20,-0.1,▼,4.0,-1.4
14,2020-04-07,6.4,32,-0.7,▼,3.0,-9.9
15,2020-04-08,5.4,20,-1.0,▼,2.0,-15.6
16,2020-04-09,5.3,29,-0.1,▼,1.0,-1.9
17,2020-04-10,5.5,24,0.2,▲,2.0,3.8
18,2020-04-11,5.2,33,-0.3,▼,1.0,-5.5
19,2020-04-12,5.8,23,0.6,▲,2.0,11.5
20,2020-04-13,5.8,21,0.0,-,2.0,0.0
21,2020-04-14,5.6,38,-0.2,▼,1.0,-3.4
22,2020-04-15,5.2,23,-0.4,▼,0.0,-7.1
23,2020-04-16,5.0,23,-0.2,▼,-1.0,-3.8
24,2020-04-17,4.1,28,-0.9,▼,-2.0,-18.0
25,2020-04-18,4.9,42,0.8,▲,-1.0,19.5
26,2020-04-19,4.9,25,0.0,-,-1.0,0.0
27,2020-04-20,4.9,18,0.0,-,-1.0,0.0
28,2020-04-21,5.0,20,0.1,▲,0.0,2.0
29,2020-04-22,5.0,17,0.0,-,0.0,0.0
30,2020-04-23,4.1,27,-0.9,▼,-1.0,-18.0
31,2020-04-24,3.9,31,-0.2,▼,-2.0,-4.9
32,2020-04-25,4.0,40,0.1,▲,-1.0,2.6
33,2020-04-26,4.0,35,0.0,-,-1.0,0.0
34,2020-04-27,4.0,26,0.0,-,-1.0,0.0
35,2020-04-28,4.4,16,0.4,▲,0.0,10.0
36,2020-04-29,4.3,32,-0.1,▼,-1.0,-2.3
37,2020-04-30,4.4,27,0.1,▲,0.0,2.3
38,2020-05-01,4.4,21,0.0,-,0.0,0.0
39,2020-05-02,4.5,21,0.1,▲,1.0,2.3
40,2020-05-03,4.5,29,0.0,-,1.0,0.0
41,2020-05-04,4.6,25,0.1,▲,2.0,2.2
42,2020-05-05,4.5,33,-0.1,▼,1.0,-2.2
43,2020-05-06,4.5,22,0.0,-,1.0,0.0
44,2020-05-07,4.4,24,-0.1,▼,0.0,-2.2
45,2020-05-08,4.1,15,-0.3,▼,-1.0,-6.8
46,2020-05-09,4.2,18,0.1,▲,0.0,2.4
47,2020-05-10,4.3,36,0.1,▲,1.0,2.4
48,2020-05-11,4.4,19,0.1,▲,2.0,2.3
49,2020-05-12,4.4,32,0.0,-,2.0,0.0
50,2020-05-13,4.6,31,0.2,▲,3.0,4.5
51,2020-05-14,5.3,30,0.7,▲,4.0,15.2
52,2020-05-15,5.2,27,-0.1,▼,3.0,-1.9
53,2020-05-16,5.1,34,-0.1,▼,2.0,-1.9
54,2020-05-17,5.6,33,0.5,▲,3.0,9.8
55,2020-05-18,5.4,17,-0.2,▼,2.0,-3.6
56,2020-05-19,4.5,27,-0.9,▼,1.0,-16.7
57,2020-05-20,4.6,27,0.1,▲,2.0,2.2
58,2020-05-21,4.7,24,0.1,▲,3.0,2.2
59,2020-05-22,4.6,20,-0.1,▼,2.0,-2.1
60,2020-05-23,4.6,22,0.0,-,2.0,0.0
61,2020-05-24,4.7,32,0.1,▲,3.0,2.2
62,2020-05-25,4.6,31,-0.1,▼,2.0,-2.1
63,2020-05-26,4.9,17,0.3,▲,3.0,6.5
64,2020-05-27,4.6,20,-0.3,▼,2.0,-6.1
65,2020-05-28,4.7,26,0.1,▲,3.0,2.2
66,2020-05-29,4.6,24,-0.1,▼,2.0,-2.1
67,2020-05-30,4.6,27,0.0,-,2.0,0.0
68,2020-05-31,4.3,28,-0.3,▼,1.0,-6.5
69,2020-06-01,4.7,21,0.4,▲,2.0,9.3
70,2020-06-02,4.5,26,-0.2,▼,1.0,-4.3
71,2020-06-03,4.5,25,0.0,-,1.0,0.0
72,2020-06-04,4.5,21,0.0,-,1.0,0.0
73,2020-06-05,4.5,18,0.0,-,1.0,0.0
74,2020-06-06,4.5,28,0.0,-,1.0,0.0
75,2020-06-07,5.0,36,0.5,▲,2.0,11.1
76,2020-06-08,5.3,37,0.3,▲,3.0,6.0
77,2020-06-09,5.3,16,0.0,-,3.0,0.0
78,2020-06-10,5.2,15,-0.1,▼,2.0,-1.9
79,2020-06-11,4.7,11,-0.5,▼,1.0,-9.6
80,2020-06-12,4.2,17,-0.5,▼,0.0,-10.6
81,2020-06-13,3.9,24,-0.3,▼,-1.0,-7.1
82,2020-06-14,4.4,23,0.5,▲,0.0,12.8
83,2020-06-15,4.5,19,0.1,▲,1.0,2.3
84,2020-06-16,4.4,27,-0.1,▼,0.0,-2.2
85,2020-06-17,4.4,23,0.0,-,0.0,0.0
86,2020-06-18,4.6,27,0.2,▲,1.0,4.5
87,2020-06-19,4.1,29,-0.5,▼,0.0,-10.9
88,2020-06-20,4.5,22,0.4,▲,1.0,9.8
89,2020-06-21,4.7,22,0.2,▲,2.0,4.4
90,2020-06-22,4.8,20,0.1,▲,3.0,2.1
91,2020-06-23,4.6,22,-0.2,▼,2.0,-4.2
92,2020-06-24,4.8,15,0.2,▲,3.0,4.3
93,2020-06-25,4.3,29,-0.5,▼,2.0,-10.4
94,2020-06-26,4.4,20,0.1,▲,3.0,2.3
95,2020-06-27,4.4,19,0.0,-,3.0,0.0
96,2020-06-28,4.6,17,0.2,▲,4.0,4.5
97,2020-06-29,4.3,17,-0.3,▼,3.0,-6.5
98,2020-06-30,4.3,8,0.0,-,3.0,0.0
99,2020-07-01,4.4,26,0.1,▲,4.0,2.3
100,2020-07-02,4.4,10,0.0,-,4.0,0.0
101,2020-07-03,4.3,12,-0.1,▼,3.0,-2.3
102,2020-07-04,4.4,18,0.1,▲,4.0,2.3
103,2020-07-05,4.2,24,-0.2,▼,3.0,-4.5
104,2020-07-06,4.1,17,-0.1,▼,2.0,-2.4
105,2020-07-07,4.0,18,-0.1,▼,1.0,-2.4
106,2020-07-08,3.9,15,-0.1,▼,0.0,-2.5
107,2020-07-09,3.8,13,-0.1,▼,-1.0,-2.6
108,2020-07-10,4.1,14,0.3,▲,0.0,7.9
109,2020-07-11,3.8,15,-0.3,▼,-1.0,-7.3
110,2020-07-12,3.8,13,0.0,-,-1.0,0.0
111,2020-07-13,4.2,23,0.4,▲,0.0,10.5
112,2020-07-14,4.4,18,0.2,▲,1.0,4.8
113,2020-07-15,4.9,35,0.5,▲,2.0,11.4
114,2020-07-16,5.4,39,0.5,▲,3.0,10.2
115,2020-07-17,5.8,38,0.4,▲,4.0,7.4
116,2020-07-18,6.0,35,0.2,▲,5.0,3.4
117,2020-07-19,6.2,35,0.2,▲,6.0,3.3
118,2020-07-20,6.2,27,0.0,-,6.0,0.0
119,2020-07-21,6.0,27,-0.2,▼,5.0,-3.2
120,2020-07-22,5.6,23,-0.4,▼,4.0,-6.7
121,2020-07-23,5.4,30,-0.2,▼,3.0,-3.6
122,2020-07-24,5.5,22,0.1,▲,4.0,1.9
123,2020-07-25,5.5,28,0.0,-,4.0,0.0
124,2020-07-26,5.8,28,0.3,▲,5.0,5.5
125,2020-07-27,6.0,21,0.2,▲,6.0,3.4
126,2020-07-28,6.6,30,0.6,▲,7.0,10.0
127,2020-07-29,6.4,22,-0.2,▼,6.0,-3.0
128,2020-07-30,6.4,24,0.0,-,6.0,0.0
129,2020-07-31,6.4,33,0.0,-,6.0,0.0
130,2020-08-01,6.8,27,0.4,▲,7.0,6.2
131,2020-08-02,6.2,37,-0.6,▼,6.0,-8.8
132,2020-08-03,6.5,36,0.3,▲,7.0,4.8
133,2020-08-04,6.0,31,-0.5,▼,6.0,-7.7
134,2020-08-05,6.0,41,0.0,-,6.0,0.0
135,2020-08-06,5.9,57,-0.1,▼,5.0,-1.7
136,2020-08-07,6.0,28,0.1,▲,6.0,1.7
137,2020-08-08,6.0,41,0.0,-,6.0,0.0
138,2020-08-09,6.5,37,0.5,▲,7.0,8.3
139,2020-08-10,6.4,49,-0.1,▼,6.0,-1.5
140,2020-08-11,6.2,34,-0.2,▼,5.0,-3.1
141,2020-08-12,6.1,19,-0.1,▼,4.0,-1.6
142,2020-08-13,6.1,37,0.0,-,4.0,0.0
143,2020-08-14,6.1,35,0.0,-,4.0,0.0
