,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,,1,0.0,-,0.0,0.0
1,2020-04-30,,1,,▲,1.0,
2,2020-05-03,,1,,▲,2.0,
3,2020-05-06,1.8,2,,▲,3.0,
4,2020-05-13,1.4,1,-0.4,▼,2.0,-22.2
5,2020-05-14,1.4,1,0.0,-,2.0,0.0
6,2020-05-15,1.6,2,0.2,▲,3.0,14.3
7,2020-05-17,1.8,1,0.2,▲,4.0,12.5
8,2020-05-19,1.6,1,-0.2,▼,3.0,-11.1
9,2020-05-20,1.6,1,0.0,-,3.0,0.0
10,2020-05-21,1.4,1,-0.2,▼,2.0,-12.5
11,2020-05-27,1.3,2,-0.1,▼,1.0,-7.1
12,2020-05-28,1.3,1,0.0,-,1.0,0.0
13,2020-05-29,1.3,2,0.0,-,1.0,0.0
14,2020-05-30,1.4,7,0.1,▲,2.0,7.7
15,2020-05-31,1.6,1,0.2,▲,3.0,14.3
16,2020-06-06,1.9,1,0.3,▲,4.0,18.7
17,2020-06-10,1.9,1,0.0,-,4.0,0.0
18,2020-06-13,1.9,1,0.0,-,4.0,0.0
19,2020-06-14,1.8,1,-0.1,▼,3.0,-5.3
20,2020-06-17,1.6,3,-0.2,▼,2.0,-11.1
21,2020-06-19,1.3,2,-0.3,▼,1.0,-18.7
22,2020-06-23,1.5,1,0.2,▲,2.0,15.4
23,2020-06-24,1.7,1,0.2,▲,3.0,13.3
24,2020-06-25,1.9,1,0.2,▲,4.0,11.8
25,2020-06-26,2.3,1,0.4,▲,5.0,21.1
26,2020-06-29,2.2,1,-0.1,▼,4.0,-4.3
27,2020-07-03,2.0,1,-0.2,▼,3.0,-9.1
28,2020-07-05,1.9,2,-0.1,▼,2.0,-5.0
29,2020-07-08,2.1,2,0.2,▲,3.0,10.5
30,2020-07-12,1.9,1,-0.2,▼,2.0,-9.5
31,2020-07-13,2.1,1,0.2,▲,3.0,10.5
32,2020-07-16,2.1,1,0.0,-,3.0,0.0
33,2020-07-19,2.0,1,-0.1,▼,2.0,-4.8
34,2020-07-20,1.6,1,-0.4,▼,1.0,-20.0
35,2020-07-22,1.6,1,0.0,-,1.0,0.0
36,2020-07-25,1.4,1,-0.2,▼,0.0,-12.5
37,2020-07-29,1.4,1,0.0,-,0.0,0.0
38,2020-07-31,1.6,1,0.2,▲,1.0,14.3
39,2020-08-03,1.8,1,0.2,▲,2.0,12.5
40,2020-08-10,1.9,4,0.1,▲,3.0,5.6
41,2020-08-11,1.9,2,0.0,-,3.0,0.0
42,2020-08-13,1.9,8,0.0,-,3.0,0.0
43,2020-08-21,1.7,1,-0.2,▼,2.0,-10.5
44,2020-08-23,1.7,1,0.0,-,2.0,0.0
45,2020-08-24,1.4,1,-0.3,▼,1.0,-17.6
