,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,3.6,3,0.0,-,0.0,0.0
1,2020-04-28,4.1,3,0.5,▲,1.0,13.9
2,2020-04-29,4.1,2,0.0,-,1.0,0.0
3,2020-04-30,4.1,2,0.0,-,1.0,0.0
4,2020-05-02,4.1,2,0.0,-,1.0,0.0
5,2020-05-03,4.1,2,0.0,-,1.0,0.0
6,2020-05-04,3.8,1,-0.3,▼,0.0,-7.3
7,2020-05-05,3.6,2,-0.2,▼,-1.0,-5.3
8,2020-05-06,3.5,2,-0.1,▼,-2.0,-2.8
9,2020-05-07,3.4,3,-0.1,▼,-3.0,-2.9
10,2020-05-08,3.3,4,-0.1,▼,-4.0,-2.9
11,2020-05-09,3.4,2,0.1,▲,-3.0,3.0
12,2020-05-10,3.5,2,0.1,▲,-2.0,2.9
13,2020-05-11,3.5,3,0.0,-,-2.0,0.0
14,2020-05-12,3.6,2,0.1,▲,-1.0,2.9
15,2020-05-13,3.6,4,0.0,-,-1.0,0.0
16,2020-05-14,3.6,4,0.0,-,-1.0,0.0
17,2020-05-15,3.6,2,0.0,-,-1.0,0.0
18,2020-05-16,3.7,6,0.1,▲,0.0,2.8
19,2020-05-17,3.5,2,-0.2,▼,-1.0,-5.4
20,2020-05-18,3.8,1,0.3,▲,0.0,8.6
21,2020-05-19,3.8,2,0.0,-,0.0,0.0
22,2020-05-20,3.9,6,0.1,▲,1.0,2.6
23,2020-05-21,3.8,6,-0.1,▼,0.0,-2.6
24,2020-05-22,4.0,8,0.2,▲,1.0,5.3
25,2020-05-23,3.6,5,-0.4,▼,0.0,-10.0
26,2020-05-24,3.8,4,0.2,▲,1.0,5.6
27,2020-05-25,3.6,1,-0.2,▼,0.0,-5.3
28,2020-05-27,3.6,2,0.0,-,0.0,0.0
29,2020-05-28,3.6,2,0.0,-,0.0,0.0
30,2020-05-29,3.8,3,0.2,▲,1.0,5.6
31,2020-05-30,3.7,2,-0.1,▼,0.0,-2.6
32,2020-06-02,3.8,3,0.1,▲,1.0,2.7
33,2020-06-03,3.9,1,0.1,▲,2.0,2.6
34,2020-06-04,3.7,2,-0.2,▼,1.0,-5.1
35,2020-06-05,3.9,1,0.2,▲,2.0,5.4
36,2020-06-07,4.0,2,0.1,▲,3.0,2.6
37,2020-06-08,4.0,2,0.0,-,3.0,0.0
38,2020-06-09,4.0,1,0.0,-,3.0,0.0
39,2020-06-10,4.2,2,0.2,▲,4.0,5.0
40,2020-06-13,3.8,1,-0.4,▼,3.0,-9.5
41,2020-06-15,3.9,1,0.1,▲,4.0,2.6
42,2020-06-16,3.9,5,0.0,-,4.0,0.0
43,2020-06-18,3.8,3,-0.1,▼,3.0,-2.6
44,2020-06-19,3.7,2,-0.1,▼,2.0,-2.6
45,2020-06-20,3.7,2,0.0,-,2.0,0.0
46,2020-06-21,3.5,1,-0.2,▼,1.0,-5.4
47,2020-06-22,3.4,1,-0.1,▼,0.0,-2.9
48,2020-06-23,3.3,1,-0.1,▼,-1.0,-2.9
49,2020-06-24,3.2,2,-0.1,▼,-2.0,-3.0
50,2020-06-25,3.4,2,0.2,▲,-1.0,6.2
51,2020-06-27,3.5,2,0.1,▲,0.0,2.9
52,2020-06-28,3.7,1,0.2,▲,1.0,5.7
53,2020-06-29,3.7,1,0.0,-,1.0,0.0
54,2020-06-30,3.8,2,0.1,▲,2.0,2.7
55,2020-07-01,3.8,1,0.0,-,2.0,0.0
56,2020-07-02,3.5,2,-0.3,▼,1.0,-7.9
57,2020-07-03,3.3,1,-0.2,▼,0.0,-5.7
58,2020-07-05,3.3,1,0.0,-,0.0,0.0
59,2020-07-06,3.2,1,-0.1,▼,-1.0,-3.0
