,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-08,2.3,1,0.0,-,0.0,0.0
1,2020-04-09,2.1,2,-0.2,▼,-1.0,-8.7
2,2020-04-10,2.3,3,0.2,▲,0.0,9.5
3,2020-04-12,2.9,1,0.6,▲,1.0,26.1
4,2020-04-13,2.9,3,0.0,-,1.0,0.0
5,2020-04-14,2.9,3,0.0,-,1.0,0.0
6,2020-04-15,3.0,5,0.1,▲,2.0,3.4
7,2020-04-17,2.6,1,-0.4,▼,1.0,-13.3
8,2020-04-18,2.0,3,-0.6,▼,0.0,-23.1
9,2020-04-19,1.9,2,-0.1,▼,-1.0,-5.0
10,2020-04-20,1.9,1,0.0,-,-1.0,0.0
11,2020-04-21,1.7,2,-0.2,▼,-2.0,-10.5
12,2020-04-22,1.9,1,0.2,▲,-1.0,11.8
13,2020-04-23,1.8,2,-0.1,▼,-2.0,-5.3
14,2020-04-24,1.9,5,0.1,▲,-1.0,5.6
15,2020-04-25,1.9,2,0.0,-,-1.0,0.0
16,2020-04-26,1.9,4,0.0,-,-1.0,0.0
17,2020-04-27,2.1,2,0.2,▲,0.0,10.5
18,2020-04-29,2.2,1,0.1,▲,1.0,4.8
19,2020-05-01,2.1,1,-0.1,▼,0.0,-4.5
20,2020-05-02,2.1,3,0.0,-,0.0,0.0
21,2020-05-03,2.3,4,0.2,▲,1.0,9.5
22,2020-05-05,1.9,1,-0.4,▼,0.0,-17.4
23,2020-05-06,1.7,1,-0.2,▼,-1.0,-10.5
24,2020-05-07,1.7,1,0.0,-,-1.0,0.0
25,2020-05-08,1.7,1,0.0,-,-1.0,0.0
26,2020-05-09,1.6,2,-0.1,▼,-2.0,-5.9
27,2020-05-10,1.8,1,0.2,▲,-1.0,12.5
28,2020-05-11,2.0,3,0.2,▲,0.0,11.1
29,2020-05-12,2.0,1,0.0,-,0.0,0.0
30,2020-05-13,2.1,6,0.1,▲,1.0,5.0
31,2020-05-14,1.9,1,-0.2,▼,0.0,-9.5
32,2020-05-15,2.1,1,0.2,▲,1.0,10.5
33,2020-05-16,2.2,3,0.1,▲,2.0,4.8
34,2020-05-18,2.2,1,0.0,-,2.0,0.0
35,2020-05-25,2.1,1,-0.1,▼,1.0,-4.5
36,2020-05-26,2.3,3,0.2,▲,2.0,9.5
37,2020-05-29,2.1,1,-0.2,▼,1.0,-8.7
38,2020-06-01,2.0,1,-0.1,▼,0.0,-4.8
39,2020-06-02,2.2,2,0.2,▲,1.0,10.0
40,2020-06-03,2.2,1,0.0,-,1.0,0.0
41,2020-06-06,2.4,2,0.2,▲,2.0,9.1
42,2020-06-08,2.4,1,0.0,-,2.0,0.0
43,2020-06-09,2.4,1,0.0,-,2.0,0.0
44,2020-06-11,2.2,3,-0.2,▼,1.0,-8.3
45,2020-06-13,2.8,1,0.6,▲,2.0,27.3
46,2020-06-16,2.8,7,0.0,-,2.0,0.0
47,2020-06-17,3.1,3,0.3,▲,3.0,10.7
48,2020-06-18,3.1,1,0.0,-,3.0,0.0
49,2020-06-19,3.1,2,0.0,-,3.0,0.0
50,2020-06-20,2.5,1,-0.6,▼,2.0,-19.4
51,2020-06-24,2.3,1,-0.2,▼,1.0,-8.0
52,2020-06-27,1.8,1,-0.5,▼,0.0,-21.7
53,2020-06-28,2.4,1,0.6,▲,1.0,33.3
54,2020-07-01,2.2,1,-0.2,▼,0.0,-8.3
55,2020-07-02,2.2,1,0.0,-,0.0,0.0
56,2020-07-03,2.0,1,-0.2,▼,-1.0,-9.1
57,2020-07-04,2.0,1,0.0,-,-1.0,0.0
58,2020-07-05,1.5,2,-0.5,▼,-2.0,-25.0
59,2020-07-06,1.5,1,0.0,-,-2.0,0.0
60,2020-07-09,1.5,1,0.0,-,-2.0,0.0
61,2020-07-10,1.9,1,0.4,▲,-1.0,26.7
62,2020-07-12,2.5,1,0.6,▲,0.0,31.6
63,2020-07-16,2.5,3,0.0,-,0.0,0.0
64,2020-07-17,2.9,1,0.4,▲,1.0,16.0
65,2020-07-18,3.1,1,0.2,▲,2.0,6.9
66,2020-07-19,2.8,2,-0.3,▼,1.0,-9.7
