,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,10.1,8,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-19,9.7,8,-0.4,▼,-1.0,-4.0,0.0,8.0
2,2020-08-20,9.8,11,0.1,▲,0.0,1.0,3.0,19.0
3,2020-08-21,9.6,7,-0.2,▼,-1.0,-2.0,-4.0,26.0
4,2020-08-22,9.0,6,-0.6,▼,-2.0,-6.2,-1.0,32.0
5,2020-08-23,9.3,13,0.3,▲,-1.0,3.3,7.0,45.0
6,2020-08-24,9.8,6,0.5,▲,0.0,5.4,-7.0,51.0
7,2020-08-25,9.6,8,-0.2,▼,-1.0,-2.0,2.0,59.0
8,2020-08-26,9.8,5,0.2,▲,0.0,2.1,-3.0,64.0
9,2020-08-27,10.4,12,0.6,▲,1.0,6.1,7.0,76.0
10,2020-08-28,10.0,3,-0.4,▼,0.0,-3.8,-9.0,79.0
11,2020-08-29,9.5,9,-0.5,▼,-1.0,-5.0,6.0,88.0
12,2020-08-30,10.4,18,0.9,▲,0.0,9.5,9.0,106.0
13,2020-08-31,10.2,14,-0.2,▼,-1.0,-1.9,-4.0,120.0
14,2020-09-01,10.0,17,-0.2,▼,-2.0,-2.0,3.0,137.0
15,2020-09-02,10.1,11,0.1,▲,-1.0,1.0,-6.0,148.0
16,2020-09-03,9.9,7,-0.2,▼,-2.0,-2.0,-4.0,155.0
17,2020-09-04,8.9,15,-1.0,▼,-3.0,-10.1,8.0,170.0
18,2020-09-05,9.1,8,0.2,▲,-2.0,2.2,-7.0,178.0
19,2020-09-06,9.4,11,0.3,▲,-1.0,3.3,3.0,189.0
20,2020-09-07,9.4,12,0.0,-,-1.0,0.0,1.0,201.0
21,2020-09-08,9.7,12,0.3,▲,0.0,3.2,0.0,213.0
22,2020-09-09,9.7,11,0.0,-,0.0,0.0,-1.0,224.0
23,2020-09-10,9.5,4,-0.2,▼,-1.0,-2.1,-7.0,228.0
24,2020-09-11,8.9,9,-0.6,▼,-2.0,-6.3,5.0,237.0
