,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-28,,2,0.0,-,0.0,0.0,0.0,0.0
1,2020-05-05,,1,,▲,1.0,,-1.0,1.0
2,2020-05-10,,1,,▲,2.0,,0.0,2.0
3,2020-05-29,2.8,2,,▲,3.0,,1.0,4.0
4,2020-05-31,2.6,1,-0.2,▼,2.0,-7.1,-1.0,5.0
5,2020-06-06,2.8,1,0.2,▲,3.0,7.7,0.0,6.0
6,2020-06-09,3.0,1,0.2,▲,4.0,7.1,0.0,7.0
7,2020-06-21,3.2,1,0.2,▲,5.0,6.7,0.0,8.0
8,2020-06-23,2.8,1,-0.4,▼,4.0,-12.5,0.0,9.0
9,2020-06-26,3.2,1,0.4,▲,5.0,14.3,0.0,10.0
10,2020-06-28,3.6,1,0.4,▲,6.0,12.5,0.0,11.0
11,2020-06-30,3.4,2,-0.2,▼,5.0,-5.6,1.0,13.0
12,2020-07-01,3.4,1,0.0,-,5.0,0.0,-1.0,14.0
13,2020-07-02,3.8,1,0.4,▲,6.0,11.8,0.0,15.0
14,2020-07-07,3.4,1,-0.4,▼,5.0,-10.5,0.0,16.0
15,2020-07-11,3.0,1,-0.4,▼,4.0,-11.8,0.0,17.0
16,2020-07-20,3.2,1,0.2,▲,5.0,6.7,0.0,18.0
17,2020-07-22,3.0,2,-0.2,▼,4.0,-6.2,1.0,20.0
18,2020-07-28,3.0,2,0.0,-,4.0,0.0,0.0,22.0
19,2020-07-30,3.2,1,0.2,▲,5.0,6.7,-1.0,23.0
20,2020-08-02,3.0,1,-0.2,▼,4.0,-6.2,0.0,24.0
21,2020-08-18,3.2,2,0.2,▲,5.0,6.7,1.0,26.0
22,2020-08-19,3.2,1,0.0,-,5.0,0.0,-1.0,27.0
23,2020-08-31,3.0,1,-0.2,▼,4.0,-6.2,0.0,28.0
24,2020-09-02,2.8,1,-0.2,▼,3.0,-6.7,0.0,29.0
25,2020-09-06,2.8,1,0.0,-,3.0,0.0,0.0,30.0
26,2020-09-09,2.4,1,-0.4,▼,2.0,-14.3,0.0,31.0
27,2020-09-15,2.2,1,-0.2,▼,1.0,-8.3,0.0,32.0
28,2020-09-19,2.1,2,-0.1,▼,0.0,-4.5,1.0,34.0
29,2020-09-24,2.3,1,0.2,▲,1.0,9.5,-1.0,35.0
30,2020-09-28,2.3,1,0.0,-,1.0,0.0,0.0,36.0
31,2020-10-12,2.5,1,0.2,▲,2.0,8.7,0.0,37.0
32,2020-10-15,2.5,2,0.0,-,2.0,0.0,1.0,39.0
33,2020-10-22,2.4,1,-0.1,▼,1.0,-4.0,-1.0,40.0
34,2020-10-30,2.6,2,0.2,▲,2.0,8.3,1.0,42.0
35,2020-11-24,2.8,1,0.2,▲,3.0,7.7,-1.0,43.0
36,2021-01-15,2.4,1,-0.4,▼,2.0,-14.3,0.0,44.0
37,2021-01-21,2.6,1,0.2,▲,3.0,8.3,0.0,45.0
38,2021-02-04,,1,,▲,4.0,,0.0,46.0
39,2021-02-06,2.4,1,,▲,5.0,,0.0,47.0
40,2021-02-07,2.2,1,-0.2,▼,4.0,-8.3,0.0,48.0
41,2021-02-27,5.0,7,2.8,▲,5.0,127.3,6.0,55.0
42,2021-03-15,5.0,1,0.0,-,5.0,0.0,-6.0,56.0
43,2021-03-20,5.6,1,0.6,▲,6.0,12.0,0.0,57.0
44,2021-03-23,7.0,1,1.4,▲,7.0,25.0,0.0,58.0
45,2021-03-26,7.6,1,0.6,▲,8.0,8.6,0.0,59.0
46,2021-04-10,5.6,1,-2.0,▼,7.0,-26.3,0.0,60.0
47,2021-04-23,7.0,1,1.4,▲,8.0,25.0,0.0,61.0
48,2021-04-24,8.0,1,1.0,▲,9.0,14.3,0.0,62.0
49,2021-05-06,8.4,1,0.4,▲,10.0,5.0,0.0,63.0
50,2021-05-10,7.6,1,-0.8,▼,9.0,-9.5,0.0,64.0
51,2021-05-12,7.0,2,-0.6,▼,8.0,-7.9,1.0,66.0
52,2021-05-13,6.0,1,-1.0,▼,7.0,-14.3,-1.0,67.0
53,2021-05-17,4.6,1,-1.4,▼,6.0,-23.3,0.0,68.0
54,2021-05-18,3.2,1,-1.4,▼,5.0,-30.4,0.0,69.0
55,2021-05-20,3.6,1,0.4,▲,6.0,12.5,0.0,70.0
56,2021-05-22,4.2,1,0.6,▲,7.0,16.7,0.0,71.0
57,2021-05-30,4.0,1,-0.2,▼,6.0,-4.8,0.0,72.0
58,2021-06-02,4.0,1,0.0,-,6.0,0.0,0.0,73.0
59,2021-06-16,3.8,2,-0.2,▼,5.0,-5.0,1.0,75.0
60,2021-06-19,3.6,1,-0.2,▼,4.0,-5.3,-1.0,76.0
61,2021-06-20,3.2,1,-0.4,▼,3.0,-11.1,0.0,77.0
62,2021-06-22,3.4,1,0.2,▲,4.0,6.2,0.0,78.0
63,2021-06-29,3.7,2,0.3,▲,5.0,8.8,1.0,80.0
64,2021-07-17,3.5,4,-0.2,▼,4.0,-5.4,2.0,84.0
65,2021-08-06,3.3,1,-0.2,▼,3.0,-5.7,-3.0,85.0
66,2021-08-08,3.5,1,0.2,▲,4.0,6.1,0.0,86.0
67,2021-08-24,3.0,2,-0.5,▼,3.0,-14.3,1.0,88.0
68,2021-08-25,2.9,1,-0.1,▼,2.0,-3.3,-1.0,89.0
69,2021-08-26,2.9,2,0.0,-,2.0,0.0,1.0,91.0
70,2021-08-27,3.5,1,0.6,▲,3.0,20.7,-1.0,92.0
71,2021-09-03,2.9,1,-0.6,▼,2.0,-17.1,0.0,93.0
72,2021-09-05,3.2,1,0.3,▲,3.0,10.3,0.0,94.0
