,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,4.8,1,,▲,1.0,,-3.0,1.0
2,2020-04-29,4.7,6,-0.1,▼,0.0,-2.1,5.0,7.0
3,2020-04-30,4.4,1,-0.3,▼,-1.0,-6.4,-5.0,8.0
4,2020-05-01,4.0,2,-0.4,▼,-2.0,-9.1,1.0,10.0
5,2020-05-02,3.8,3,-0.2,▼,-3.0,-5.0,1.0,13.0
6,2020-05-03,3.4,3,-0.4,▼,-4.0,-10.5,0.0,16.0
7,2020-05-04,3.7,1,0.3,▲,-3.0,8.8,-2.0,17.0
8,2020-05-05,4.1,1,0.4,▲,-2.0,10.8,0.0,18.0
9,2020-05-06,4.1,1,0.0,-,-2.0,0.0,0.0,19.0
10,2020-05-07,4.2,1,0.1,▲,-1.0,2.4,0.0,20.0
11,2020-05-08,4.4,1,0.2,▲,0.0,4.8,0.0,21.0
12,2020-05-09,4.4,1,0.0,-,0.0,0.0,0.0,22.0
13,2020-05-10,4.2,2,-0.2,▼,-1.0,-4.5,1.0,24.0
14,2020-05-11,4.6,3,0.4,▲,0.0,9.5,1.0,27.0
15,2020-05-12,4.7,5,0.1,▲,1.0,2.2,2.0,32.0
16,2020-05-13,4.5,2,-0.2,▼,0.0,-4.3,-3.0,34.0
17,2020-05-16,4.3,3,-0.2,▼,-1.0,-4.4,1.0,37.0
18,2020-05-17,4.3,2,0.0,-,-1.0,0.0,-1.0,39.0
19,2020-05-18,4.3,1,0.0,-,-1.0,0.0,-1.0,40.0
20,2020-05-19,4.0,2,-0.3,▼,-2.0,-7.0,1.0,42.0
21,2020-05-20,4.2,1,0.2,▲,-1.0,5.0,-1.0,43.0
22,2020-05-21,4.2,4,0.0,-,-1.0,0.0,3.0,47.0
23,2020-05-22,4.0,1,-0.2,▼,-2.0,-4.8,-3.0,48.0
24,2020-05-23,4.0,6,0.0,-,-2.0,0.0,5.0,54.0
25,2020-05-24,4.0,2,0.0,-,-2.0,0.0,-4.0,56.0
26,2020-05-25,3.9,3,-0.1,▼,-3.0,-2.5,1.0,59.0
27,2020-05-26,4.0,2,0.1,▲,-2.0,2.6,-1.0,61.0
28,2020-05-27,4.3,6,0.3,▲,-1.0,7.5,4.0,67.0
29,2020-05-28,4.3,2,0.0,-,-1.0,0.0,-4.0,69.0
30,2020-05-29,4.7,1,0.4,▲,0.0,9.3,-1.0,70.0
31,2020-05-31,4.7,6,0.0,-,0.0,0.0,5.0,76.0
32,2020-06-01,4.8,4,0.1,▲,1.0,2.1,-2.0,80.0
33,2020-06-02,4.8,4,0.0,-,1.0,0.0,0.0,84.0
34,2020-06-03,4.7,3,-0.1,▼,0.0,-2.1,-1.0,87.0
35,2020-06-04,4.6,3,-0.1,▼,-1.0,-2.1,0.0,90.0
36,2020-06-05,4.6,3,0.0,-,-1.0,0.0,0.0,93.0
37,2020-06-06,4.6,1,0.0,-,-1.0,0.0,-2.0,94.0
38,2020-06-07,4.6,5,0.0,-,-1.0,0.0,4.0,99.0
39,2020-06-08,4.7,1,0.1,▲,0.0,2.2,-4.0,100.0
40,2020-06-09,4.7,3,0.0,-,0.0,0.0,2.0,103.0
41,2020-06-10,4.7,3,0.0,-,0.0,0.0,0.0,106.0
42,2020-06-11,4.6,3,-0.1,▼,-1.0,-2.1,0.0,109.0
43,2020-06-12,4.7,1,0.1,▲,0.0,2.2,-2.0,110.0
44,2020-06-13,4.5,1,-0.2,▼,-1.0,-4.3,0.0,111.0
45,2020-06-14,4.5,3,0.0,-,-1.0,0.0,2.0,114.0
46,2020-06-15,4.6,1,0.1,▲,0.0,2.2,-2.0,115.0
47,2020-06-16,4.7,2,0.1,▲,1.0,2.2,1.0,117.0
48,2020-06-17,4.6,3,-0.1,▼,0.0,-2.1,1.0,120.0
49,2020-06-18,4.7,2,0.1,▲,1.0,2.2,-1.0,122.0
50,2020-06-19,4.8,1,0.1,▲,2.0,2.1,-1.0,123.0
51,2020-06-20,5.2,2,0.4,▲,3.0,8.3,1.0,125.0
52,2020-06-22,5.1,3,-0.1,▼,2.0,-1.9,1.0,128.0
53,2020-06-23,5.1,6,0.0,-,2.0,0.0,3.0,134.0
54,2020-06-24,5.5,2,0.4,▲,3.0,7.8,-4.0,136.0
55,2020-06-25,6.1,1,0.6,▲,4.0,10.9,-1.0,137.0
56,2020-06-26,5.8,5,-0.3,▼,3.0,-4.9,4.0,142.0
57,2020-06-27,5.9,2,0.1,▲,4.0,1.7,-3.0,144.0
58,2020-06-28,5.9,5,0.0,-,4.0,0.0,3.0,149.0
59,2020-06-29,5.6,2,-0.3,▼,3.0,-5.1,-3.0,151.0
60,2020-06-30,5.9,3,0.3,▲,4.0,5.4,1.0,154.0
61,2020-07-01,5.7,2,-0.2,▼,3.0,-3.4,-1.0,156.0
62,2020-07-02,5.9,4,0.2,▲,4.0,3.5,2.0,160.0
63,2020-07-03,6.0,1,0.1,▲,5.0,1.7,-3.0,161.0
64,2020-07-04,6.1,5,0.1,▲,6.0,1.7,4.0,166.0
65,2020-07-05,5.2,4,-0.9,▼,5.0,-14.8,-1.0,170.0
66,2020-07-08,5.6,4,0.4,▲,6.0,7.7,0.0,174.0
67,2020-07-09,5.4,1,-0.2,▼,5.0,-3.6,-3.0,175.0
68,2020-07-10,5.6,1,0.2,▲,6.0,3.7,0.0,176.0
69,2020-07-11,5.4,2,-0.2,▼,5.0,-3.6,1.0,178.0
70,2020-07-12,5.8,4,0.4,▲,6.0,7.4,2.0,182.0
71,2020-07-13,5.5,2,-0.3,▼,5.0,-5.2,-2.0,184.0
