,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-30,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-05-10,,1,,▲,1.0,,0.0,1.0
2,2020-05-22,,1,,▲,2.0,,0.0,2.0
3,2020-05-30,,1,,▲,3.0,,0.0,3.0
4,2020-06-10,4.6,1,,▲,4.0,,0.0,4.0
5,2020-06-14,5.0,1,0.4,▲,5.0,8.7,0.0,5.0
6,2020-06-22,5.0,1,0.0,-,5.0,0.0,0.0,6.0
7,2020-06-25,4.8,1,-0.2,▼,4.0,-4.0,0.0,7.0
8,2020-07-21,5.0,1,0.2,▲,5.0,4.2,0.0,8.0
9,2020-07-28,5.2,1,0.2,▲,6.0,4.0,0.0,9.0
10,2020-08-03,4.8,1,-0.4,▼,5.0,-7.7,0.0,10.0
11,2020-08-08,4.6,1,-0.2,▼,4.0,-4.2,0.0,11.0
12,2020-08-13,4.4,1,-0.2,▼,3.0,-4.3,0.0,12.0
13,2020-08-16,4.0,1,-0.4,▼,2.0,-9.1,0.0,13.0
14,2020-09-02,3.8,1,-0.2,▼,1.0,-5.0,0.0,14.0
15,2020-09-09,3.8,1,0.0,-,1.0,0.0,0.0,15.0
16,2020-09-27,3.8,1,0.0,-,1.0,0.0,0.0,16.0
17,2020-10-10,4.8,1,1.0,▲,2.0,26.3,0.0,17.0
18,2020-10-25,6.2,1,1.4,▲,3.0,29.2,0.0,18.0
19,2020-10-27,6.0,2,-0.2,▼,2.0,-3.2,1.0,20.0
20,2020-10-28,6.6,1,0.6,▲,3.0,10.0,-1.0,21.0
21,2020-10-29,7.0,1,0.4,▲,4.0,6.1,0.0,22.0
22,2020-12-10,6.2,1,-0.8,▼,3.0,-11.4,0.0,23.0
23,2020-12-14,5.0,2,-1.2,▼,2.0,-19.4,1.0,25.0
24,2021-01-12,5.4,1,0.4,▲,3.0,8.0,-1.0,26.0
25,2021-01-24,5.0,1,-0.4,▼,2.0,-7.4,0.0,27.0
26,2021-02-01,5.0,1,0.0,-,2.0,0.0,0.0,28.0
27,2021-02-20,4.6,1,-0.4,▼,1.0,-8.0,0.0,29.0
28,2021-02-26,4.6,1,0.0,-,1.0,0.0,0.0,30.0
29,2021-03-01,4.2,1,-0.4,▼,0.0,-8.7,0.0,31.0
30,2021-04-23,4.2,1,0.0,-,0.0,0.0,0.0,32.0
31,2021-04-26,4.0,1,-0.2,▼,-1.0,-4.8,0.0,33.0
32,2021-04-27,3.8,1,-0.2,▼,-2.0,-5.0,0.0,34.0
33,2021-05-01,3.4,1,-0.4,▼,-3.0,-10.5,0.0,35.0
34,2021-05-03,4.8,1,1.4,▲,-2.0,41.2,0.0,36.0
35,2021-05-10,4.4,2,-0.4,▼,-3.0,-8.3,1.0,38.0
36,2021-05-18,4.4,1,0.0,-,-3.0,0.0,-1.0,39.0
37,2021-05-20,5.0,1,0.6,▲,-2.0,13.6,0.0,40.0
38,2021-05-27,5.4,1,0.4,▲,-1.0,8.0,0.0,41.0
