,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,14.8,12,0.0,-,0.0,0.0
1,2020-03-25,14.6,21,-0.2,▼,-1.0,-1.4
2,2020-03-26,14.0,23,-0.6,▼,-2.0,-4.1
3,2020-03-27,14.3,17,0.3,▲,-1.0,2.1
4,2020-03-28,13.9,30,-0.4,▼,-2.0,-2.8
5,2020-03-29,14.0,22,0.1,▲,-1.0,0.7
6,2020-03-30,13.7,21,-0.3,▼,-2.0,-2.1
7,2020-03-31,13.3,20,-0.4,▼,-3.0,-2.9
8,2020-04-01,12.9,24,-0.4,▼,-4.0,-3.0
9,2020-04-02,12.9,25,0.0,-,-4.0,0.0
10,2020-04-03,12.4,20,-0.5,▼,-5.0,-3.9
11,2020-04-04,12.7,17,0.3,▲,-4.0,2.4
12,2020-04-05,13.0,20,0.3,▲,-3.0,2.4
13,2020-04-06,12.7,27,-0.3,▼,-4.0,-2.3
14,2020-04-07,12.9,28,0.2,▲,-3.0,1.6
15,2020-04-08,13.4,10,0.5,▲,-2.0,3.9
16,2020-04-09,13.7,22,0.3,▲,-1.0,2.2
17,2020-04-10,13.9,14,0.2,▲,0.0,1.5
18,2020-04-11,14.2,24,0.3,▲,1.0,2.2
19,2020-04-12,14.2,17,0.0,-,1.0,0.0
20,2020-04-13,14.4,32,0.2,▲,2.0,1.4
21,2020-04-14,14.1,20,-0.3,▼,1.0,-2.1
22,2020-04-15,13.9,24,-0.2,▼,0.0,-1.4
23,2020-04-16,13.9,26,0.0,-,0.0,0.0
24,2020-04-17,14.2,17,0.3,▲,1.0,2.2
25,2020-04-18,13.9,21,-0.3,▼,0.0,-2.1
26,2020-04-19,13.9,16,0.0,-,0.0,0.0
27,2020-04-20,14.1,18,0.2,▲,1.0,1.4
28,2020-04-21,14.1,14,0.0,-,1.0,0.0
29,2020-04-22,14.1,21,0.0,-,1.0,0.0
30,2020-04-23,14.2,19,0.1,▲,2.0,0.7
31,2020-04-24,14.2,12,0.0,-,2.0,0.0
32,2020-04-25,14.0,23,-0.2,▼,1.0,-1.4
33,2020-04-26,13.9,21,-0.1,▼,0.0,-0.7
34,2020-04-27,13.4,26,-0.5,▼,-1.0,-3.6
35,2020-04-28,13.3,19,-0.1,▼,-2.0,-0.7
36,2020-04-29,13.6,33,0.3,▲,-1.0,2.3
37,2020-04-30,13.7,16,0.1,▲,0.0,0.7
38,2020-05-01,13.7,19,0.0,-,0.0,0.0
39,2020-05-02,13.9,38,0.2,▲,1.0,1.5
40,2020-05-03,14.1,35,0.2,▲,2.0,1.4
41,2020-05-04,14.1,26,0.0,-,2.0,0.0
42,2020-05-05,14.2,17,0.1,▲,3.0,0.7
43,2020-05-06,14.0,20,-0.2,▼,2.0,-1.4
44,2020-05-07,13.8,23,-0.2,▼,1.0,-1.4
45,2020-05-08,13.8,15,0.0,-,1.0,0.0
46,2020-05-09,13.7,25,-0.1,▼,0.0,-0.7
47,2020-05-10,13.6,14,-0.1,▼,-1.0,-0.7
48,2020-05-11,14.1,32,0.5,▲,0.0,3.7
49,2020-05-12,14.3,24,0.2,▲,1.0,1.4
50,2020-05-13,14.3,25,0.0,-,1.0,0.0
51,2020-05-14,14.4,37,0.1,▲,2.0,0.7
52,2020-05-15,14.4,19,0.0,-,2.0,0.0
53,2020-05-16,14.2,36,-0.2,▼,1.0,-1.4
54,2020-05-17,14.3,15,0.1,▲,2.0,0.7
55,2020-05-18,14.9,14,0.6,▲,3.0,4.2
56,2020-05-19,14.7,16,-0.2,▼,2.0,-1.3
57,2020-05-20,15.0,19,0.3,▲,3.0,2.0
58,2020-05-21,15.4,25,0.4,▲,4.0,2.7
59,2020-05-22,15.6,24,0.2,▲,5.0,1.3
60,2020-05-23,15.1,31,-0.5,▼,4.0,-3.2
61,2020-05-24,15.3,14,0.2,▲,5.0,1.3
62,2020-05-25,15.4,29,0.1,▲,6.0,0.7
63,2020-05-26,15.2,16,-0.2,▼,5.0,-1.3
64,2020-05-27,15.3,16,0.1,▲,6.0,0.7
65,2020-05-28,15.2,13,-0.1,▼,5.0,-0.7
66,2020-05-29,15.2,13,0.0,-,5.0,0.0
67,2020-05-30,14.9,11,-0.3,▼,4.0,-2.0
68,2020-05-31,14.6,16,-0.3,▼,3.0,-2.0
69,2020-06-01,14.5,14,-0.1,▼,2.0,-0.7
70,2020-06-02,14.6,17,0.1,▲,3.0,0.7
71,2020-06-03,14.2,27,-0.4,▼,2.0,-2.7
72,2020-06-04,14.6,9,0.4,▲,3.0,2.8
73,2020-06-05,14.4,11,-0.2,▼,2.0,-1.4
74,2020-06-06,14.4,22,0.0,-,2.0,0.0
75,2020-06-07,14.6,18,0.2,▲,3.0,1.4
76,2020-06-08,15.2,10,0.6,▲,4.0,4.1
77,2020-06-09,15.8,9,0.6,▲,5.0,3.9
78,2020-06-10,16.8,7,1.0,▲,6.0,6.3
79,2020-06-11,16.7,7,-0.1,▼,5.0,-0.6
80,2020-06-12,16.5,11,-0.2,▼,4.0,-1.2
81,2020-06-13,16.3,33,-0.2,▼,3.0,-1.2
82,2020-06-14,15.2,25,-1.1,▼,2.0,-6.7
83,2020-06-15,14.5,21,-0.7,▼,1.0,-4.6
84,2020-06-16,14.6,24,0.1,▲,2.0,0.7
85,2020-06-17,14.7,22,0.1,▲,3.0,0.7
86,2020-06-18,14.4,20,-0.3,▼,2.0,-2.0
87,2020-06-19,14.8,13,0.4,▲,3.0,2.8
88,2020-06-20,15.5,21,0.7,▲,4.0,4.7
89,2020-06-21,15.4,15,-0.1,▼,3.0,-0.6
90,2020-06-22,14.9,13,-0.5,▼,2.0,-3.2
91,2020-06-23,15.3,21,0.4,▲,3.0,2.7
92,2020-06-24,15.0,18,-0.3,▼,2.0,-2.0
93,2020-06-25,14.3,15,-0.7,▼,1.0,-4.7
94,2020-06-26,14.5,10,0.2,▲,2.0,1.4
95,2020-06-27,14.7,10,0.2,▲,3.0,1.4
96,2020-06-28,14.6,16,-0.1,▼,2.0,-0.7
97,2020-06-29,14.4,18,-0.2,▼,1.0,-1.4
98,2020-06-30,14.2,28,-0.2,▼,0.0,-1.4
99,2020-07-01,13.8,10,-0.4,▼,-1.0,-2.8
100,2020-07-02,13.6,9,-0.2,▼,-2.0,-1.4
101,2020-07-03,13.5,8,-0.1,▼,-3.0,-0.7
102,2020-07-04,13.6,18,0.1,▲,-2.0,0.7
103,2020-07-05,13.9,9,0.3,▲,-1.0,2.2
104,2020-07-06,13.7,24,-0.2,▼,-2.0,-1.4
105,2020-07-07,13.1,23,-0.6,▼,-3.0,-4.4
106,2020-07-08,12.7,12,-0.4,▼,-4.0,-3.1
107,2020-07-09,12.6,12,-0.1,▼,-5.0,-0.8
108,2020-07-10,12.5,8,-0.1,▼,-6.0,-0.8
109,2020-07-11,12.6,16,0.1,▲,-5.0,0.8
110,2020-07-12,13.6,16,1.0,▲,-4.0,7.9
111,2020-07-13,13.9,13,0.3,▲,-3.0,2.2
112,2020-07-14,14.2,19,0.3,▲,-2.0,2.2
113,2020-07-15,14.4,13,0.2,▲,-1.0,1.4
114,2020-07-16,14.8,17,0.4,▲,0.0,2.8
115,2020-07-17,14.8,20,0.0,-,0.0,0.0
116,2020-07-18,15.0,18,0.2,▲,1.0,1.4
117,2020-07-19,16.3,27,1.3,▲,2.0,8.7
118,2020-07-20,16.1,13,-0.2,▼,1.0,-1.2
119,2020-07-21,16.6,16,0.5,▲,2.0,3.1
120,2020-07-22,16.6,15,0.0,-,2.0,0.0
121,2020-07-23,17.2,32,0.6,▲,3.0,3.6
122,2020-07-24,16.3,13,-0.9,▼,2.0,-5.2
123,2020-07-25,16.7,20,0.4,▲,3.0,2.5
124,2020-07-26,16.7,16,0.0,-,3.0,0.0
125,2020-07-27,17.2,23,0.5,▲,4.0,3.0
126,2020-07-28,17.6,19,0.4,▲,5.0,2.3
127,2020-07-29,18.2,14,0.6,▲,6.0,3.4
128,2020-07-30,18.9,19,0.7,▲,7.0,3.8
129,2020-07-31,19.1,20,0.2,▲,8.0,1.1
130,2020-08-01,19.1,6,0.0,-,8.0,0.0
131,2020-08-02,18.5,23,-0.6,▼,7.0,-3.1
132,2020-08-03,17.4,16,-1.1,▼,6.0,-5.9
133,2020-08-04,16.4,22,-1.0,▼,5.0,-5.7
134,2020-08-05,15.7,26,-0.7,▼,4.0,-4.3
135,2020-08-06,15.2,23,-0.5,▼,3.0,-3.2
