,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,6.2,20,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,6.3,10,0.1,▲,1.0,1.6,-10.0,10.0
2,2020-04-29,6.3,19,0.0,-,1.0,0.0,9.0,29.0
3,2020-04-30,6.2,17,-0.1,▼,0.0,-1.6,-2.0,46.0
4,2020-05-01,6.4,24,0.2,▲,1.0,3.2,7.0,70.0
5,2020-05-02,6.3,16,-0.1,▼,0.0,-1.6,-8.0,86.0
6,2020-05-03,6.3,20,0.0,-,0.0,0.0,4.0,106.0
7,2020-05-04,6.2,11,-0.1,▼,-1.0,-1.6,-9.0,117.0
8,2020-05-05,6.2,11,0.0,-,-1.0,0.0,0.0,128.0
9,2020-05-06,6.0,18,-0.2,▼,-2.0,-3.2,7.0,146.0
10,2020-05-07,6.0,17,0.0,-,-2.0,0.0,-1.0,163.0
11,2020-05-08,6.0,18,0.0,-,-2.0,0.0,1.0,181.0
12,2020-05-09,6.0,12,0.0,-,-2.0,0.0,-6.0,193.0
13,2020-05-10,6.0,20,0.0,-,-2.0,0.0,8.0,213.0
14,2020-05-11,6.1,16,0.1,▲,-1.0,1.7,-4.0,229.0
15,2020-05-12,6.1,10,0.0,-,-1.0,0.0,-6.0,239.0
16,2020-05-13,6.1,14,0.0,-,-1.0,0.0,4.0,253.0
17,2020-05-14,6.3,13,0.2,▲,0.0,3.3,-1.0,266.0
18,2020-05-15,6.5,20,0.2,▲,1.0,3.2,7.0,286.0
19,2020-05-16,6.7,23,0.2,▲,2.0,3.1,3.0,309.0
20,2020-05-17,6.8,17,0.1,▲,3.0,1.5,-6.0,326.0
21,2020-05-18,6.7,13,-0.1,▼,2.0,-1.5,-4.0,339.0
22,2020-05-19,6.6,16,-0.1,▼,1.0,-1.5,3.0,355.0
23,2020-05-20,6.5,14,-0.1,▼,0.0,-1.5,-2.0,369.0
24,2020-05-21,6.5,8,0.0,-,0.0,0.0,-6.0,377.0
25,2020-05-22,6.2,5,-0.3,▼,-1.0,-4.6,-3.0,382.0
26,2020-05-23,6.3,19,0.1,▲,0.0,1.6,14.0,401.0
27,2020-05-24,6.3,14,0.0,-,0.0,0.0,-5.0,415.0
28,2020-05-25,6.5,9,0.2,▲,1.0,3.2,-5.0,424.0
29,2020-05-26,6.3,11,-0.2,▼,0.0,-3.1,2.0,435.0
30,2020-05-27,6.5,9,0.2,▲,1.0,3.2,-2.0,444.0
31,2020-05-28,6.5,6,0.0,-,1.0,0.0,-3.0,450.0
32,2020-05-29,6.5,9,0.0,-,1.0,0.0,3.0,459.0
33,2020-05-30,6.3,14,-0.2,▼,0.0,-3.1,5.0,473.0
34,2020-05-31,6.4,19,0.1,▲,1.0,1.6,5.0,492.0
35,2020-06-01,6.4,16,0.0,-,1.0,0.0,-3.0,508.0
36,2020-06-02,6.4,13,0.0,-,1.0,0.0,-3.0,521.0
37,2020-06-03,6.3,12,-0.1,▼,0.0,-1.6,-1.0,533.0
38,2020-06-04,6.5,20,0.2,▲,1.0,3.2,8.0,553.0
39,2020-06-05,6.4,10,-0.1,▼,0.0,-1.5,-10.0,563.0
40,2020-06-06,6.5,15,0.1,▲,1.0,1.6,5.0,578.0
41,2020-06-07,6.6,13,0.1,▲,2.0,1.5,-2.0,591.0
42,2020-06-08,6.9,13,0.3,▲,3.0,4.5,0.0,604.0
43,2020-06-09,6.9,15,0.0,-,3.0,0.0,2.0,619.0
44,2020-06-10,6.8,13,-0.1,▼,2.0,-1.4,-2.0,632.0
45,2020-06-11,6.9,8,0.1,▲,3.0,1.5,-5.0,640.0
46,2020-06-12,6.8,8,-0.1,▼,2.0,-1.4,0.0,648.0
47,2020-06-13,6.6,11,-0.2,▼,1.0,-2.9,3.0,659.0
48,2020-06-14,6.6,13,0.0,-,1.0,0.0,2.0,672.0
49,2020-06-15,7.0,14,0.4,▲,2.0,6.1,1.0,686.0
50,2020-06-16,7.0,16,0.0,-,2.0,0.0,2.0,702.0
51,2020-06-17,7.0,18,0.0,-,2.0,0.0,2.0,720.0
52,2020-06-18,6.9,14,-0.1,▼,1.0,-1.4,-4.0,734.0
53,2020-06-19,6.9,13,0.0,-,1.0,0.0,-1.0,747.0
54,2020-06-20,6.9,9,0.0,-,1.0,0.0,-4.0,756.0
55,2020-06-21,6.4,9,-0.5,▼,0.0,-7.2,0.0,765.0
56,2020-06-22,6.6,8,0.2,▲,1.0,3.1,-1.0,773.0
57,2020-06-23,6.8,18,0.2,▲,2.0,3.0,10.0,791.0
58,2020-06-24,6.8,14,0.0,-,2.0,0.0,-4.0,805.0
59,2020-06-25,6.6,35,-0.2,▼,1.0,-2.9,21.0,840.0
60,2020-06-26,6.9,33,0.3,▲,2.0,4.5,-2.0,873.0
61,2020-06-27,6.4,24,-0.5,▼,1.0,-7.2,-9.0,897.0
62,2020-06-28,6.5,27,0.1,▲,2.0,1.6,3.0,924.0
63,2020-06-29,6.7,17,0.2,▲,3.0,3.1,-10.0,941.0
64,2020-06-30,6.7,8,0.0,-,3.0,0.0,-9.0,949.0
65,2020-07-01,6.8,15,0.1,▲,4.0,1.5,7.0,964.0
66,2020-07-02,7.1,20,0.3,▲,5.0,4.4,5.0,984.0
67,2020-07-03,7.0,24,-0.1,▼,4.0,-1.4,4.0,1008.0
68,2020-07-04,6.9,13,-0.1,▼,3.0,-1.4,-11.0,1021.0
69,2020-07-05,6.9,16,0.0,-,3.0,0.0,3.0,1037.0
70,2020-07-06,7.2,10,0.3,▲,4.0,4.3,-6.0,1047.0
71,2020-07-07,7.3,8,0.1,▲,5.0,1.4,-2.0,1055.0
72,2020-07-08,7.3,11,0.0,-,5.0,0.0,3.0,1066.0
73,2020-07-09,7.2,19,-0.1,▼,4.0,-1.4,8.0,1085.0
74,2020-07-10,7.6,16,0.4,▲,5.0,5.6,-3.0,1101.0
75,2020-07-11,7.6,17,0.0,-,5.0,0.0,1.0,1118.0
76,2020-07-12,7.8,16,0.2,▲,6.0,2.6,-1.0,1134.0
77,2020-07-13,8.0,16,0.2,▲,7.0,2.6,0.0,1150.0
78,2020-07-14,8.1,13,0.1,▲,8.0,1.2,-3.0,1163.0
79,2020-07-15,7.7,13,-0.4,▼,7.0,-4.9,0.0,1176.0
80,2020-07-16,7.7,9,0.0,-,7.0,0.0,-4.0,1185.0
81,2020-07-17,7.7,17,0.0,-,7.0,0.0,8.0,1202.0
82,2020-07-18,7.8,16,0.1,▲,8.0,1.3,-1.0,1218.0
83,2020-07-19,8.0,25,0.2,▲,9.0,2.6,9.0,1243.0
84,2020-07-20,8.4,12,0.4,▲,10.0,5.0,-13.0,1255.0
85,2020-07-21,8.3,14,-0.1,▼,9.0,-1.2,2.0,1269.0
86,2020-07-22,8.2,8,-0.1,▼,8.0,-1.2,-6.0,1277.0
87,2020-07-23,8.2,15,0.0,-,8.0,0.0,7.0,1292.0
88,2020-07-24,7.9,21,-0.3,▼,7.0,-3.7,6.0,1313.0
89,2020-07-25,7.6,11,-0.3,▼,6.0,-3.8,-10.0,1324.0
90,2020-07-26,7.5,24,-0.1,▼,5.0,-1.3,13.0,1348.0
91,2020-07-27,7.4,10,-0.1,▼,4.0,-1.3,-14.0,1358.0
92,2020-07-28,7.1,14,-0.3,▼,3.0,-4.1,4.0,1372.0
93,2020-07-29,7.0,15,-0.1,▼,2.0,-1.4,1.0,1387.0
94,2020-07-30,7.0,10,0.0,-,2.0,0.0,-5.0,1397.0
95,2020-07-31,6.9,11,-0.1,▼,1.0,-1.4,1.0,1408.0
96,2020-08-01,7.0,5,0.1,▲,2.0,1.4,-6.0,1413.0
97,2020-08-02,7.1,29,0.1,▲,3.0,1.4,24.0,1442.0
98,2020-08-03,7.5,20,0.4,▲,4.0,5.6,-9.0,1462.0
99,2020-08-04,7.7,20,0.2,▲,5.0,2.7,0.0,1482.0
100,2020-08-05,7.8,26,0.1,▲,6.0,1.3,6.0,1508.0
101,2020-08-06,7.7,26,-0.1,▼,5.0,-1.3,0.0,1534.0
102,2020-08-07,7.6,28,-0.1,▼,4.0,-1.3,2.0,1562.0
103,2020-08-08,7.3,18,-0.3,▼,3.0,-3.9,-10.0,1580.0
104,2020-08-09,7.1,20,-0.2,▼,2.0,-2.7,2.0,1600.0
105,2020-08-10,6.8,38,-0.3,▼,1.0,-4.2,18.0,1638.0
106,2020-08-11,6.7,15,-0.1,▼,0.0,-1.5,-23.0,1653.0
107,2020-08-12,6.9,15,0.2,▲,1.0,3.0,0.0,1668.0
108,2020-08-13,7.0,12,0.1,▲,2.0,1.4,-3.0,1680.0
109,2020-08-14,7.0,22,0.0,-,2.0,0.0,10.0,1702.0
110,2020-08-15,7.3,30,0.3,▲,3.0,4.3,8.0,1732.0
111,2020-08-16,7.5,20,0.2,▲,4.0,2.7,-10.0,1752.0
112,2020-08-17,7.4,31,-0.1,▼,3.0,-1.3,11.0,1783.0
113,2020-08-18,7.3,17,-0.1,▼,2.0,-1.4,-14.0,1800.0
114,2020-08-19,7.3,22,0.0,-,2.0,0.0,5.0,1822.0
115,2020-08-20,7.1,19,-0.2,▼,1.0,-2.7,-3.0,1841.0
116,2020-08-21,6.9,23,-0.2,▼,0.0,-2.8,4.0,1864.0
117,2020-08-22,6.7,27,-0.2,▼,-1.0,-2.9,4.0,1891.0
118,2020-08-23,6.8,24,0.1,▲,0.0,1.5,-3.0,1915.0
119,2020-08-24,6.8,12,0.0,-,0.0,0.0,-12.0,1927.0
120,2020-08-25,6.8,19,0.0,-,0.0,0.0,7.0,1946.0
121,2020-08-26,7.0,18,0.2,▲,1.0,2.9,-1.0,1964.0
122,2020-08-27,7.3,23,0.3,▲,2.0,4.3,5.0,1987.0
123,2020-08-28,7.4,30,0.1,▲,3.0,1.4,7.0,2017.0
124,2020-08-29,7.6,35,0.2,▲,4.0,2.7,5.0,2052.0
125,2020-08-30,7.9,31,0.3,▲,5.0,3.9,-4.0,2083.0
126,2020-08-31,8.0,29,0.1,▲,6.0,1.3,-2.0,2112.0
127,2020-09-01,7.7,20,-0.3,▼,5.0,-3.8,-9.0,2132.0
128,2020-09-02,7.8,25,0.1,▲,6.0,1.3,5.0,2157.0
129,2020-09-03,7.7,26,-0.1,▼,5.0,-1.3,1.0,2183.0
130,2020-09-04,7.7,19,0.0,-,5.0,0.0,-7.0,2202.0
131,2020-09-05,7.6,18,-0.1,▼,4.0,-1.3,-1.0,2220.0
132,2020-09-06,7.9,36,0.3,▲,5.0,3.9,18.0,2256.0
133,2020-09-07,7.6,28,-0.3,▼,4.0,-3.8,-8.0,2284.0
134,2020-09-08,7.7,26,0.1,▲,5.0,1.3,-2.0,2310.0
135,2020-09-09,7.6,40,-0.1,▼,4.0,-1.3,14.0,2350.0
136,2020-09-10,7.8,19,0.2,▲,5.0,2.6,-21.0,2369.0
137,2020-09-11,7.5,15,-0.3,▼,4.0,-3.8,-4.0,2384.0
138,2020-09-12,7.5,25,0.0,-,4.0,0.0,10.0,2409.0
139,2020-09-13,7.4,25,-0.1,▼,3.0,-1.3,0.0,2434.0
140,2020-09-14,7.3,29,-0.1,▼,2.0,-1.4,4.0,2463.0
141,2020-09-15,7.2,14,-0.1,▼,1.0,-1.4,-15.0,2477.0
142,2020-09-16,7.5,30,0.3,▲,2.0,4.2,16.0,2507.0
143,2020-09-17,7.6,17,0.1,▲,3.0,1.3,-13.0,2524.0
144,2020-09-18,7.6,17,0.0,-,3.0,0.0,0.0,2541.0
145,2020-09-19,7.7,18,0.1,▲,4.0,1.3,1.0,2559.0
146,2020-09-20,7.7,26,0.0,-,4.0,0.0,8.0,2585.0
147,2020-09-21,7.7,11,0.0,-,4.0,0.0,-15.0,2596.0
148,2020-09-22,7.8,20,0.1,▲,5.0,1.3,9.0,2616.0
149,2020-09-23,7.9,23,0.1,▲,6.0,1.3,3.0,2639.0
150,2020-09-24,7.8,26,-0.1,▼,5.0,-1.3,3.0,2665.0
151,2020-09-25,7.7,28,-0.1,▼,4.0,-1.3,2.0,2693.0
152,2020-09-26,7.7,24,0.0,-,4.0,0.0,-4.0,2717.0
153,2020-09-27,7.7,18,0.0,-,4.0,0.0,-6.0,2735.0
154,2020-09-28,7.4,11,-0.3,▼,3.0,-3.9,-7.0,2746.0
155,2020-09-29,7.4,14,0.0,-,3.0,0.0,3.0,2760.0
156,2020-09-30,7.3,18,-0.1,▼,2.0,-1.4,4.0,2778.0
157,2020-10-01,7.3,21,0.0,-,2.0,0.0,3.0,2799.0
158,2020-10-02,7.1,16,-0.2,▼,1.0,-2.7,-5.0,2815.0
159,2020-10-03,7.5,23,0.4,▲,2.0,5.6,7.0,2838.0
160,2020-10-04,7.7,22,0.2,▲,3.0,2.7,-1.0,2860.0
161,2020-10-05,8.0,12,0.3,▲,4.0,3.9,-10.0,2872.0
162,2020-10-06,8.1,16,0.1,▲,5.0,1.2,4.0,2888.0
163,2020-10-07,8.5,20,0.4,▲,6.0,4.9,4.0,2908.0
164,2020-10-08,8.4,22,-0.1,▼,5.0,-1.2,2.0,2930.0
165,2020-10-09,8.6,12,0.2,▲,6.0,2.4,-10.0,2942.0
166,2020-10-10,8.6,28,0.0,-,6.0,0.0,16.0,2970.0
167,2020-10-11,8.5,15,-0.1,▼,5.0,-1.2,-13.0,2985.0
168,2020-10-12,8.3,22,-0.2,▼,4.0,-2.4,7.0,3007.0
169,2020-10-13,8.3,16,0.0,-,4.0,0.0,-6.0,3023.0
170,2020-10-14,8.2,19,-0.1,▼,3.0,-1.2,3.0,3042.0
171,2020-10-15,8.1,12,-0.1,▼,2.0,-1.2,-7.0,3054.0
172,2020-10-16,8.2,17,0.1,▲,3.0,1.2,5.0,3071.0
173,2020-10-17,8.4,17,0.2,▲,4.0,2.4,0.0,3088.0
174,2020-10-18,8.5,18,0.1,▲,5.0,1.2,1.0,3106.0
175,2020-10-19,8.3,27,-0.2,▼,4.0,-2.4,9.0,3133.0
176,2020-10-20,8.3,21,0.0,-,4.0,0.0,-6.0,3154.0
177,2020-10-21,8.2,12,-0.1,▼,3.0,-1.2,-9.0,3166.0
178,2020-10-22,8.1,12,-0.1,▼,2.0,-1.2,0.0,3178.0
179,2020-10-23,8.1,22,0.0,-,2.0,0.0,10.0,3200.0
180,2020-10-24,8.3,27,0.2,▲,3.0,2.5,5.0,3227.0
181,2020-10-25,8.4,31,0.1,▲,4.0,1.2,4.0,3258.0
182,2020-10-26,8.5,27,0.1,▲,5.0,1.2,-4.0,3285.0
183,2020-10-27,8.4,20,-0.1,▼,4.0,-1.2,-7.0,3305.0
184,2020-10-28,8.4,16,0.0,-,4.0,0.0,-4.0,3321.0
185,2020-10-29,8.4,17,0.0,-,4.0,0.0,1.0,3338.0
186,2020-10-30,8.4,19,0.0,-,4.0,0.0,2.0,3357.0
187,2020-10-31,8.3,16,-0.1,▼,3.0,-1.2,-3.0,3373.0
188,2020-11-01,8.4,24,0.1,▲,4.0,1.2,8.0,3397.0
189,2020-11-02,8.4,19,0.0,-,4.0,0.0,-5.0,3416.0
190,2020-11-03,8.5,21,0.1,▲,5.0,1.2,2.0,3437.0
191,2020-11-04,8.5,19,0.0,-,5.0,0.0,-2.0,3456.0
192,2020-11-05,8.4,18,-0.1,▼,4.0,-1.2,-1.0,3474.0
193,2020-11-06,8.4,14,0.0,-,4.0,0.0,-4.0,3488.0
194,2020-11-07,8.4,17,0.0,-,4.0,0.0,3.0,3505.0
195,2020-11-08,8.3,17,-0.1,▼,3.0,-1.2,0.0,3522.0
196,2020-11-09,8.2,21,-0.1,▼,2.0,-1.2,4.0,3543.0
197,2020-11-10,8.3,8,0.1,▲,3.0,1.2,-13.0,3551.0
198,2020-11-11,8.3,12,0.0,-,3.0,0.0,4.0,3563.0
199,2020-11-12,8.3,14,0.0,-,3.0,0.0,2.0,3577.0
200,2020-11-13,8.3,14,0.0,-,3.0,0.0,0.0,3591.0
201,2020-11-14,8.3,27,0.0,-,3.0,0.0,13.0,3618.0
202,2020-11-15,8.3,18,0.0,-,3.0,0.0,-9.0,3636.0
203,2020-11-16,8.3,27,0.0,-,3.0,0.0,9.0,3663.0
204,2020-11-17,7.9,13,-0.4,▼,2.0,-4.8,-14.0,3676.0
205,2020-11-18,7.8,13,-0.1,▼,1.0,-1.3,0.0,3689.0
206,2020-11-19,7.9,10,0.1,▲,2.0,1.3,-3.0,3699.0
207,2020-11-20,7.8,14,-0.1,▼,1.0,-1.3,4.0,3713.0
208,2020-11-21,7.8,21,0.0,-,1.0,0.0,7.0,3734.0
209,2020-11-22,8.0,29,0.2,▲,2.0,2.6,8.0,3763.0
210,2020-11-23,7.9,9,-0.1,▼,1.0,-1.2,-20.0,3772.0
211,2020-11-24,7.3,15,-0.6,▼,0.0,-7.6,6.0,3787.0
212,2020-11-25,7.4,13,0.1,▲,1.0,1.4,-2.0,3800.0
213,2020-11-26,7.1,13,-0.3,▼,0.0,-4.1,0.0,3813.0
214,2020-11-27,6.9,11,-0.2,▼,-1.0,-2.8,-2.0,3824.0
