,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-07-07,,24,0.0,-,0.0,0.0,0.0,0.0
1,2021-07-08,,47,,▲,1.0,,23.0,47.0
2,2021-07-09,,44,,▲,2.0,,-3.0,91.0
3,2021-07-10,,62,,▲,3.0,,18.0,153.0
4,2021-07-11,29.4,66,,▲,4.0,,4.0,219.0
5,2021-07-12,28.4,61,-1.0,▼,3.0,-3.4,-5.0,280.0
6,2021-07-13,27.3,58,-1.1,▼,2.0,-3.9,-3.0,338.0
7,2021-07-14,26.1,56,-1.2,▼,1.0,-4.4,-2.0,394.0
8,2021-07-15,24.1,63,-2.0,▼,0.0,-7.7,7.0,457.0
9,2021-07-16,22.6,64,-1.5,▼,-1.0,-6.2,1.0,521.0
10,2021-07-17,21.9,44,-0.7,▼,-2.0,-3.1,-20.0,565.0
11,2021-07-18,21.8,33,-0.1,▼,-3.0,-0.5,-11.0,598.0
12,2021-07-19,21.3,43,-0.5,▼,-4.0,-2.3,10.0,641.0
13,2021-07-20,22.0,55,0.7,▲,-3.0,3.3,12.0,696.0
14,2021-07-21,22.3,50,0.3,▲,-2.0,1.4,-5.0,746.0
15,2021-07-22,22.0,31,-0.3,▼,-3.0,-1.3,-19.0,777.0
16,2021-07-23,21.3,33,-0.7,▼,-4.0,-3.2,2.0,810.0
17,2021-07-24,20.9,41,-0.4,▼,-5.0,-1.9,8.0,851.0
18,2021-07-25,20.3,51,-0.6,▼,-6.0,-2.9,10.0,902.0
19,2021-07-26,20.0,51,-0.3,▼,-7.0,-1.5,0.0,953.0
20,2021-07-27,19.5,46,-0.5,▼,-8.0,-2.5,-5.0,999.0
21,2021-07-28,19.5,58,0.0,-,-8.0,0.0,12.0,1057.0
22,2021-07-29,18.5,73,-1.0,▼,-9.0,-5.1,15.0,1130.0
23,2021-07-30,18.2,43,-0.3,▼,-10.0,-1.6,-30.0,1173.0
24,2021-07-31,17.9,59,-0.3,▼,-11.0,-1.6,16.0,1232.0
25,2021-08-01,18.2,53,0.3,▲,-10.0,1.7,-6.0,1285.0
26,2021-08-02,17.8,42,-0.4,▼,-11.0,-2.2,-11.0,1327.0
27,2021-08-03,18.4,46,0.6,▲,-10.0,3.4,4.0,1373.0
28,2021-08-04,18.2,37,-0.2,▼,-11.0,-1.1,-9.0,1410.0
29,2021-08-05,18.1,49,-0.1,▼,-12.0,-0.5,12.0,1459.0
30,2021-08-06,17.7,56,-0.4,▼,-13.0,-2.2,7.0,1515.0
31,2021-08-07,17.3,57,-0.4,▼,-14.0,-2.3,1.0,1572.0
32,2021-08-08,17.2,56,-0.1,▼,-15.0,-0.6,-1.0,1628.0
33,2021-08-09,17.0,44,-0.2,▼,-16.0,-1.2,-12.0,1672.0
34,2021-08-10,16.8,62,-0.2,▼,-17.0,-1.2,18.0,1734.0
35,2021-08-11,17.0,46,0.2,▲,-16.0,1.2,-16.0,1780.0
36,2021-08-12,17.2,42,0.2,▲,-15.0,1.2,-4.0,1822.0
37,2021-08-13,17.2,45,0.0,-,-15.0,0.0,3.0,1867.0
38,2021-08-14,17.4,42,0.2,▲,-14.0,1.2,-3.0,1909.0
39,2021-08-15,17.6,53,0.2,▲,-13.0,1.1,11.0,1962.0
40,2021-08-16,17.6,42,0.0,-,-13.0,0.0,-11.0,2004.0
