,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-07-07,,63,0.0,-,0.0,0.0,0.0,0.0
1,2021-07-08,,130,,▲,1.0,,67.0,130.0
2,2021-07-09,,97,,▲,2.0,,-33.0,227.0
3,2021-07-10,,128,,▲,3.0,,31.0,355.0
4,2021-07-11,29.0,159,,▲,4.0,,31.0,514.0
5,2021-07-12,28.0,148,-1.0,▼,3.0,-3.4,-11.0,662.0
6,2021-07-13,26.5,136,-1.5,▼,2.0,-5.4,-12.0,798.0
7,2021-07-14,24.5,139,-2.0,▼,1.0,-7.5,3.0,937.0
8,2021-07-15,22.5,100,-2.0,▼,0.0,-8.2,-39.0,1037.0
9,2021-07-16,21.5,116,-1.0,▼,-1.0,-4.4,16.0,1153.0
10,2021-07-17,20.5,135,-1.0,▼,-2.0,-4.7,19.0,1288.0
11,2021-07-18,20.4,148,-0.1,▼,-3.0,-0.5,13.0,1436.0
12,2021-07-19,20.9,120,0.5,▲,-2.0,2.5,-28.0,1556.0
13,2021-07-20,20.9,162,0.0,-,-2.0,0.0,42.0,1718.0
14,2021-07-21,20.9,148,0.0,-,-2.0,0.0,-14.0,1866.0
15,2021-07-22,20.4,131,-0.5,▼,-3.0,-2.4,-17.0,1997.0
16,2021-07-23,20.0,104,-0.4,▼,-4.0,-2.0,-27.0,2101.0
17,2021-07-24,19.0,109,-1.0,▼,-5.0,-5.0,5.0,2210.0
18,2021-07-25,18.7,117,-0.3,▼,-6.0,-1.6,8.0,2327.0
19,2021-07-26,18.4,99,-0.3,▼,-7.0,-1.6,-18.0,2426.0
20,2021-07-27,18.7,77,0.3,▲,-6.0,1.6,-22.0,2503.0
21,2021-07-28,18.5,139,-0.2,▼,-7.0,-1.1,62.0,2642.0
22,2021-07-29,18.7,126,0.2,▲,-6.0,1.1,-13.0,2768.0
23,2021-07-30,18.6,92,-0.1,▼,-7.0,-0.5,-34.0,2860.0
24,2021-07-31,18.5,93,-0.1,▼,-8.0,-0.5,1.0,2953.0
25,2021-08-01,18.3,132,-0.2,▼,-9.0,-1.1,39.0,3085.0
26,2021-08-02,18.1,99,-0.2,▼,-10.0,-1.1,-33.0,3184.0
27,2021-08-03,18.0,86,-0.1,▼,-11.0,-0.6,-13.0,3270.0
28,2021-08-04,17.6,113,-0.4,▼,-12.0,-2.2,27.0,3383.0
29,2021-08-05,17.4,121,-0.2,▼,-13.0,-1.1,8.0,3504.0
30,2021-08-06,16.9,84,-0.5,▼,-14.0,-2.9,-37.0,3588.0
31,2021-08-07,16.3,92,-0.6,▼,-15.0,-3.6,8.0,3680.0
32,2021-08-08,15.7,86,-0.6,▼,-16.0,-3.7,-6.0,3766.0
33,2021-08-09,15.7,131,0.0,-,-16.0,0.0,45.0,3897.0
34,2021-08-10,15.5,122,-0.2,▼,-17.0,-1.3,-9.0,4019.0
35,2021-08-11,15.6,117,0.1,▲,-16.0,0.6,-5.0,4136.0
36,2021-08-12,16.0,97,0.4,▲,-15.0,2.6,-20.0,4233.0
37,2021-08-13,16.0,86,0.0,-,-15.0,0.0,-11.0,4319.0
38,2021-08-14,16.1,100,0.1,▲,-14.0,0.6,14.0,4419.0
39,2021-08-15,16.3,130,0.2,▲,-13.0,1.2,30.0,4549.0
40,2021-08-16,16.5,96,0.2,▲,-12.0,1.2,-34.0,4645.0
41,2021-08-17,16.5,82,0.0,-,-12.0,0.0,-14.0,4727.0
42,2021-08-18,16.7,114,0.2,▲,-11.0,1.2,32.0,4841.0
43,2021-08-19,16.5,87,-0.2,▼,-12.0,-1.2,-27.0,4928.0
44,2021-08-20,16.3,124,-0.2,▼,-13.0,-1.2,37.0,5052.0
45,2021-08-21,15.9,97,-0.4,▼,-14.0,-2.5,-27.0,5149.0
46,2021-08-22,15.5,95,-0.4,▼,-15.0,-2.5,-2.0,5244.0
47,2021-08-23,15.3,77,-0.2,▼,-16.0,-1.3,-18.0,5321.0
48,2021-08-24,15.6,88,0.3,▲,-15.0,2.0,11.0,5409.0
49,2021-08-25,15.4,54,-0.2,▼,-16.0,-1.3,-34.0,5463.0
50,2021-08-26,15.4,106,0.0,-,-16.0,0.0,52.0,5569.0
51,2021-08-27,15.5,74,0.1,▲,-15.0,0.6,-32.0,5643.0
52,2021-08-28,15.5,77,0.0,-,-15.0,0.0,3.0,5720.0
53,2021-08-29,15.3,118,-0.2,▼,-16.0,-1.3,41.0,5838.0
54,2021-08-30,15.4,91,0.1,▲,-15.0,0.7,-27.0,5929.0
55,2021-08-31,15.6,94,0.2,▲,-14.0,1.3,3.0,6023.0
56,2021-09-01,15.6,59,0.0,-,-14.0,0.0,-35.0,6082.0
57,2021-09-02,15.6,82,0.0,-,-14.0,0.0,23.0,6164.0
58,2021-09-03,15.2,92,-0.4,▼,-15.0,-2.6,10.0,6256.0
59,2021-09-04,15.2,95,0.0,-,-15.0,0.0,3.0,6351.0
60,2021-09-05,15.1,113,-0.1,▼,-16.0,-0.7,18.0,6464.0
61,2021-09-06,15.0,109,-0.1,▼,-17.0,-0.7,-4.0,6573.0
62,2021-09-07,15.1,92,0.1,▲,-16.0,0.7,-17.0,6665.0
63,2021-09-08,15.3,38,0.2,▲,-15.0,1.3,-54.0,6703.0
64,2021-09-09,15.6,114,0.3,▲,-14.0,2.0,76.0,6817.0
65,2021-09-10,15.9,124,0.3,▲,-13.0,1.9,10.0,6941.0
66,2021-09-11,16.3,111,0.4,▲,-12.0,2.5,-13.0,7052.0
67,2021-09-12,17.2,97,0.9,▲,-11.0,5.5,-14.0,7149.0
68,2021-09-13,17.8,71,0.6,▲,-10.0,3.5,-26.0,7220.0
69,2021-09-14,18.1,57,0.3,▲,-9.0,1.7,-14.0,7277.0
70,2021-09-15,18.4,58,0.3,▲,-8.0,1.7,1.0,7335.0
71,2021-09-16,18.7,59,0.3,▲,-7.0,1.6,1.0,7394.0
72,2021-09-17,18.4,77,-0.3,▼,-8.0,-1.6,18.0,7471.0
73,2021-09-18,18.5,79,0.1,▲,-7.0,0.5,2.0,7550.0
74,2021-09-19,18.5,146,0.0,-,-7.0,0.0,67.0,7696.0
75,2021-09-20,18.2,87,-0.3,▼,-8.0,-1.6,-59.0,7783.0
76,2021-09-21,17.8,106,-0.4,▼,-9.0,-2.2,19.0,7889.0
77,2021-09-22,17.5,58,-0.3,▼,-10.0,-1.7,-48.0,7947.0
78,2021-09-23,17.4,74,-0.1,▼,-11.0,-0.6,16.0,8021.0
79,2021-09-24,17.3,70,-0.1,▼,-12.0,-0.6,-4.0,8091.0
80,2021-09-25,17.1,111,-0.2,▼,-13.0,-1.2,41.0,8202.0
81,2021-09-26,17.2,112,0.1,▲,-12.0,0.6,1.0,8314.0
82,2021-09-27,17.5,57,0.3,▲,-11.0,1.7,-55.0,8371.0
83,2021-09-28,17.1,50,-0.4,▼,-12.0,-2.3,-7.0,8421.0
84,2021-09-29,16.8,60,-0.3,▼,-13.0,-1.8,10.0,8481.0
85,2021-09-30,17.0,55,0.2,▲,-12.0,1.2,-5.0,8536.0
86,2021-10-01,16.9,62,-0.1,▼,-13.0,-0.6,7.0,8598.0
87,2021-10-02,16.2,76,-0.7,▼,-14.0,-4.1,14.0,8674.0
