,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-29,,2,,▲,1.0,,-2.0,2.0
2,2020-05-05,,1,,▲,2.0,,-1.0,3.0
3,2020-05-08,3.2,1,,▲,3.0,,0.0,4.0
4,2020-05-09,3.0,1,-0.2,▼,2.0,-6.2,0.0,5.0
5,2020-05-10,2.9,5,-0.1,▼,1.0,-3.3,4.0,10.0
6,2020-05-13,3.0,1,0.1,▲,2.0,3.4,-4.0,11.0
7,2020-05-14,3.1,4,0.1,▲,3.0,3.3,3.0,15.0
8,2020-05-15,3.1,2,0.0,-,3.0,0.0,-2.0,17.0
9,2020-05-16,3.1,1,0.0,-,3.0,0.0,-1.0,18.0
10,2020-05-18,3.1,1,0.0,-,3.0,0.0,0.0,19.0
11,2020-05-21,3.2,2,0.1,▲,4.0,3.2,1.0,21.0
12,2020-05-22,3.1,1,-0.1,▼,3.0,-3.1,-1.0,22.0
13,2020-05-23,3.0,2,-0.1,▼,2.0,-3.2,1.0,24.0
14,2020-05-24,3.1,2,0.1,▲,3.0,3.3,0.0,26.0
15,2020-05-26,3.1,1,0.0,-,3.0,0.0,-1.0,27.0
16,2020-05-28,3.0,1,-0.1,▼,2.0,-3.2,0.0,28.0
17,2020-05-29,3.0,2,0.0,-,2.0,0.0,1.0,30.0
18,2020-05-31,3.2,2,0.2,▲,3.0,6.7,0.0,32.0
19,2020-06-01,3.1,3,-0.1,▼,2.0,-3.1,1.0,35.0
20,2020-06-04,3.1,1,0.0,-,2.0,0.0,-2.0,36.0
21,2020-06-08,2.9,3,-0.2,▼,1.0,-6.5,2.0,39.0
22,2020-06-09,3.3,1,0.4,▲,2.0,13.8,-2.0,40.0
23,2020-06-10,3.4,1,0.1,▲,3.0,3.0,0.0,41.0
24,2020-06-12,3.6,1,0.2,▲,4.0,5.9,0.0,42.0
25,2020-06-15,3.6,1,0.0,-,4.0,0.0,0.0,43.0
26,2020-06-16,4.0,1,0.4,▲,5.0,11.1,0.0,44.0
27,2020-06-18,3.8,1,-0.2,▼,4.0,-5.0,0.0,45.0
28,2020-06-19,3.6,1,-0.2,▼,3.0,-5.3,0.0,46.0
29,2020-06-22,3.4,1,-0.2,▼,2.0,-5.6,0.0,47.0
30,2020-06-23,3.6,1,0.2,▲,3.0,5.9,0.0,48.0
31,2020-06-24,3.4,1,-0.2,▼,2.0,-5.6,0.0,49.0
32,2020-06-27,3.2,1,-0.2,▼,1.0,-5.9,0.0,50.0
33,2020-06-28,3.4,1,0.2,▲,2.0,6.2,0.0,51.0
34,2020-07-02,3.6,1,0.2,▲,3.0,5.9,0.0,52.0
35,2020-07-11,3.5,2,-0.1,▼,2.0,-2.8,1.0,54.0
36,2020-07-14,3.5,1,0.0,-,2.0,0.0,-1.0,55.0
37,2020-07-15,3.9,1,0.4,▲,3.0,11.4,0.0,56.0
38,2020-07-20,3.9,1,0.0,-,3.0,0.0,0.0,57.0
39,2020-07-30,3.7,1,-0.2,▼,2.0,-5.1,0.0,58.0
40,2020-07-31,3.6,1,-0.1,▼,1.0,-2.7,0.0,59.0
41,2020-08-02,3.6,1,0.0,-,1.0,0.0,0.0,60.0
42,2020-08-03,3.4,1,-0.2,▼,0.0,-5.6,0.0,61.0
43,2020-08-06,3.4,1,0.0,-,0.0,0.0,0.0,62.0
44,2020-08-07,3.6,1,0.2,▲,1.0,5.9,0.0,63.0
45,2020-08-09,3.6,1,0.0,-,1.0,0.0,0.0,64.0
46,2020-08-11,3.6,1,0.0,-,1.0,0.0,0.0,65.0
47,2020-08-12,3.4,2,-0.2,▼,0.0,-5.6,1.0,67.0
48,2020-08-13,3.2,2,-0.2,▼,-1.0,-5.9,0.0,69.0
49,2020-08-15,3.0,1,-0.2,▼,-2.0,-6.2,-1.0,70.0
50,2020-08-18,3.0,1,0.0,-,-2.0,0.0,0.0,71.0
51,2020-08-28,3.2,1,0.2,▲,-1.0,6.7,0.0,72.0
52,2020-08-31,3.0,1,-0.2,▼,-2.0,-6.2,0.0,73.0
53,2020-09-03,3.0,2,0.0,-,-2.0,0.0,1.0,75.0
54,2020-09-04,3.2,1,0.2,▲,-1.0,6.7,-1.0,76.0
55,2020-09-05,3.1,2,-0.1,▼,-2.0,-3.1,1.0,78.0
56,2020-09-06,2.9,2,-0.2,▼,-3.0,-6.5,0.0,80.0
57,2020-09-07,3.1,1,0.2,▲,-2.0,6.9,-1.0,81.0
58,2020-09-08,3.1,1,0.0,-,-2.0,0.0,0.0,82.0
59,2020-09-09,3.1,1,0.0,-,-2.0,0.0,0.0,83.0
60,2020-09-13,3.4,1,0.3,▲,-1.0,9.7,0.0,84.0
61,2020-09-15,3.6,1,0.2,▲,0.0,5.9,0.0,85.0
62,2020-09-16,3.8,1,0.2,▲,1.0,5.6,0.0,86.0
63,2020-09-18,3.8,1,0.0,-,1.0,0.0,0.0,87.0
64,2020-09-19,3.6,1,-0.2,▼,0.0,-5.3,0.0,88.0
65,2020-09-23,3.4,2,-0.2,▼,-1.0,-5.6,1.0,90.0
66,2020-09-24,3.4,1,0.0,-,-1.0,0.0,-1.0,91.0
67,2020-09-25,3.2,1,-0.2,▼,-2.0,-5.9,0.0,92.0
68,2020-09-27,3.2,2,0.0,-,-2.0,0.0,1.0,94.0
69,2020-09-28,3.2,1,0.0,-,-2.0,0.0,-1.0,95.0
70,2020-10-04,3.2,1,0.0,-,-2.0,0.0,0.0,96.0
71,2020-10-06,3.0,1,-0.2,▼,-3.0,-6.2,0.0,97.0
72,2020-10-07,3.0,1,0.0,-,-3.0,0.0,0.0,98.0
73,2020-10-09,2.9,2,-0.1,▼,-4.0,-3.3,1.0,100.0
74,2020-10-10,2.7,1,-0.2,▼,-5.0,-6.9,-1.0,101.0
75,2020-10-13,3.1,1,0.4,▲,-4.0,14.8,0.0,102.0
76,2020-10-14,3.0,2,-0.1,▼,-5.0,-3.2,1.0,104.0
77,2020-10-19,3.0,1,0.0,-,-5.0,0.0,-1.0,105.0
78,2020-10-27,3.5,1,0.5,▲,-4.0,16.7,0.0,106.0
79,2020-11-03,4.2,2,0.7,▲,-3.0,20.0,1.0,108.0
80,2020-11-06,3.8,1,-0.4,▼,-4.0,-9.5,-1.0,109.0
81,2020-11-08,3.9,2,0.1,▲,-3.0,2.6,1.0,111.0
82,2020-11-11,3.9,1,0.0,-,-3.0,0.0,-1.0,112.0
83,2020-11-17,3.3,2,-0.6,▼,-4.0,-15.4,1.0,114.0
84,2020-11-19,2.8,1,-0.5,▼,-5.0,-15.2,-1.0,115.0
