,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,4.1,6,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,4.3,9,0.2,▲,1.0,4.9,3.0,9.0
2,2020-04-09,4.6,3,0.3,▲,2.0,7.0,-6.0,12.0
3,2020-04-10,4.5,4,-0.1,▼,1.0,-2.2,1.0,16.0
4,2020-04-11,4.7,2,0.2,▲,2.0,4.4,-2.0,18.0
5,2020-04-12,4.8,5,0.1,▲,3.0,2.1,3.0,23.0
6,2020-04-13,4.7,6,-0.1,▼,2.0,-2.1,1.0,29.0
7,2020-04-14,4.5,6,-0.2,▼,1.0,-4.3,0.0,35.0
8,2020-04-15,4.7,6,0.2,▲,2.0,4.4,0.0,41.0
9,2020-04-16,4.6,5,-0.1,▼,1.0,-2.1,-1.0,46.0
10,2020-04-17,4.3,8,-0.3,▼,0.0,-6.5,3.0,54.0
11,2020-04-18,4.3,3,0.0,-,0.0,0.0,-5.0,57.0
12,2020-04-19,4.2,7,-0.1,▼,-1.0,-2.3,4.0,64.0
13,2020-04-20,4.0,5,-0.2,▼,-2.0,-4.8,-2.0,69.0
14,2020-04-21,3.9,6,-0.1,▼,-3.0,-2.5,1.0,75.0
15,2020-04-22,4.1,6,0.2,▲,-2.0,5.1,0.0,81.0
16,2020-04-23,4.0,6,-0.1,▼,-3.0,-2.4,0.0,87.0
17,2020-04-24,3.9,4,-0.1,▼,-4.0,-2.5,-2.0,91.0
18,2020-04-25,4.1,15,0.2,▲,-3.0,5.1,11.0,106.0
19,2020-04-26,4.2,3,0.1,▲,-2.0,2.4,-12.0,109.0
20,2020-04-27,4.1,10,-0.1,▼,-3.0,-2.4,7.0,119.0
21,2020-04-28,4.2,5,0.1,▲,-2.0,2.4,-5.0,124.0
22,2020-04-29,4.4,5,0.2,▲,-1.0,4.8,0.0,129.0
23,2020-04-30,4.4,4,0.0,-,-1.0,0.0,-1.0,133.0
24,2020-05-01,4.3,7,-0.1,▼,-2.0,-2.3,3.0,140.0
25,2020-05-02,4.8,7,0.5,▲,-1.0,11.6,0.0,147.0
26,2020-05-03,4.8,5,0.0,-,-1.0,0.0,-2.0,152.0
27,2020-05-04,4.7,1,-0.1,▼,-2.0,-2.1,-4.0,153.0
28,2020-05-05,4.7,5,0.0,-,-2.0,0.0,4.0,158.0
29,2020-05-06,4.6,2,-0.1,▼,-3.0,-2.1,-3.0,160.0
30,2020-05-07,4.0,9,-0.6,▼,-4.0,-13.0,7.0,169.0
