,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-07,56.0,32,0.0,-,0.0,0.0
1,2020-04-08,56.3,22,0.3,▲,1.0,0.5
2,2020-04-09,57.8,30,1.5,▲,2.0,2.7
3,2020-04-10,57.0,41,-0.8,▼,1.0,-1.4
4,2020-04-11,55.9,39,-1.1,▼,0.0,-1.9
5,2020-04-12,54.5,40,-1.4,▼,-1.0,-2.5
6,2020-04-13,54.0,43,-0.5,▼,-2.0,-0.9
7,2020-04-14,52.5,39,-1.5,▼,-3.0,-2.8
8,2020-04-15,53.5,43,1.0,▲,-2.0,1.9
9,2020-04-16,54.0,39,0.5,▲,-1.0,0.9
10,2020-04-17,55.0,40,1.0,▲,0.0,1.9
11,2020-04-18,54.3,28,-0.7,▼,-1.0,-1.3
12,2020-04-19,55.3,29,1.0,▲,0.0,1.8
13,2020-04-20,56.2,20,0.9,▲,1.0,1.6
14,2020-04-21,56.2,38,0.0,-,1.0,0.0
15,2020-04-22,56.2,31,0.0,-,1.0,0.0
16,2020-04-23,57.4,41,1.2,▲,2.0,2.1
17,2020-04-24,57.4,27,0.0,-,2.0,0.0
18,2020-04-25,56.6,34,-0.8,▼,1.0,-1.4
19,2020-04-26,57.6,33,1.0,▲,2.0,1.8
20,2020-04-27,56.7,29,-0.9,▼,1.0,-1.6
21,2020-04-28,57.1,28,0.4,▲,2.0,0.7
22,2020-04-29,57.6,26,0.5,▲,3.0,0.9
23,2020-04-30,58.0,42,0.4,▲,4.0,0.7
24,2020-05-01,56.4,17,-1.6,▼,3.0,-2.8
25,2020-05-02,57.3,26,0.9,▲,4.0,1.6
26,2020-05-03,56.9,26,-0.4,▼,3.0,-0.7
27,2020-05-04,56.9,20,0.0,-,3.0,0.0
28,2020-05-05,56.8,26,-0.1,▼,2.0,-0.2
29,2020-05-06,58.3,28,1.5,▲,3.0,2.6
30,2020-05-07,58.8,26,0.5,▲,4.0,0.9
31,2020-05-08,58.3,33,-0.5,▼,3.0,-0.9
32,2020-05-09,58.2,32,-0.1,▼,2.0,-0.2
33,2020-05-10,57.0,34,-1.2,▼,1.0,-2.1
34,2020-05-11,56.8,22,-0.2,▼,0.0,-0.4
35,2020-05-12,56.3,24,-0.5,▼,-1.0,-0.9
36,2020-05-13,56.8,25,0.5,▲,0.0,0.9
37,2020-05-14,56.4,28,-0.4,▼,-1.0,-0.7
38,2020-05-15,57.2,38,0.8,▲,0.0,1.4
39,2020-05-16,57.5,41,0.3,▲,1.0,0.5
40,2020-05-17,57.4,29,-0.1,▼,0.0,-0.2
41,2020-05-18,57.4,21,0.0,-,0.0,0.0
42,2020-05-19,57.9,29,0.5,▲,1.0,0.9
43,2020-05-20,57.6,35,-0.3,▼,0.0,-0.5
44,2020-05-21,56.4,25,-1.2,▼,-1.0,-2.1
45,2020-05-22,56.8,17,0.4,▲,0.0,0.7
46,2020-05-23,57.1,25,0.3,▲,1.0,0.5
47,2020-05-24,56.9,26,-0.2,▼,0.0,-0.4
48,2020-05-25,57.6,32,0.7,▲,1.0,1.2
49,2020-05-26,57.8,29,0.2,▲,2.0,0.3
50,2020-05-27,57.8,14,0.0,-,2.0,0.0
51,2020-05-28,57.4,21,-0.4,▼,1.0,-0.7
52,2020-05-29,57.6,24,0.2,▲,2.0,0.3
53,2020-05-30,58.2,36,0.6,▲,3.0,1.0
54,2020-05-31,58.6,27,0.4,▲,4.0,0.7
55,2020-06-01,58.3,25,-0.3,▼,3.0,-0.5
56,2020-06-02,58.4,26,0.1,▲,4.0,0.2
57,2020-06-03,58.4,16,0.0,-,4.0,0.0
58,2020-06-04,58.4,23,0.0,-,4.0,0.0
59,2020-06-05,57.5,16,-0.9,▼,3.0,-1.5
60,2020-06-06,57.9,14,0.4,▲,4.0,0.7
61,2020-06-07,58.2,22,0.3,▲,5.0,0.5
62,2020-06-08,59.0,14,0.8,▲,6.0,1.4
63,2020-06-09,58.8,23,-0.2,▼,5.0,-0.3
64,2020-06-10,59.2,31,0.4,▲,6.0,0.7
65,2020-06-11,59.3,31,0.1,▲,7.0,0.2
66,2020-06-12,58.0,21,-1.3,▼,6.0,-2.2
67,2020-06-13,56.2,23,-1.8,▼,5.0,-3.1
68,2020-06-14,54.6,26,-1.6,▼,4.0,-2.8
69,2020-06-15,54.2,33,-0.4,▼,3.0,-0.7
70,2020-06-16,52.2,32,-2.0,▼,2.0,-3.7
71,2020-06-17,50.7,32,-1.5,▼,1.0,-2.9
72,2020-06-18,49.5,25,-1.2,▼,0.0,-2.4
73,2020-06-19,49.2,24,-0.3,▼,-1.0,-0.6
74,2020-06-20,48.8,19,-0.4,▼,-2.0,-0.8
75,2020-06-21,48.6,19,-0.2,▼,-3.0,-0.4
76,2020-06-22,49.5,14,0.9,▲,-2.0,1.9
77,2020-06-23,49.5,17,0.0,-,-2.0,0.0
78,2020-06-24,49.4,12,-0.1,▼,-3.0,-0.2
79,2020-06-25,48.7,25,-0.7,▼,-4.0,-1.4
80,2020-06-26,48.7,18,0.0,-,-4.0,0.0
81,2020-06-27,47.3,22,-1.4,▼,-5.0,-2.9
82,2020-06-28,46.5,16,-0.8,▼,-6.0,-1.7
83,2020-06-29,46.6,13,0.1,▲,-5.0,0.2
84,2020-06-30,47.0,12,0.4,▲,-4.0,0.9
85,2020-07-01,47.2,27,0.2,▲,-3.0,0.4
86,2020-07-02,48.7,18,1.5,▲,-2.0,3.2
87,2020-07-03,49.5,20,0.8,▲,-1.0,1.6
88,2020-07-04,49.1,24,-0.4,▼,-2.0,-0.8
89,2020-07-05,48.9,26,-0.2,▼,-3.0,-0.4
90,2020-07-06,47.8,13,-1.1,▼,-4.0,-2.2
91,2020-07-07,47.5,16,-0.3,▼,-5.0,-0.6
92,2020-07-08,47.4,17,-0.1,▼,-6.0,-0.2
93,2020-07-09,47.0,11,-0.4,▼,-7.0,-0.8
94,2020-07-10,46.0,18,-1.0,▼,-8.0,-2.1
95,2020-07-11,47.0,24,1.0,▲,-7.0,2.2
96,2020-07-12,46.3,33,-0.7,▼,-8.0,-1.5
97,2020-07-13,45.6,19,-0.7,▼,-9.0,-1.5
98,2020-07-14,45.5,32,-0.1,▼,-10.0,-0.2
99,2020-07-15,46.4,17,0.9,▲,-9.0,2.0
100,2020-07-16,46.4,11,0.0,-,-9.0,0.0
101,2020-07-17,45.9,30,-0.5,▼,-10.0,-1.1
102,2020-07-18,46.0,15,0.1,▲,-9.0,0.2
103,2020-07-19,46.8,29,0.8,▲,-8.0,1.7
104,2020-07-20,45.4,24,-1.4,▼,-9.0,-3.0
105,2020-07-21,45.5,29,0.1,▲,-8.0,0.2
106,2020-07-22,47.0,28,1.5,▲,-7.0,3.3
107,2020-07-23,47.9,17,0.9,▲,-6.0,1.9
108,2020-07-24,47.6,22,-0.3,▼,-7.0,-0.6
109,2020-07-25,48.5,20,0.9,▲,-6.0,1.9
110,2020-07-26,48.2,17,-0.3,▼,-7.0,-0.6
111,2020-07-27,49.7,20,1.5,▲,-6.0,3.1
112,2020-07-28,50.7,21,1.0,▲,-5.0,2.0
113,2020-07-29,51.2,16,0.5,▲,-4.0,1.0
114,2020-07-30,52.1,13,0.9,▲,-3.0,1.8
115,2020-07-31,52.4,19,0.3,▲,-2.0,0.6
116,2020-08-01,50.9,27,-1.5,▼,-3.0,-2.9
117,2020-08-02,46.4,39,-4.5,▼,-4.0,-8.8
118,2020-08-03,46.3,17,-0.1,▼,-5.0,-0.2
119,2020-08-04,46.4,24,0.1,▲,-4.0,0.2
120,2020-08-05,46.3,19,-0.1,▼,-5.0,-0.2
121,2020-08-06,47.2,33,0.9,▲,-4.0,1.9
122,2020-08-07,51.7,48,4.5,▲,-3.0,9.5
123,2020-08-08,52.3,31,0.6,▲,-2.0,1.2
124,2020-08-09,53.5,43,1.2,▲,-1.0,2.3
125,2020-08-10,54.6,13,1.1,▲,0.0,2.1
126,2020-08-11,54.2,18,-0.4,▼,-1.0,-0.7
127,2020-08-12,54.1,18,-0.1,▼,-2.0,-0.2
128,2020-08-13,54.1,17,0.0,-,-2.0,0.0
129,2020-08-14,47.9,81,-6.2,▼,-3.0,-11.5
130,2020-08-15,41.6,83,-6.3,▼,-4.0,-13.2
131,2020-08-16,36.1,90,-5.5,▼,-5.0,-13.2
132,2020-08-17,30.4,38,-5.7,▼,-6.0,-15.8
133,2020-08-18,25.4,19,-5.0,▼,-7.0,-16.4
