,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-29,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-03,,1,,▲,1.0,,0.0,1.0
2,2020-04-11,,1,,▲,2.0,,0.0,2.0
3,2020-04-12,,1,,▲,3.0,,0.0,3.0
4,2020-04-18,9.2,1,,▲,4.0,,0.0,4.0
5,2020-04-19,9.0,1,-0.2,▼,3.0,-2.2,0.0,5.0
6,2020-04-27,8.6,1,-0.4,▼,2.0,-4.4,0.0,6.0
7,2020-05-09,9.0,1,0.4,▲,3.0,4.7,0.0,7.0
8,2020-05-10,9.0,1,0.0,-,3.0,0.0,0.0,8.0
9,2020-05-15,9.0,1,0.0,-,3.0,0.0,0.0,9.0
10,2020-05-25,9.0,2,0.0,-,3.0,0.0,1.0,11.0
11,2020-05-27,9.2,1,0.2,▲,4.0,2.2,-1.0,12.0
12,2020-06-01,8.8,1,-0.4,▼,3.0,-4.3,0.0,13.0
13,2020-06-05,8.8,2,0.0,-,3.0,0.0,1.0,15.0
14,2020-06-06,7.8,1,-1.0,▼,2.0,-11.4,-1.0,16.0
15,2020-06-10,8.8,1,1.0,▲,3.0,12.8,0.0,17.0
16,2020-06-13,8.0,1,-0.8,▼,2.0,-9.1,0.0,18.0
17,2020-06-19,9.8,1,1.8,▲,3.0,22.5,0.0,19.0
18,2020-06-20,11.8,1,2.0,▲,4.0,20.4,0.0,20.0
19,2020-06-26,16.8,1,5.0,▲,5.0,42.4,0.0,21.0
20,2020-06-27,15.8,1,-1.0,▼,4.0,-6.0,0.0,22.0
21,2020-06-30,16.8,1,1.0,▲,5.0,6.3,0.0,23.0
22,2020-07-05,17.0,1,0.2,▲,6.0,1.2,0.0,24.0
23,2020-07-06,16.0,1,-1.0,▼,5.0,-5.9,0.0,25.0
24,2020-07-12,11.6,1,-4.4,▼,4.0,-27.5,0.0,26.0
25,2020-07-16,10.6,1,-1.0,▼,3.0,-8.6,0.0,27.0
26,2020-07-18,10.6,2,0.0,-,3.0,0.0,1.0,29.0
27,2020-07-19,10.6,1,0.0,-,3.0,0.0,-1.0,30.0
28,2020-07-29,8.2,1,-2.4,▼,2.0,-22.6,0.0,31.0
29,2020-08-01,8.2,1,0.0,-,2.0,0.0,0.0,32.0
30,2020-08-04,9.6,1,1.4,▲,3.0,17.1,0.0,33.0
31,2020-08-05,10.6,2,1.0,▲,4.0,10.4,1.0,35.0
32,2020-08-16,10.6,1,0.0,-,4.0,0.0,-1.0,36.0
33,2020-08-21,12.0,2,1.4,▲,5.0,13.2,1.0,38.0
34,2020-08-25,12.9,5,0.9,▲,6.0,7.5,3.0,43.0
35,2020-08-26,13.3,1,0.4,▲,7.0,3.1,-4.0,44.0
36,2020-08-30,12.1,2,-1.2,▼,6.0,-9.0,1.0,46.0
37,2020-09-01,11.6,2,-0.5,▼,5.0,-4.1,0.0,48.0
38,2020-09-02,11.4,1,-0.2,▼,4.0,-1.7,-1.0,49.0
39,2020-09-05,10.9,1,-0.5,▼,3.0,-4.4,0.0,50.0
40,2020-09-13,10.1,1,-0.8,▼,2.0,-7.3,0.0,51.0
41,2020-09-23,9.6,2,-0.5,▼,1.0,-5.0,1.0,53.0
42,2020-10-01,8.1,1,-1.5,▼,0.0,-15.6,-1.0,54.0
43,2020-10-12,8.2,3,0.1,▲,1.0,1.2,2.0,57.0
44,2020-10-15,8.2,1,0.0,-,1.0,0.0,-2.0,58.0
45,2020-10-16,10.2,1,2.0,▲,2.0,24.4,0.0,59.0
46,2020-10-17,11.9,2,1.7,▲,3.0,16.7,1.0,61.0
47,2020-10-30,12.9,1,1.0,▲,4.0,8.4,-1.0,62.0
48,2020-11-08,14.0,1,1.1,▲,5.0,8.5,0.0,63.0
49,2020-11-12,14.0,1,0.0,-,5.0,0.0,0.0,64.0
50,2020-11-17,12.0,1,-2.0,▼,4.0,-14.3,0.0,65.0
51,2020-11-25,11.0,1,-1.0,▼,3.0,-8.3,0.0,66.0
52,2020-11-26,11.2,1,0.2,▲,4.0,1.8,0.0,67.0
53,2020-12-24,10.4,2,-0.8,▼,3.0,-7.1,1.0,69.0
54,2021-01-08,12.0,1,1.6,▲,4.0,15.4,-1.0,70.0
55,2021-01-14,14.0,1,2.0,▲,5.0,16.7,0.0,71.0
56,2021-01-29,16.0,1,2.0,▲,6.0,14.3,0.0,72.0
57,2021-02-03,16.6,2,0.6,▲,7.0,3.8,1.0,74.0
58,2021-02-07,16.4,1,-0.2,▼,6.0,-1.2,-1.0,75.0
59,2021-02-08,14.3,3,-2.1,▼,5.0,-12.8,2.0,78.0
60,2021-02-12,12.3,1,-2.0,▼,4.0,-14.0,-2.0,79.0
61,2021-02-18,10.3,1,-2.0,▼,3.0,-16.3,0.0,80.0
62,2021-02-22,9.5,1,-0.8,▼,2.0,-7.8,0.0,81.0
63,2021-03-07,10.1,1,0.6,▲,3.0,6.3,0.0,82.0
64,2021-03-22,9.7,2,-0.4,▼,2.0,-4.0,1.0,84.0
65,2021-03-23,9.7,1,0.0,-,2.0,0.0,-1.0,85.0
66,2021-03-24,9.7,1,0.0,-,2.0,0.0,0.0,86.0
67,2021-03-26,10.9,1,1.2,▲,3.0,12.4,0.0,87.0
68,2021-03-27,10.3,1,-0.6,▼,2.0,-5.5,0.0,88.0
69,2021-03-30,11.2,1,0.9,▲,3.0,8.7,0.0,89.0
70,2021-04-02,11.2,1,0.0,-,3.0,0.0,0.0,90.0
71,2021-04-08,11.2,1,0.0,-,3.0,0.0,0.0,91.0
72,2021-04-09,10.0,1,-1.2,▼,2.0,-10.7,0.0,92.0
73,2021-04-10,10.0,2,0.0,-,2.0,0.0,1.0,94.0
74,2021-04-12,10.0,1,0.0,-,2.0,0.0,-1.0,95.0
75,2021-04-15,9.6,1,-0.4,▼,1.0,-4.0,0.0,96.0
76,2021-04-17,9.4,1,-0.2,▼,0.0,-2.1,0.0,97.0
77,2021-04-19,9.0,1,-0.4,▼,-1.0,-4.3,0.0,98.0
78,2021-04-21,8.0,1,-1.0,▼,-2.0,-11.1,0.0,99.0
79,2021-05-02,8.5,3,0.5,▲,-1.0,6.2,2.0,102.0
80,2021-05-03,9.9,2,1.4,▲,0.0,16.5,-1.0,104.0
81,2021-05-05,10.1,2,0.2,▲,1.0,2.0,0.0,106.0
82,2021-05-06,12.5,1,2.4,▲,2.0,23.8,-1.0,107.0
83,2021-05-07,12.7,1,0.2,▲,3.0,1.6,0.0,108.0
84,2021-05-08,11.2,1,-1.5,▼,2.0,-11.8,0.0,109.0
85,2021-05-09,9.2,1,-2.0,▼,1.0,-17.9,0.0,110.0
86,2021-05-17,10.2,1,1.0,▲,2.0,10.9,0.0,111.0
87,2021-05-23,8.2,1,-2.0,▼,1.0,-19.6,0.0,112.0
88,2021-05-24,9.8,3,1.6,▲,2.0,19.5,2.0,115.0
89,2021-05-27,11.8,1,2.0,▲,3.0,20.4,-2.0,116.0
90,2021-05-29,13.8,2,2.0,▲,4.0,16.9,1.0,118.0
