,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,65.8,17,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,66.6,29,0.8,▲,1.0,1.2,12.0,29.0
2,2020-04-29,66.6,26,0.0,-,1.0,0.0,-3.0,55.0
3,2020-04-30,67.9,10,1.3,▲,2.0,2.0,-16.0,65.0
4,2020-05-01,67.9,14,0.0,-,2.0,0.0,4.0,79.0
5,2020-05-02,68.7,18,0.8,▲,3.0,1.2,4.0,97.0
6,2020-05-03,68.8,15,0.1,▲,4.0,0.1,-3.0,112.0
7,2020-05-04,66.9,10,-1.9,▼,3.0,-2.8,-5.0,122.0
8,2020-05-05,66.9,13,0.0,-,3.0,0.0,3.0,135.0
9,2020-05-06,66.4,9,-0.5,▼,2.0,-0.7,-4.0,144.0
10,2020-05-07,64.2,13,-2.2,▼,1.0,-3.3,4.0,157.0
11,2020-05-08,63.1,20,-1.1,▼,0.0,-1.7,7.0,177.0
12,2020-05-09,66.4,22,3.3,▲,1.0,5.2,2.0,199.0
13,2020-05-10,66.7,13,0.3,▲,2.0,0.5,-9.0,212.0
14,2020-05-11,65.7,12,-1.0,▼,1.0,-1.5,-1.0,224.0
15,2020-05-12,68.0,18,2.3,▲,2.0,3.5,6.0,242.0
16,2020-05-13,69.4,22,1.4,▲,3.0,2.1,4.0,264.0
17,2020-05-14,68.5,22,-0.9,▼,2.0,-1.3,0.0,286.0
18,2020-05-15,68.5,17,0.0,-,2.0,0.0,-5.0,303.0
19,2020-05-16,69.8,34,1.3,▲,3.0,1.9,17.0,337.0
20,2020-05-17,69.3,25,-0.5,▼,2.0,-0.7,-9.0,362.0
21,2020-05-18,67.8,14,-1.5,▼,1.0,-2.2,-11.0,376.0
22,2020-05-19,67.3,19,-0.5,▼,0.0,-0.7,5.0,395.0
23,2020-05-20,67.5,19,0.2,▲,1.0,0.3,0.0,414.0
24,2020-05-21,67.6,6,0.1,▲,2.0,0.1,-13.0,420.0
25,2020-05-22,66.8,16,-0.8,▼,1.0,-1.2,10.0,436.0
26,2020-05-23,67.9,27,1.1,▲,2.0,1.6,11.0,463.0
27,2020-05-24,68.6,20,0.7,▲,3.0,1.0,-7.0,483.0
28,2020-05-25,68.6,24,0.0,-,3.0,0.0,4.0,507.0
29,2020-05-26,68.5,24,-0.1,▼,2.0,-0.1,0.0,531.0
30,2020-05-27,68.7,35,0.2,▲,3.0,0.3,11.0,566.0
31,2020-05-28,69.1,25,0.4,▲,4.0,0.6,-10.0,591.0
32,2020-05-29,69.7,23,0.6,▲,5.0,0.9,-2.0,614.0
33,2020-05-30,69.9,34,0.2,▲,6.0,0.3,11.0,648.0
34,2020-05-31,69.6,22,-0.3,▼,5.0,-0.4,-12.0,670.0
35,2020-06-01,71.4,24,1.8,▲,6.0,2.6,2.0,694.0
36,2020-06-02,70.7,19,-0.7,▼,5.0,-1.0,-5.0,713.0
37,2020-06-03,71.4,19,0.7,▲,6.0,1.0,0.0,732.0
38,2020-06-04,70.7,6,-0.7,▼,5.0,-1.0,-13.0,738.0
39,2020-06-05,71.7,11,1.0,▲,6.0,1.4,5.0,749.0
40,2020-06-06,72.2,26,0.5,▲,7.0,0.7,15.0,775.0
41,2020-06-07,74.5,20,2.3,▲,8.0,3.2,-6.0,795.0
42,2020-06-08,75.5,11,1.0,▲,9.0,1.3,-9.0,806.0
43,2020-06-09,76.8,10,1.3,▲,10.0,1.7,-1.0,816.0
44,2020-06-10,79.7,9,2.9,▲,11.0,3.8,-1.0,825.0
45,2020-06-11,79.6,16,-0.1,▼,10.0,-0.1,7.0,841.0
46,2020-06-12,79.5,20,-0.1,▼,9.0,-0.1,4.0,861.0
47,2020-06-13,79.5,22,0.0,-,9.0,0.0,2.0,883.0
48,2020-06-14,80.9,12,1.4,▲,10.0,1.8,-10.0,895.0
49,2020-06-15,79.4,12,-1.5,▼,9.0,-1.9,0.0,907.0
50,2020-06-16,79.5,8,0.1,▲,10.0,0.1,-4.0,915.0
51,2020-06-17,79.1,27,-0.4,▼,9.0,-0.5,19.0,942.0
52,2020-06-18,78.3,10,-0.8,▼,8.0,-1.0,-17.0,952.0
53,2020-06-19,77.6,22,-0.7,▼,7.0,-0.9,12.0,974.0
54,2020-06-20,72.7,11,-4.9,▼,6.0,-6.3,-11.0,985.0
55,2020-06-21,72.9,17,0.2,▲,7.0,0.3,6.0,1002.0
56,2020-06-22,73.4,9,0.5,▲,8.0,0.7,-8.0,1011.0
57,2020-06-23,74.1,18,0.7,▲,9.0,1.0,9.0,1029.0
58,2020-06-24,70.6,8,-3.5,▼,8.0,-4.7,-10.0,1037.0
59,2020-06-25,75.6,12,5.0,▲,9.0,7.1,4.0,1049.0
60,2020-06-26,76.3,9,0.7,▲,10.0,0.9,-3.0,1058.0
61,2020-06-27,75.8,12,-0.5,▼,9.0,-0.7,3.0,1070.0
62,2020-06-28,77.9,10,2.1,▲,10.0,2.8,-2.0,1080.0
63,2020-06-29,83.9,10,6.0,▲,11.0,7.7,0.0,1090.0
64,2020-06-30,85.4,5,1.5,▲,12.0,1.8,-5.0,1095.0
65,2020-07-01,83.7,9,-1.7,▼,11.0,-2.0,4.0,1104.0
66,2020-07-02,84.0,13,0.3,▲,12.0,0.4,4.0,1117.0
67,2020-07-03,82.5,9,-1.5,▼,11.0,-1.8,-4.0,1126.0
68,2020-07-04,81.9,7,-0.6,▼,10.0,-0.7,-2.0,1133.0
69,2020-07-05,80.5,13,-1.4,▼,9.0,-1.7,6.0,1146.0
70,2020-07-06,81.6,9,1.1,▲,10.0,1.4,-4.0,1155.0
71,2020-07-07,83.4,17,1.8,▲,11.0,2.2,8.0,1172.0
72,2020-07-08,84.4,14,1.0,▲,12.0,1.2,-3.0,1186.0
73,2020-07-09,84.2,5,-0.2,▼,11.0,-0.2,-9.0,1191.0
74,2020-07-10,84.1,3,-0.1,▼,10.0,-0.1,-2.0,1194.0
75,2020-07-11,79.8,19,-4.3,▼,9.0,-5.1,16.0,1213.0
76,2020-07-12,71.5,28,-8.3,▼,8.0,-10.4,9.0,1241.0
77,2020-07-13,62.8,23,-8.7,▼,7.0,-12.2,-5.0,1264.0
78,2020-07-14,53.1,19,-9.7,▼,6.0,-15.4,-4.0,1283.0
79,2020-07-15,46.4,31,-6.7,▼,5.0,-12.6,12.0,1314.0
80,2020-07-16,44.9,20,-1.5,▼,4.0,-3.2,-11.0,1334.0
81,2020-07-17,45.6,24,0.7,▲,5.0,1.6,4.0,1358.0
82,2020-07-18,47.3,24,1.7,▲,6.0,3.7,0.0,1382.0
83,2020-07-19,50.8,19,3.5,▲,7.0,7.4,-5.0,1401.0
84,2020-07-20,53.5,16,2.7,▲,8.0,5.3,-3.0,1417.0
85,2020-07-21,53.5,28,0.0,-,8.0,0.0,12.0,1445.0
86,2020-07-22,55.0,26,1.5,▲,9.0,2.8,-2.0,1471.0
87,2020-07-23,56.0,23,1.0,▲,10.0,1.8,-3.0,1494.0
88,2020-07-24,55.4,13,-0.6,▼,9.0,-1.1,-10.0,1507.0
89,2020-07-25,55.2,25,-0.2,▼,8.0,-0.4,12.0,1532.0
90,2020-07-26,56.7,20,1.5,▲,9.0,2.7,-5.0,1552.0
91,2020-07-27,57.1,12,0.4,▲,10.0,0.7,-8.0,1564.0
92,2020-07-28,57.1,13,0.0,-,10.0,0.0,1.0,1577.0
93,2020-07-29,58.7,17,1.6,▲,11.0,2.8,4.0,1594.0
94,2020-07-30,58.9,15,0.2,▲,12.0,0.3,-2.0,1609.0
95,2020-07-31,59.4,13,0.5,▲,13.0,0.8,-2.0,1622.0
96,2020-08-01,58.5,23,-0.9,▼,12.0,-1.5,10.0,1645.0
97,2020-08-02,56.8,40,-1.7,▼,11.0,-2.9,17.0,1685.0
98,2020-08-03,54.8,32,-2.0,▼,10.0,-3.5,-8.0,1717.0
99,2020-08-04,53.4,19,-1.4,▼,9.0,-2.6,-13.0,1736.0
100,2020-08-05,51.9,35,-1.5,▼,8.0,-2.8,16.0,1771.0
101,2020-08-06,52.4,16,0.5,▲,9.0,1.0,-19.0,1787.0
102,2020-08-07,53.1,15,0.7,▲,10.0,1.3,-1.0,1802.0
103,2020-08-08,55.5,14,2.4,▲,11.0,4.5,-1.0,1816.0
104,2020-08-09,56.9,33,1.4,▲,12.0,2.5,19.0,1849.0
105,2020-08-10,58.3,13,1.4,▲,13.0,2.5,-20.0,1862.0
106,2020-08-11,58.6,41,0.3,▲,14.0,0.5,28.0,1903.0
107,2020-08-12,59.5,18,0.9,▲,15.0,1.5,-23.0,1921.0
108,2020-08-13,60.1,20,0.6,▲,16.0,1.0,2.0,1941.0
109,2020-08-14,53.4,129,-6.7,▼,15.0,-11.1,109.0,2070.0
110,2020-08-15,46.9,124,-6.5,▼,14.0,-12.2,-5.0,2194.0
111,2020-08-16,40.1,287,-6.8,▼,13.0,-14.5,163.0,2481.0
112,2020-08-17,34.7,46,-5.4,▼,12.0,-13.5,-241.0,2527.0
113,2020-08-18,27.4,29,-7.3,▼,11.0,-21.0,-17.0,2556.0
