,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,12.4,87,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,12.5,79,0.1,▲,1.0,0.8,-8.0,79.0
2,2020-04-29,12.4,67,-0.1,▼,0.0,-0.8,-12.0,146.0
3,2020-04-30,12.7,50,0.3,▲,1.0,2.4,-17.0,196.0
4,2020-05-01,12.9,54,0.2,▲,2.0,1.6,4.0,250.0
5,2020-05-02,13.0,56,0.1,▲,3.0,0.8,2.0,306.0
6,2020-05-03,13.3,60,0.3,▲,4.0,2.3,4.0,366.0
7,2020-05-04,13.4,36,0.1,▲,5.0,0.8,-24.0,402.0
8,2020-05-05,12.8,44,-0.6,▼,4.0,-4.5,8.0,446.0
9,2020-05-06,12.1,54,-0.7,▼,3.0,-5.5,10.0,500.0
10,2020-05-07,11.6,69,-0.5,▼,2.0,-4.1,15.0,569.0
11,2020-05-08,11.5,33,-0.1,▼,1.0,-0.9,-36.0,602.0
12,2020-05-09,11.1,49,-0.4,▼,0.0,-3.5,16.0,651.0
13,2020-05-10,11.8,62,0.7,▲,1.0,6.3,13.0,713.0
14,2020-05-11,12.5,40,0.7,▲,2.0,5.9,-22.0,753.0
15,2020-05-12,12.7,53,0.2,▲,3.0,1.6,13.0,806.0
16,2020-05-13,12.1,62,-0.6,▼,2.0,-4.7,9.0,868.0
17,2020-05-14,12.1,48,0.0,-,2.0,0.0,-14.0,916.0
18,2020-05-15,11.7,67,-0.4,▼,1.0,-3.3,19.0,983.0
19,2020-05-16,11.6,75,-0.1,▼,0.0,-0.9,8.0,1058.0
20,2020-05-17,11.9,58,0.3,▲,1.0,2.6,-17.0,1116.0
21,2020-05-18,12.7,45,0.8,▲,2.0,6.7,-13.0,1161.0
22,2020-05-19,13.0,56,0.3,▲,3.0,2.4,11.0,1217.0
23,2020-05-20,13.5,34,0.5,▲,4.0,3.8,-22.0,1251.0
24,2020-05-21,13.5,38,0.0,-,4.0,0.0,4.0,1289.0
25,2020-05-22,13.5,37,0.0,-,4.0,0.0,-1.0,1326.0
26,2020-05-23,13.4,52,-0.1,▼,3.0,-0.7,15.0,1378.0
27,2020-05-24,13.5,67,0.1,▲,4.0,0.7,15.0,1445.0
28,2020-05-25,13.4,42,-0.1,▼,3.0,-0.7,-25.0,1487.0
29,2020-05-26,13.5,54,0.1,▲,4.0,0.7,12.0,1541.0
30,2020-05-27,13.6,50,0.1,▲,5.0,0.7,-4.0,1591.0
31,2020-05-28,13.6,46,0.0,-,5.0,0.0,-4.0,1637.0
32,2020-05-29,13.6,36,0.0,-,5.0,0.0,-10.0,1673.0
33,2020-05-30,13.6,44,0.0,-,5.0,0.0,8.0,1717.0
34,2020-05-31,13.8,57,0.2,▲,6.0,1.5,13.0,1774.0
35,2020-06-01,13.9,43,0.1,▲,7.0,0.7,-14.0,1817.0
36,2020-06-02,13.9,64,0.0,-,7.0,0.0,21.0,1881.0
37,2020-06-03,14.2,48,0.3,▲,8.0,2.2,-16.0,1929.0
38,2020-06-04,14.4,48,0.2,▲,9.0,1.4,0.0,1977.0
39,2020-06-05,14.4,27,0.0,-,9.0,0.0,-21.0,2004.0
40,2020-06-06,14.2,44,-0.2,▼,8.0,-1.4,17.0,2048.0
41,2020-06-07,14.5,38,0.3,▲,9.0,2.1,-6.0,2086.0
42,2020-06-08,14.3,37,-0.2,▼,8.0,-1.4,-1.0,2123.0
43,2020-06-09,14.4,50,0.1,▲,9.0,0.7,13.0,2173.0
44,2020-06-10,14.0,47,-0.4,▼,8.0,-2.8,-3.0,2220.0
