,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,4.0,1,0.0,-,0.0,0.0
1,2020-03-26,4.0,4,0.0,-,0.0,0.0
2,2020-03-27,4.2,2,0.2,▲,1.0,5.0
3,2020-03-29,4.6,1,0.4,▲,2.0,9.5
4,2020-03-30,4.6,2,0.0,-,2.0,0.0
5,2020-03-31,4.6,1,0.0,-,2.0,0.0
6,2020-04-01,4.6,2,0.0,-,2.0,0.0
7,2020-04-03,4.5,3,-0.1,▼,1.0,-2.2
8,2020-04-04,4.3,3,-0.2,▼,0.0,-4.4
9,2020-04-05,4.3,1,0.0,-,0.0,0.0
10,2020-04-07,4.3,1,0.0,-,0.0,0.0
11,2020-04-08,4.2,3,-0.1,▼,-1.0,-2.3
12,2020-04-09,3.9,2,-0.3,▼,-2.0,-7.1
13,2020-04-11,3.7,1,-0.2,▼,-3.0,-5.1
14,2020-04-12,3.4,3,-0.3,▼,-4.0,-8.1
15,2020-04-13,3.4,1,0.0,-,-4.0,0.0
16,2020-04-14,3.3,3,-0.1,▼,-5.0,-2.9
17,2020-04-15,3.6,2,0.3,▲,-4.0,9.1
18,2020-04-16,3.9,2,0.3,▲,-3.0,8.3
19,2020-04-17,3.6,1,-0.3,▼,-4.0,-7.7
20,2020-04-18,3.6,5,0.0,-,-4.0,0.0
21,2020-04-19,4.0,1,0.4,▲,-3.0,11.1
22,2020-04-20,4.1,2,0.1,▲,-2.0,2.5
23,2020-04-21,3.8,1,-0.3,▼,-3.0,-7.3
24,2020-04-22,4.2,3,0.4,▲,-2.0,10.5
25,2020-04-23,3.8,1,-0.4,▼,-3.0,-9.5
26,2020-04-24,3.4,1,-0.4,▼,-4.0,-10.5
27,2020-04-25,3.2,1,-0.2,▼,-5.0,-5.9
28,2020-04-26,3.4,1,0.2,▲,-4.0,6.2
29,2020-04-27,3.5,2,0.1,▲,-3.0,2.9
30,2020-04-28,3.7,3,0.2,▲,-2.0,5.7
31,2020-04-29,3.6,2,-0.1,▼,-3.0,-2.7
32,2020-04-30,3.6,2,0.0,-,-3.0,0.0
33,2020-05-01,3.4,1,-0.2,▼,-4.0,-5.6
34,2020-05-02,2.9,1,-0.5,▼,-5.0,-14.7
35,2020-05-03,3.3,3,0.4,▲,-4.0,13.8
36,2020-05-04,3.4,2,0.1,▲,-3.0,3.0
37,2020-05-07,3.3,4,-0.1,▼,-4.0,-2.9
38,2020-05-08,3.4,2,0.1,▲,-3.0,3.0
39,2020-05-09,4.0,1,0.6,▲,-2.0,17.6
40,2020-05-10,3.8,4,-0.2,▼,-3.0,-5.0
41,2020-05-13,3.8,3,0.0,-,-3.0,0.0
42,2020-05-14,3.8,2,0.0,-,-3.0,0.0
43,2020-05-15,3.7,1,-0.1,▼,-4.0,-2.6
44,2020-05-17,3.5,2,-0.2,▼,-5.0,-5.4
45,2020-05-18,3.5,2,0.0,-,-5.0,0.0
46,2020-05-19,3.7,2,0.2,▲,-4.0,5.7
