,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,7.9,35,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,7.8,36,-0.1,▼,-1.0,-1.3,1.0,36.0
2,2020-04-29,7.8,46,0.0,-,-1.0,0.0,10.0,82.0
3,2020-04-30,7.8,37,0.0,-,-1.0,0.0,-9.0,119.0
4,2020-05-01,7.5,41,-0.3,▼,-2.0,-3.8,4.0,160.0
5,2020-05-02,7.3,42,-0.2,▼,-3.0,-2.7,1.0,202.0
6,2020-05-03,7.1,50,-0.2,▼,-4.0,-2.7,8.0,252.0
7,2020-05-04,6.9,33,-0.2,▼,-5.0,-2.8,-17.0,285.0
8,2020-05-05,6.9,46,0.0,-,-5.0,0.0,13.0,331.0
9,2020-05-06,6.9,47,0.0,-,-5.0,0.0,1.0,378.0
10,2020-05-07,6.9,48,0.0,-,-5.0,0.0,1.0,426.0
11,2020-05-08,6.7,49,-0.2,▼,-6.0,-2.9,1.0,475.0
12,2020-05-09,6.6,43,-0.1,▼,-7.0,-1.5,-6.0,518.0
13,2020-05-10,6.6,42,0.0,-,-7.0,0.0,-1.0,560.0
14,2020-05-11,6.7,47,0.1,▲,-6.0,1.5,5.0,607.0
15,2020-05-12,6.7,42,0.0,-,-6.0,0.0,-5.0,649.0
16,2020-05-13,6.7,35,0.0,-,-6.0,0.0,-7.0,684.0
17,2020-05-14,6.8,46,0.1,▲,-5.0,1.5,11.0,730.0
18,2020-05-15,6.8,53,0.0,-,-5.0,0.0,7.0,783.0
19,2020-05-16,6.8,32,0.0,-,-5.0,0.0,-21.0,815.0
20,2020-05-17,6.8,58,0.0,-,-5.0,0.0,26.0,873.0
21,2020-05-18,7.2,32,0.4,▲,-4.0,5.9,-26.0,905.0
22,2020-05-19,7.2,33,0.0,-,-4.0,0.0,1.0,938.0
23,2020-05-20,7.2,33,0.0,-,-4.0,0.0,0.0,971.0
24,2020-05-21,7.2,40,0.0,-,-4.0,0.0,7.0,1011.0
25,2020-05-22,7.2,20,0.0,-,-4.0,0.0,-20.0,1031.0
26,2020-05-23,7.0,47,-0.2,▼,-5.0,-2.8,27.0,1078.0
27,2020-05-24,7.2,49,0.2,▲,-4.0,2.9,2.0,1127.0
28,2020-05-25,7.4,36,0.2,▲,-3.0,2.8,-13.0,1163.0
29,2020-05-26,7.4,22,0.0,-,-3.0,0.0,-14.0,1185.0
30,2020-05-27,7.6,38,0.2,▲,-2.0,2.7,16.0,1223.0
31,2020-05-28,7.8,30,0.2,▲,-1.0,2.6,-8.0,1253.0
32,2020-05-29,7.8,39,0.0,-,-1.0,0.0,9.0,1292.0
33,2020-05-30,7.6,34,-0.2,▼,-2.0,-2.6,-5.0,1326.0
34,2020-05-31,7.6,39,0.0,-,-2.0,0.0,5.0,1365.0
35,2020-06-01,7.6,35,0.0,-,-2.0,0.0,-4.0,1400.0
36,2020-06-02,7.7,36,0.1,▲,-1.0,1.3,1.0,1436.0
37,2020-06-03,7.5,40,-0.2,▼,-2.0,-2.6,4.0,1476.0
38,2020-06-04,7.5,47,0.0,-,-2.0,0.0,7.0,1523.0
39,2020-06-05,7.5,34,0.0,-,-2.0,0.0,-13.0,1557.0
40,2020-06-06,7.5,18,0.0,-,-2.0,0.0,-16.0,1575.0
41,2020-06-07,7.2,37,-0.3,▼,-3.0,-4.0,19.0,1612.0
42,2020-06-08,7.3,31,0.1,▲,-2.0,1.4,-6.0,1643.0
43,2020-06-09,7.3,28,0.0,-,-2.0,0.0,-3.0,1671.0
44,2020-06-10,7.2,33,-0.1,▼,-3.0,-1.4,5.0,1704.0
45,2020-06-11,6.9,21,-0.3,▼,-4.0,-4.2,-12.0,1725.0
46,2020-06-12,6.8,27,-0.1,▼,-5.0,-1.4,6.0,1752.0
47,2020-06-13,6.8,27,0.0,-,-5.0,0.0,0.0,1779.0
48,2020-06-14,6.8,36,0.0,-,-5.0,0.0,9.0,1815.0
49,2020-06-15,7.0,29,0.2,▲,-4.0,2.9,-7.0,1844.0
50,2020-06-16,7.0,35,0.0,-,-4.0,0.0,6.0,1879.0
51,2020-06-17,7.0,37,0.0,-,-4.0,0.0,2.0,1916.0
52,2020-06-18,6.9,32,-0.1,▼,-5.0,-1.4,-5.0,1948.0
53,2020-06-19,6.8,41,-0.1,▼,-6.0,-1.4,9.0,1989.0
54,2020-06-20,6.3,26,-0.5,▼,-7.0,-7.4,-15.0,2015.0
55,2020-06-21,6.2,39,-0.1,▼,-8.0,-1.6,13.0,2054.0
56,2020-06-22,5.8,38,-0.4,▼,-9.0,-6.5,-1.0,2092.0
57,2020-06-23,5.6,38,-0.2,▼,-10.0,-3.4,0.0,2130.0
58,2020-06-24,6.0,31,0.4,▲,-9.0,7.1,-7.0,2161.0
59,2020-06-25,6.3,21,0.3,▲,-8.0,5.0,-10.0,2182.0
60,2020-06-26,6.3,32,0.0,-,-8.0,0.0,11.0,2214.0
61,2020-06-27,6.5,29,0.2,▲,-7.0,3.2,-3.0,2243.0
62,2020-06-28,6.3,30,-0.2,▼,-8.0,-3.1,1.0,2273.0
63,2020-06-29,5.9,34,-0.4,▼,-9.0,-6.3,4.0,2307.0
64,2020-06-30,5.6,22,-0.3,▼,-10.0,-5.1,-12.0,2329.0
65,2020-07-01,5.6,30,0.0,-,-10.0,0.0,8.0,2359.0
66,2020-07-02,5.9,31,0.3,▲,-9.0,5.4,1.0,2390.0
67,2020-07-03,6.1,29,0.2,▲,-8.0,3.4,-2.0,2419.0
68,2020-07-04,6.1,21,0.0,-,-8.0,0.0,-8.0,2440.0
69,2020-07-05,6.4,28,0.3,▲,-7.0,4.9,7.0,2468.0
70,2020-07-06,6.4,27,0.0,-,-7.0,0.0,-1.0,2495.0
71,2020-07-07,6.2,29,-0.2,▼,-8.0,-3.1,2.0,2524.0
72,2020-07-08,6.4,27,0.2,▲,-7.0,3.2,-2.0,2551.0
73,2020-07-09,6.2,36,-0.2,▼,-8.0,-3.1,9.0,2587.0
74,2020-07-10,6.3,20,0.1,▲,-7.0,1.6,-16.0,2607.0
75,2020-07-11,6.5,39,0.2,▲,-6.0,3.2,19.0,2646.0
76,2020-07-12,6.9,29,0.4,▲,-5.0,6.2,-10.0,2675.0
77,2020-07-13,6.9,39,0.0,-,-5.0,0.0,10.0,2714.0
78,2020-07-14,7.1,30,0.2,▲,-4.0,2.9,-9.0,2744.0
79,2020-07-15,7.3,23,0.2,▲,-3.0,2.8,-7.0,2767.0
80,2020-07-16,7.4,14,0.1,▲,-2.0,1.4,-9.0,2781.0
81,2020-07-17,7.3,41,-0.1,▼,-3.0,-1.4,27.0,2822.0
82,2020-07-18,7.4,38,0.1,▲,-2.0,1.4,-3.0,2860.0
83,2020-07-19,7.5,32,0.1,▲,-1.0,1.4,-6.0,2892.0
84,2020-07-20,7.6,16,0.1,▲,0.0,1.3,-16.0,2908.0
85,2020-07-21,7.6,28,0.0,-,0.0,0.0,12.0,2936.0
86,2020-07-22,7.7,31,0.1,▲,1.0,1.3,3.0,2967.0
87,2020-07-23,7.7,30,0.0,-,1.0,0.0,-1.0,2997.0
88,2020-07-24,7.7,33,0.0,-,1.0,0.0,3.0,3030.0
89,2020-07-25,7.4,32,-0.3,▼,0.0,-3.9,-1.0,3062.0
90,2020-07-26,7.4,19,0.0,-,0.0,0.0,-13.0,3081.0
91,2020-07-27,7.1,15,-0.3,▼,-1.0,-4.1,-4.0,3096.0
92,2020-07-28,7.0,32,-0.1,▼,-2.0,-1.4,17.0,3128.0
93,2020-07-29,7.0,33,0.0,-,-2.0,0.0,1.0,3161.0
94,2020-07-30,7.0,28,0.0,-,-2.0,0.0,-5.0,3189.0
95,2020-07-31,7.1,33,0.1,▲,-1.0,1.4,5.0,3222.0
96,2020-08-01,7.4,28,0.3,▲,0.0,4.2,-5.0,3250.0
97,2020-08-02,7.5,50,0.1,▲,1.0,1.4,22.0,3300.0
98,2020-08-03,7.5,50,0.0,-,1.0,0.0,0.0,3350.0
99,2020-08-04,7.6,47,0.1,▲,2.0,1.3,-3.0,3397.0
100,2020-08-05,7.4,42,-0.2,▼,1.0,-2.6,-5.0,3439.0
101,2020-08-06,7.2,44,-0.2,▼,0.0,-2.7,2.0,3483.0
102,2020-08-07,6.9,41,-0.3,▼,-1.0,-4.2,-3.0,3524.0
103,2020-08-08,6.9,49,0.0,-,-1.0,0.0,8.0,3573.0
104,2020-08-09,6.7,47,-0.2,▼,-2.0,-2.9,-2.0,3620.0
105,2020-08-10,6.7,55,0.0,-,-2.0,0.0,8.0,3675.0
106,2020-08-11,6.8,42,0.1,▲,-1.0,1.5,-13.0,3717.0
107,2020-08-12,7.0,34,0.2,▲,0.0,2.9,-8.0,3751.0
108,2020-08-13,7.6,34,0.6,▲,1.0,8.6,0.0,3785.0
109,2020-08-14,7.6,45,0.0,-,1.0,0.0,11.0,3830.0
110,2020-08-15,7.3,43,-0.3,▼,0.0,-3.9,-2.0,3873.0
111,2020-08-16,7.2,51,-0.1,▼,-1.0,-1.4,8.0,3924.0
112,2020-08-17,7.1,35,-0.1,▼,-2.0,-1.4,-16.0,3959.0
113,2020-08-18,6.3,30,-0.8,▼,-3.0,-11.3,-5.0,3989.0
114,2020-08-19,6.2,37,-0.1,▼,-4.0,-1.6,7.0,4026.0
115,2020-08-20,6.1,42,-0.1,▼,-5.0,-1.6,5.0,4068.0
116,2020-08-21,6.0,29,-0.1,▼,-6.0,-1.6,-13.0,4097.0
117,2020-08-22,5.8,50,-0.2,▼,-7.0,-3.3,21.0,4147.0
118,2020-08-23,5.9,45,0.1,▲,-6.0,1.7,-5.0,4192.0
119,2020-08-24,5.8,44,-0.1,▼,-7.0,-1.7,-1.0,4236.0
120,2020-08-25,6.8,46,1.0,▲,-6.0,17.2,2.0,4282.0
121,2020-08-26,6.7,36,-0.1,▼,-7.0,-1.5,-10.0,4318.0
122,2020-08-27,6.9,39,0.2,▲,-6.0,3.0,3.0,4357.0
123,2020-08-28,6.8,37,-0.1,▼,-7.0,-1.4,-2.0,4394.0
124,2020-08-29,6.9,64,0.1,▲,-6.0,1.5,27.0,4458.0
125,2020-08-30,6.1,48,-0.8,▼,-7.0,-11.6,-16.0,4506.0
126,2020-08-31,6.0,23,-0.1,▼,-8.0,-1.6,-25.0,4529.0
127,2020-09-01,6.0,53,0.0,-,-8.0,0.0,30.0,4582.0
128,2020-09-02,6.0,66,0.0,-,-8.0,0.0,13.0,4648.0
129,2020-09-03,5.9,56,-0.1,▼,-9.0,-1.7,-10.0,4704.0
130,2020-09-04,6.1,44,0.2,▲,-8.0,3.4,-12.0,4748.0
