,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,9.5,10,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,9.6,8,0.1,▲,1.0,1.1,-2.0,8.0
2,2020-04-29,9.7,9,0.1,▲,2.0,1.0,1.0,17.0
3,2020-04-30,9.9,4,0.2,▲,3.0,2.1,-5.0,21.0
4,2020-05-01,9.5,11,-0.4,▼,2.0,-4.0,7.0,32.0
5,2020-05-02,9.5,6,0.0,-,2.0,0.0,-5.0,38.0
6,2020-05-03,9.6,10,0.1,▲,3.0,1.1,4.0,48.0
7,2020-05-04,9.5,13,-0.1,▼,2.0,-1.0,3.0,61.0
8,2020-05-05,9.3,4,-0.2,▼,1.0,-2.1,-9.0,65.0
9,2020-05-06,9.2,4,-0.1,▼,0.0,-1.1,0.0,69.0
10,2020-05-07,9.2,14,0.0,-,0.0,0.0,10.0,83.0
11,2020-05-08,9.2,5,0.0,-,0.0,0.0,-9.0,88.0
12,2020-05-09,9.2,5,0.0,-,0.0,0.0,0.0,93.0
13,2020-05-10,9.1,15,-0.1,▼,-1.0,-1.1,10.0,108.0
14,2020-05-11,9.0,12,-0.1,▼,-2.0,-1.1,-3.0,120.0
15,2020-05-12,8.8,12,-0.2,▼,-3.0,-2.2,0.0,132.0
16,2020-05-13,8.6,8,-0.2,▼,-4.0,-2.3,-4.0,140.0
17,2020-05-14,8.5,7,-0.1,▼,-5.0,-1.2,-1.0,147.0
18,2020-05-15,8.4,13,-0.1,▼,-6.0,-1.2,6.0,160.0
19,2020-05-16,8.6,10,0.2,▲,-5.0,2.4,-3.0,170.0
20,2020-05-17,9.2,5,0.6,▲,-4.0,7.0,-5.0,175.0
21,2020-05-18,9.3,7,0.1,▲,-3.0,1.1,2.0,182.0
22,2020-05-19,9.9,7,0.6,▲,-2.0,6.5,0.0,189.0
23,2020-05-20,10.1,9,0.2,▲,-1.0,2.0,2.0,198.0
24,2020-05-21,9.8,7,-0.3,▼,-2.0,-3.0,-2.0,205.0
25,2020-05-22,9.5,7,-0.3,▼,-3.0,-3.1,0.0,212.0
26,2020-05-23,10.2,12,0.7,▲,-2.0,7.4,5.0,224.0
27,2020-05-24,9.6,8,-0.6,▼,-3.0,-5.9,-4.0,232.0
28,2020-05-25,9.6,4,0.0,-,-3.0,0.0,-4.0,236.0
29,2020-05-26,9.8,11,0.2,▲,-2.0,2.1,7.0,247.0
30,2020-05-27,9.9,5,0.1,▲,-1.0,1.0,-6.0,252.0
31,2020-05-28,9.2,11,-0.7,▼,-2.0,-7.1,6.0,263.0
32,2020-05-29,9.4,5,0.2,▲,-1.0,2.2,-6.0,268.0
33,2020-05-30,9.2,10,-0.2,▼,-2.0,-2.1,5.0,278.0
34,2020-05-31,9.0,5,-0.2,▼,-3.0,-2.2,-5.0,283.0
35,2020-06-01,8.8,10,-0.2,▼,-4.0,-2.2,5.0,293.0
36,2020-06-02,8.7,6,-0.1,▼,-5.0,-1.1,-4.0,299.0
37,2020-06-03,8.5,9,-0.2,▼,-6.0,-2.3,3.0,308.0
38,2020-06-04,8.3,5,-0.2,▼,-7.0,-2.4,-4.0,313.0
