,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,7.3,5,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-19,7.1,4,-0.2,▼,-1.0,-2.7,-1.0,4.0
2,2020-08-20,6.9,7,-0.2,▼,-2.0,-2.8,3.0,11.0
3,2020-08-21,7.0,3,0.1,▲,-1.0,1.4,-4.0,14.0
4,2020-08-22,7.0,2,0.0,-,-1.0,0.0,-1.0,16.0
5,2020-08-23,6.7,8,-0.3,▼,-2.0,-4.3,6.0,24.0
6,2020-08-24,6.8,9,0.1,▲,-1.0,1.5,1.0,33.0
7,2020-08-25,6.4,6,-0.4,▼,-2.0,-5.9,-3.0,39.0
8,2020-08-26,6.3,5,-0.1,▼,-3.0,-1.6,-1.0,44.0
9,2020-08-27,6.3,17,0.0,-,-3.0,0.0,12.0,61.0
10,2020-08-28,6.4,14,0.1,▲,-2.0,1.6,-3.0,75.0
11,2020-08-29,6.5,10,0.1,▲,-1.0,1.6,-4.0,85.0
12,2020-08-30,6.7,9,0.2,▲,0.0,3.1,-1.0,94.0
13,2020-08-31,6.7,34,0.0,-,0.0,0.0,25.0,128.0
14,2020-09-01,6.6,12,-0.1,▼,-1.0,-1.5,-22.0,140.0
15,2020-09-02,6.6,5,0.0,-,-1.0,0.0,-7.0,145.0
16,2020-09-03,6.5,14,-0.1,▼,-2.0,-1.5,9.0,159.0
17,2020-09-04,6.5,10,0.0,-,-2.0,0.0,-4.0,169.0
18,2020-09-05,6.4,11,-0.1,▼,-3.0,-1.5,1.0,180.0
19,2020-09-06,6.4,10,0.0,-,-3.0,0.0,-1.0,190.0
20,2020-09-07,6.4,13,0.0,-,-3.0,0.0,3.0,203.0
21,2020-09-08,6.5,12,0.1,▲,-2.0,1.6,-1.0,215.0
22,2020-09-09,6.4,12,-0.1,▼,-3.0,-1.5,0.0,227.0
23,2020-09-10,6.4,9,0.0,-,-3.0,0.0,-3.0,236.0
24,2020-09-11,6.3,11,-0.1,▼,-4.0,-1.6,2.0,247.0
25,2020-09-12,6.4,12,0.1,▲,-3.0,1.6,1.0,259.0
26,2020-09-13,6.2,11,-0.2,▼,-4.0,-3.1,-1.0,270.0
27,2020-09-14,6.2,5,0.0,-,-4.0,0.0,-6.0,275.0
28,2020-09-15,6.2,5,0.0,-,-4.0,0.0,0.0,280.0
29,2020-09-16,6.3,7,0.1,▲,-3.0,1.6,2.0,287.0
30,2020-09-17,6.0,5,-0.3,▼,-4.0,-4.8,-2.0,292.0
31,2020-09-18,6.1,9,0.1,▲,-3.0,1.7,4.0,301.0
32,2020-09-19,6.3,22,0.2,▲,-2.0,3.3,13.0,323.0
33,2020-09-20,6.2,11,-0.1,▼,-3.0,-1.6,-11.0,334.0
34,2020-09-21,6.0,14,-0.2,▼,-4.0,-3.2,3.0,348.0
35,2020-09-22,6.0,10,0.0,-,-4.0,0.0,-4.0,358.0
36,2020-09-23,5.9,11,-0.1,▼,-5.0,-1.7,1.0,369.0
37,2020-09-24,5.6,7,-0.3,▼,-6.0,-5.1,-4.0,376.0
38,2020-09-25,5.7,19,0.1,▲,-5.0,1.8,12.0,395.0
39,2020-09-26,5.8,5,0.1,▲,-4.0,1.8,-14.0,400.0
40,2020-09-27,5.9,10,0.1,▲,-3.0,1.7,5.0,410.0
41,2020-09-28,6.0,14,0.1,▲,-2.0,1.7,4.0,424.0
42,2020-09-29,6.4,7,0.4,▲,-1.0,6.7,-7.0,431.0
43,2020-09-30,6.4,2,0.0,-,-1.0,0.0,-5.0,433.0
44,2020-10-01,6.6,8,0.2,▲,0.0,3.1,6.0,441.0
45,2020-10-02,6.4,3,-0.2,▼,-1.0,-3.0,-5.0,444.0
46,2020-10-03,6.2,8,-0.2,▼,-2.0,-3.1,5.0,452.0
47,2020-10-04,5.9,7,-0.3,▼,-3.0,-4.8,-1.0,459.0
48,2020-10-05,5.9,7,0.0,-,-3.0,0.0,0.0,466.0
49,2020-10-06,5.5,1,-0.4,▼,-4.0,-6.8,-6.0,467.0
50,2020-10-07,5.6,4,0.1,▲,-3.0,1.8,3.0,471.0
51,2020-10-08,5.5,1,-0.1,▼,-4.0,-1.8,-3.0,472.0
52,2020-10-09,5.4,5,-0.1,▼,-5.0,-1.8,4.0,477.0
53,2020-10-10,5.2,10,-0.2,▼,-6.0,-3.7,5.0,487.0
54,2020-10-11,5.3,9,0.1,▲,-5.0,1.9,-1.0,496.0
55,2020-10-12,5.4,2,0.1,▲,-4.0,1.9,-7.0,498.0
56,2020-10-13,5.3,2,-0.1,▼,-5.0,-1.9,0.0,500.0
57,2020-10-14,5.5,4,0.2,▲,-4.0,3.8,2.0,504.0
58,2020-10-15,5.3,4,-0.2,▼,-5.0,-3.6,0.0,508.0
59,2020-10-16,5.1,3,-0.2,▼,-6.0,-3.8,-1.0,511.0
60,2020-10-17,5.2,8,0.1,▲,-5.0,2.0,5.0,519.0
61,2020-10-18,5.4,9,0.2,▲,-4.0,3.8,1.0,528.0
62,2020-10-19,5.1,9,-0.3,▼,-5.0,-5.6,0.0,537.0
63,2020-10-20,5.4,7,0.3,▲,-4.0,5.9,-2.0,544.0
64,2020-10-21,5.7,3,0.3,▲,-3.0,5.6,-4.0,547.0
65,2020-10-22,5.6,4,-0.1,▼,-4.0,-1.8,1.0,551.0
66,2020-10-23,5.8,6,0.2,▲,-3.0,3.6,2.0,557.0
67,2020-10-24,6.1,6,0.3,▲,-2.0,5.2,0.0,563.0
68,2020-10-25,6.1,7,0.0,-,-2.0,0.0,1.0,570.0
69,2020-10-26,5.9,3,-0.2,▼,-3.0,-3.3,-4.0,573.0
70,2020-10-27,6.2,4,0.3,▲,-2.0,5.1,1.0,577.0
71,2020-10-28,6.2,5,0.0,-,-2.0,0.0,1.0,582.0
72,2020-10-29,6.1,2,-0.1,▼,-3.0,-1.6,-3.0,584.0
73,2020-10-30,6.1,3,0.0,-,-3.0,0.0,1.0,587.0
74,2020-10-31,6.2,4,0.1,▲,-2.0,1.6,1.0,591.0
75,2020-11-01,5.8,3,-0.4,▼,-3.0,-6.5,-1.0,594.0
76,2020-11-02,5.9,2,0.1,▲,-2.0,1.7,-1.0,596.0
77,2020-11-03,5.6,4,-0.3,▼,-3.0,-5.1,2.0,600.0
78,2020-11-04,5.7,8,0.1,▲,-2.0,1.8,4.0,608.0
79,2020-11-05,5.8,3,0.1,▲,-1.0,1.8,-5.0,611.0
80,2020-11-06,5.8,5,0.0,-,-1.0,0.0,2.0,616.0
81,2020-11-07,5.6,2,-0.2,▼,-2.0,-3.4,-3.0,618.0
82,2020-11-08,6.2,5,0.6,▲,-1.0,10.7,3.0,623.0
83,2020-11-09,6.5,8,0.3,▲,0.0,4.8,3.0,631.0
84,2020-11-10,6.6,4,0.1,▲,1.0,1.5,-4.0,635.0
85,2020-11-11,6.9,2,0.3,▲,2.0,4.5,-2.0,637.0
86,2020-11-12,6.9,5,0.0,-,2.0,0.0,3.0,642.0
87,2020-11-13,6.6,1,-0.3,▼,1.0,-4.3,-4.0,643.0
88,2020-11-14,6.5,1,-0.1,▼,0.0,-1.5,0.0,644.0
89,2020-11-15,6.3,3,-0.2,▼,-1.0,-3.1,2.0,647.0
90,2020-11-16,6.0,2,-0.3,▼,-2.0,-4.8,-1.0,649.0
91,2020-11-17,5.9,6,-0.1,▼,-3.0,-1.7,4.0,655.0
92,2020-11-18,5.7,5,-0.2,▼,-4.0,-3.4,-1.0,660.0
93,2020-11-19,5.2,8,-0.5,▼,-5.0,-8.8,3.0,668.0
94,2020-11-20,5.3,3,0.1,▲,-4.0,1.9,-5.0,671.0
95,2020-11-21,5.2,1,-0.1,▼,-5.0,-1.9,-2.0,672.0
96,2020-11-22,5.2,6,0.0,-,-5.0,0.0,5.0,678.0
97,2020-11-23,5.2,1,0.0,-,-5.0,0.0,-5.0,679.0
98,2020-11-24,5.5,10,0.3,▲,-4.0,5.8,9.0,689.0
99,2020-11-25,5.5,1,0.0,-,-4.0,0.0,-9.0,690.0
100,2020-11-26,6.5,1,1.0,▲,-3.0,18.2,0.0,691.0
101,2020-11-27,6.6,2,0.1,▲,-2.0,1.5,1.0,693.0
102,2020-11-28,6.7,4,0.1,▲,-1.0,1.5,2.0,697.0
103,2020-11-29,6.6,4,-0.1,▼,-2.0,-1.5,0.0,701.0
104,2020-11-30,6.5,5,-0.1,▼,-3.0,-1.5,1.0,706.0
105,2020-12-01,6.1,5,-0.4,▼,-4.0,-6.2,0.0,711.0
106,2020-12-02,5.9,3,-0.2,▼,-5.0,-3.3,-2.0,714.0
107,2020-12-03,5.7,3,-0.2,▼,-6.0,-3.4,0.0,717.0
108,2020-12-04,5.9,12,0.2,▲,-5.0,3.5,9.0,729.0
109,2020-12-05,6.3,4,0.4,▲,-4.0,6.8,-8.0,733.0
110,2020-12-06,6.0,5,-0.3,▼,-5.0,-4.8,1.0,738.0
111,2020-12-07,6.2,3,0.2,▲,-4.0,3.3,-2.0,741.0
112,2020-12-08,6.6,3,0.4,▲,-3.0,6.5,0.0,744.0
113,2020-12-09,6.8,3,0.2,▲,-2.0,3.0,0.0,747.0
114,2020-12-11,6.4,4,-0.4,▼,-3.0,-5.9,1.0,751.0
115,2020-12-12,6.1,2,-0.3,▼,-4.0,-4.7,-2.0,753.0
116,2020-12-13,5.9,2,-0.2,▼,-5.0,-3.3,0.0,755.0
117,2020-12-14,6.6,1,0.7,▲,-4.0,11.9,-1.0,756.0
118,2020-12-15,6.5,4,-0.1,▼,-5.0,-1.5,3.0,760.0
119,2020-12-16,6.5,2,0.0,-,-5.0,0.0,-2.0,762.0
120,2020-12-17,6.8,7,0.3,▲,-4.0,4.6,5.0,769.0
121,2020-12-18,6.8,1,0.0,-,-4.0,0.0,-6.0,770.0
122,2020-12-19,5.8,1,-1.0,▼,-5.0,-14.7,0.0,771.0
123,2020-12-20,5.6,3,-0.2,▼,-6.0,-3.4,2.0,774.0
124,2020-12-21,5.8,4,0.2,▲,-5.0,3.6,1.0,778.0
125,2020-12-22,5.8,6,0.0,-,-5.0,0.0,2.0,784.0
126,2020-12-23,6.2,9,0.4,▲,-4.0,6.9,3.0,793.0
127,2020-12-24,7.1,3,0.9,▲,-3.0,14.5,-6.0,796.0
128,2020-12-25,7.2,4,0.1,▲,-2.0,1.4,1.0,800.0
129,2020-12-26,7.2,5,0.0,-,-2.0,0.0,1.0,805.0
130,2020-12-27,7.0,5,-0.2,▼,-3.0,-2.8,0.0,810.0
131,2020-12-28,7.0,5,0.0,-,-3.0,0.0,0.0,815.0
132,2020-12-29,6.5,7,-0.5,▼,-4.0,-7.1,2.0,822.0
133,2020-12-31,6.8,1,0.3,▲,-3.0,4.6,-6.0,823.0
134,2021-01-01,7.0,8,0.2,▲,-2.0,2.9,7.0,831.0
135,2021-01-02,7.1,14,0.1,▲,-1.0,1.4,6.0,845.0
136,2021-01-03,7.2,13,0.1,▲,0.0,1.4,-1.0,858.0
137,2021-01-04,7.5,4,0.3,▲,1.0,4.2,-9.0,862.0
138,2021-01-05,7.4,7,-0.1,▼,0.0,-1.3,3.0,869.0
139,2021-01-06,7.4,8,0.0,-,0.0,0.0,1.0,877.0
140,2021-01-07,7.7,5,0.3,▲,1.0,4.1,-3.0,882.0
141,2021-01-08,7.6,6,-0.1,▼,0.0,-1.3,1.0,888.0
142,2021-01-09,7.6,3,0.0,-,0.0,0.0,-3.0,891.0
143,2021-01-10,7.4,3,-0.2,▼,-1.0,-2.6,0.0,894.0
144,2021-01-11,7.7,5,0.3,▲,0.0,4.1,2.0,899.0
145,2021-01-12,7.5,4,-0.2,▼,-1.0,-2.6,-1.0,903.0
146,2021-01-13,7.5,1,0.0,-,-1.0,0.0,-3.0,904.0
147,2021-01-14,7.1,5,-0.4,▼,-2.0,-5.3,4.0,909.0
148,2021-01-15,7.1,8,0.0,-,-2.0,0.0,3.0,917.0
149,2021-01-16,7.0,5,-0.1,▼,-3.0,-1.4,-3.0,922.0
150,2021-01-17,7.1,5,0.1,▲,-2.0,1.4,0.0,927.0
151,2021-01-18,7.3,5,0.2,▲,-1.0,2.8,0.0,932.0
152,2021-01-19,7.3,6,0.0,-,-1.0,0.0,1.0,938.0
153,2021-01-20,7.6,6,0.3,▲,0.0,4.1,0.0,944.0
154,2021-01-21,7.5,1,-0.1,▼,-1.0,-1.3,-5.0,945.0
155,2021-01-22,7.6,7,0.1,▲,0.0,1.3,6.0,952.0
156,2021-01-23,7.8,1,0.2,▲,1.0,2.6,-6.0,953.0
157,2021-01-24,8.2,3,0.4,▲,2.0,5.1,2.0,956.0
158,2021-01-25,8.1,4,-0.1,▼,1.0,-1.2,1.0,960.0
159,2021-01-26,7.8,7,-0.3,▼,0.0,-3.7,3.0,967.0
160,2021-01-27,7.8,3,0.0,-,0.0,0.0,-4.0,970.0
161,2021-01-28,7.6,1,-0.2,▼,-1.0,-2.6,-2.0,971.0
162,2021-01-30,7.3,4,-0.3,▼,-2.0,-3.9,3.0,975.0
163,2021-01-31,7.3,7,0.0,-,-2.0,0.0,3.0,982.0
164,2021-02-01,7.4,5,0.1,▲,-1.0,1.4,-2.0,987.0
165,2021-02-02,7.9,6,0.5,▲,0.0,6.8,1.0,993.0
166,2021-02-03,7.7,2,-0.2,▼,-1.0,-2.5,-4.0,995.0
167,2021-02-04,8.0,2,0.3,▲,0.0,3.9,0.0,997.0
168,2021-02-05,8.2,5,0.2,▲,1.0,2.5,3.0,1002.0
169,2021-02-06,8.2,6,0.0,-,1.0,0.0,1.0,1008.0
170,2021-02-07,7.5,4,-0.7,▼,0.0,-8.5,-2.0,1012.0
