,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,3.4,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-27,3.8,1,0.4,▲,1.0,11.8,-3.0,1.0
2,2020-03-28,3.8,8,0.0,-,1.0,0.0,7.0,9.0
3,2020-03-29,4.3,1,0.5,▲,2.0,13.2,-7.0,10.0
4,2020-03-30,4.6,1,0.3,▲,3.0,7.0,0.0,11.0
5,2020-03-31,4.7,2,0.1,▲,4.0,2.2,1.0,13.0
6,2020-04-01,4.5,1,-0.2,▼,3.0,-4.3,-1.0,14.0
7,2020-04-02,4.3,2,-0.2,▼,2.0,-4.4,1.0,16.0
8,2020-04-03,4.2,3,-0.1,▼,1.0,-2.3,1.0,19.0
9,2020-04-04,4.1,3,-0.1,▼,0.0,-2.4,0.0,22.0
10,2020-04-05,3.9,1,-0.2,▼,-1.0,-4.9,-2.0,23.0
11,2020-04-06,3.9,1,0.0,-,-1.0,0.0,0.0,24.0
12,2020-04-07,4.0,4,0.1,▲,0.0,2.6,3.0,28.0
13,2020-04-08,4.0,2,0.0,-,0.0,0.0,-2.0,30.0
14,2020-04-09,4.1,3,0.1,▲,1.0,2.5,1.0,33.0
15,2020-04-10,4.3,2,0.2,▲,2.0,4.9,-1.0,35.0
16,2020-04-11,4.5,2,0.2,▲,3.0,4.7,0.0,37.0
17,2020-04-12,4.5,3,0.0,-,3.0,0.0,1.0,40.0
18,2020-04-15,4.4,2,-0.1,▼,2.0,-2.2,-1.0,42.0
19,2020-04-16,4.1,3,-0.3,▼,1.0,-6.8,1.0,45.0
20,2020-04-17,4.0,6,-0.1,▼,0.0,-2.4,3.0,51.0
21,2020-04-18,3.8,5,-0.2,▼,-1.0,-5.0,-1.0,56.0
22,2020-04-19,3.9,3,0.1,▲,0.0,2.6,-2.0,59.0
23,2020-04-20,3.5,1,-0.4,▼,-1.0,-10.3,-2.0,60.0
24,2020-04-21,3.8,3,0.3,▲,0.0,8.6,2.0,63.0
25,2020-04-22,4.0,6,0.2,▲,1.0,5.3,3.0,69.0
26,2020-04-23,4.0,3,0.0,-,1.0,0.0,-3.0,72.0
27,2020-04-24,3.8,4,-0.2,▼,0.0,-5.0,1.0,76.0
28,2020-04-25,4.2,1,0.4,▲,1.0,10.5,-3.0,77.0
29,2020-04-26,4.0,2,-0.2,▼,0.0,-4.8,1.0,79.0
30,2020-04-27,3.8,4,-0.2,▼,-1.0,-5.0,2.0,83.0
31,2020-04-28,3.7,6,-0.1,▼,-2.0,-2.6,2.0,89.0
32,2020-04-29,3.9,6,0.2,▲,-1.0,5.4,0.0,95.0
33,2020-04-30,4.0,6,0.1,▲,0.0,2.6,0.0,101.0
34,2020-05-01,3.9,2,-0.1,▼,-1.0,-2.5,-4.0,103.0
