,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-26,,2,0.0,-,0.0,0.0
1,2020-04-03,,1,,▲,1.0,
2,2020-04-11,,1,,▲,2.0,
3,2020-04-16,3.6,1,,▲,3.0,
4,2020-04-25,3.2,2,-0.4,▼,2.0,-11.1
5,2020-04-26,3.2,1,0.0,-,2.0,0.0
6,2020-04-30,2.6,2,-0.6,▼,1.0,-18.7
7,2020-05-08,2.6,2,0.0,-,1.0,0.0
8,2020-05-22,2.6,1,0.0,-,1.0,0.0
9,2020-05-27,2.6,1,0.0,-,1.0,0.0
10,2020-05-28,3.2,1,0.6,▲,2.0,23.1
11,2020-05-31,2.8,1,-0.4,▼,1.0,-12.5
12,2020-06-02,2.4,1,-0.4,▼,0.0,-14.3
13,2020-06-12,2.4,1,0.0,-,0.0,0.0
14,2020-06-19,2.4,1,0.0,-,0.0,0.0
15,2020-06-20,2.2,1,-0.2,▼,-1.0,-8.3
16,2020-06-23,2.2,2,0.0,-,-1.0,0.0
17,2020-06-27,2.6,1,0.4,▲,0.0,18.2
18,2020-06-30,2.8,1,0.2,▲,1.0,7.7
19,2020-07-01,2.8,1,0.0,-,1.0,0.0
20,2020-07-13,2.6,1,-0.2,▼,0.0,-7.1
21,2020-07-16,3.0,2,0.4,▲,1.0,15.4
22,2020-07-22,3.0,1,0.0,-,1.0,0.0
23,2020-07-23,3.4,1,0.4,▲,2.0,13.3
24,2020-07-30,3.4,3,0.0,-,2.0,0.0
25,2020-08-02,3.4,1,0.0,-,2.0,0.0
26,2020-08-03,3.0,1,-0.4,▼,1.0,-11.8
27,2020-08-08,2.7,3,-0.3,▼,0.0,-10.0
28,2020-08-16,1.9,2,-0.8,▼,-1.0,-29.6
29,2020-08-20,2.1,3,0.2,▲,0.0,10.5
30,2020-08-22,2.1,2,0.0,-,0.0,0.0
31,2020-08-28,2.3,1,0.2,▲,1.0,9.5
32,2020-09-20,2.4,1,0.1,▲,2.0,4.3
33,2020-09-21,2.6,1,0.2,▲,3.0,8.3
