,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,5.6,34,0.0,-,0.0,0.0
1,2020-03-25,5.5,25,-0.1,▼,-1.0,-1.8
2,2020-03-26,5.7,33,0.2,▲,0.0,3.6
3,2020-03-27,5.8,17,0.1,▲,1.0,1.8
4,2020-03-28,5.9,28,0.1,▲,2.0,1.7
5,2020-03-29,5.8,38,-0.1,▼,1.0,-1.7
6,2020-03-30,6.0,24,0.2,▲,2.0,3.4
7,2020-03-31,5.9,29,-0.1,▼,1.0,-1.7
8,2020-04-01,5.9,32,0.0,-,1.0,0.0
9,2020-04-02,5.9,38,0.0,-,1.0,0.0
10,2020-04-03,6.0,49,0.1,▲,2.0,1.7
11,2020-04-04,5.9,43,-0.1,▼,1.0,-1.7
12,2020-04-05,5.8,36,-0.1,▼,0.0,-1.7
13,2020-04-06,5.7,35,-0.1,▼,-1.0,-1.7
14,2020-04-07,5.4,27,-0.3,▼,-2.0,-5.3
15,2020-04-08,5.5,38,0.1,▲,-1.0,1.9
16,2020-04-09,5.6,26,0.1,▲,0.0,1.8
17,2020-04-10,5.7,38,0.1,▲,1.0,1.8
18,2020-04-11,5.9,24,0.2,▲,2.0,3.5
19,2020-04-12,6.1,34,0.2,▲,3.0,3.4
20,2020-04-13,6.1,41,0.0,-,3.0,0.0
21,2020-04-14,6.2,25,0.1,▲,4.0,1.6
22,2020-04-15,6.2,38,0.0,-,4.0,0.0
23,2020-04-16,6.1,36,-0.1,▼,3.0,-1.6
24,2020-04-17,6.2,44,0.1,▲,4.0,1.6
25,2020-04-18,6.0,34,-0.2,▼,3.0,-3.2
26,2020-04-19,5.9,43,-0.1,▼,2.0,-1.7
27,2020-04-20,6.0,25,0.1,▲,3.0,1.7
28,2020-04-21,6.3,37,0.3,▲,4.0,5.0
29,2020-04-22,6.0,23,-0.3,▼,3.0,-4.8
30,2020-04-23,6.8,28,0.8,▲,4.0,13.3
31,2020-04-24,6.7,27,-0.1,▼,3.0,-1.5
32,2020-04-25,6.5,38,-0.2,▼,2.0,-3.0
33,2020-04-26,6.3,39,-0.2,▼,1.0,-3.1
34,2020-04-27,6.3,37,0.0,-,1.0,0.0
35,2020-04-28,5.6,19,-0.7,▼,0.0,-11.1
36,2020-04-29,5.4,32,-0.2,▼,-1.0,-3.6
37,2020-04-30,5.6,35,0.2,▲,0.0,3.7
38,2020-05-01,5.5,37,-0.1,▼,-1.0,-1.8
39,2020-05-02,5.6,26,0.1,▲,0.0,1.8
40,2020-05-03,5.5,41,-0.1,▼,-1.0,-1.8
41,2020-05-04,5.6,30,0.1,▲,0.0,1.8
42,2020-05-05,5.7,30,0.1,▲,1.0,1.8
43,2020-05-06,5.4,38,-0.3,▼,0.0,-5.3
44,2020-05-07,5.2,26,-0.2,▼,-1.0,-3.7
45,2020-05-08,5.4,31,0.2,▲,0.0,3.8
46,2020-05-09,5.4,29,0.0,-,0.0,0.0
47,2020-05-10,5.0,31,-0.4,▼,-1.0,-7.4
48,2020-05-11,5.3,26,0.3,▲,0.0,6.0
49,2020-05-12,5.5,45,0.2,▲,1.0,3.8
50,2020-05-13,5.6,44,0.1,▲,2.0,1.8
