,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-09-02,,30,0.0,-,0.0,0.0,0.0,0.0
1,2020-09-03,,35,,▲,1.0,,5.0,35.0
2,2020-09-04,,36,,▲,2.0,,1.0,71.0
3,2020-09-05,,33,,▲,3.0,,-3.0,104.0
4,2020-09-06,192.8,30,,▲,4.0,,-3.0,134.0
5,2020-09-07,180.9,23,-11.9,▼,3.0,-6.2,-7.0,157.0
6,2020-09-08,173.4,30,-7.5,▼,2.0,-4.1,7.0,187.0
7,2020-09-09,167.4,22,-6.0,▼,1.0,-3.5,-8.0,209.0
8,2020-09-10,159.5,29,-7.9,▼,0.0,-4.7,7.0,238.0
9,2020-09-11,156.0,30,-3.5,▼,-1.0,-2.2,1.0,268.0
10,2020-09-12,154.9,13,-1.1,▼,-2.0,-0.7,-17.0,281.0
11,2020-09-13,154.9,15,0.0,-,-2.0,0.0,2.0,296.0
12,2020-09-14,155.4,15,0.5,▲,-1.0,0.3,0.0,311.0
13,2020-09-15,158.4,9,3.0,▲,0.0,1.9,-6.0,320.0
14,2020-09-16,161.9,7,3.5,▲,1.0,2.2,-2.0,327.0
15,2020-09-17,162.5,6,0.6,▲,2.0,0.4,-1.0,333.0
16,2020-09-18,169.5,8,7.0,▲,3.0,4.3,2.0,341.0
17,2020-09-19,169.0,7,-0.5,▼,2.0,-0.3,-1.0,348.0
18,2020-09-20,172.0,4,3.0,▲,3.0,1.8,-3.0,352.0
19,2020-09-21,176.5,9,4.5,▲,4.0,2.6,5.0,361.0
20,2020-09-22,180.0,3,3.5,▲,5.0,2.0,-6.0,364.0
21,2020-09-23,177.0,8,-3.0,▼,4.0,-1.7,5.0,372.0
22,2020-09-24,184.0,6,7.0,▲,5.0,4.0,-2.0,378.0
23,2020-09-25,192.0,7,8.0,▲,6.0,4.3,1.0,385.0
24,2020-09-26,199.5,8,7.5,▲,7.0,3.9,1.0,393.0
25,2020-09-27,207.1,7,7.6,▲,8.0,3.8,-1.0,400.0
26,2020-09-28,215.0,2,7.9,▲,9.0,3.8,-5.0,402.0
27,2020-09-29,217.0,7,2.0,▲,10.0,0.9,5.0,409.0
28,2020-09-30,212.0,1,-5.0,▼,9.0,-2.3,-6.0,410.0
29,2020-10-01,207.0,1,-5.0,▼,8.0,-2.4,0.0,411.0
30,2020-10-02,202.9,1,-4.1,▼,7.0,-2.0,0.0,412.0
31,2020-10-06,214.0,5,11.1,▲,8.0,5.5,4.0,417.0
32,2020-10-07,238.0,4,24.0,▲,9.0,11.2,-1.0,421.0
33,2020-10-09,250.0,5,12.0,▲,10.0,5.0,1.0,426.0
34,2020-10-10,261.5,8,11.5,▲,11.0,4.6,3.0,434.0
35,2020-10-11,286.3,7,24.8,▲,12.0,9.5,-1.0,441.0
36,2020-10-12,291.3,1,5.0,▲,13.0,1.7,-6.0,442.0
37,2020-10-15,272.3,3,-19.0,▼,12.0,-6.5,2.0,445.0
38,2020-10-16,277.1,2,4.8,▲,13.0,1.8,-1.0,447.0
39,2020-10-17,268.6,4,-8.5,▼,12.0,-3.1,2.0,451.0
40,2020-10-18,263.8,2,-4.8,▼,11.0,-1.8,-2.0,453.0
41,2020-10-19,263.3,2,-0.5,▼,10.0,-0.2,0.0,455.0
42,2020-10-20,272.3,5,9.0,▲,11.0,3.4,3.0,460.0
43,2020-10-21,264.6,2,-7.7,▼,10.0,-2.8,-3.0,462.0
44,2020-10-22,276.6,6,12.0,▲,11.0,4.5,4.0,468.0
45,2020-10-23,268.5,2,-8.1,▼,10.0,-2.9,-4.0,470.0
46,2020-10-24,275.0,8,6.5,▲,11.0,2.4,6.0,478.0
47,2020-10-25,276.0,2,1.0,▲,12.0,0.4,-6.0,480.0
48,2020-10-26,275.9,4,-0.1,▼,11.0,-0.0,2.0,484.0
49,2020-10-29,280.4,3,4.5,▲,12.0,1.6,-1.0,487.0
50,2020-10-30,288.5,2,8.1,▲,13.0,2.9,-1.0,489.0
51,2020-10-31,280.0,3,-8.5,▼,12.0,-2.9,1.0,492.0
52,2020-11-01,289.0,1,9.0,▲,13.0,3.2,-2.0,493.0
53,2020-11-02,312.0,1,23.0,▲,14.0,8.0,0.0,494.0
54,2020-11-03,307.5,2,-4.5,▼,13.0,-1.4,1.0,496.0
55,2020-11-05,307.5,1,0.0,-,13.0,0.0,-1.0,497.0
56,2020-11-06,310.0,1,2.5,▲,14.0,0.8,0.0,498.0
57,2020-11-07,299.0,3,-11.0,▼,13.0,-3.5,2.0,501.0
58,2020-11-08,283.0,6,-16.0,▼,12.0,-5.4,3.0,507.0
59,2020-11-09,287.0,3,4.0,▲,13.0,1.4,-3.0,510.0
60,2020-11-10,283.8,2,-3.2,▼,12.0,-1.1,-1.0,512.0
61,2020-11-11,285.3,3,1.5,▲,13.0,0.5,1.0,515.0
62,2020-11-12,289.3,2,4.0,▲,14.0,1.4,-1.0,517.0
63,2020-11-13,289.9,2,0.6,▲,15.0,0.2,0.0,519.0
64,2020-11-14,286.9,4,-3.0,▼,14.0,-1.0,2.0,523.0
65,2020-11-15,281.1,4,-5.8,▼,13.0,-2.0,0.0,527.0
66,2020-11-16,272.1,5,-9.0,▼,12.0,-3.2,1.0,532.0
67,2020-11-17,263.1,1,-9.0,▼,11.0,-3.3,-4.0,533.0
68,2020-11-20,248.4,4,-14.7,▼,10.0,-5.6,3.0,537.0
69,2020-11-21,201.9,81,-46.5,▼,9.0,-18.7,77.0,618.0
70,2020-11-22,156.9,117,-45.0,▼,8.0,-22.3,36.0,735.0
71,2020-11-23,110.3,65,-46.6,▼,7.0,-29.7,-52.0,800.0
72,2020-11-24,67.3,55,-43.0,▼,6.0,-39.0,-10.0,855.0
73,2020-11-25,33.3,61,-34.0,▼,5.0,-50.5,6.0,916.0
74,2020-11-26,29.2,49,-4.1,▼,4.0,-12.3,-12.0,965.0
75,2020-11-27,28.2,38,-1.0,▼,3.0,-3.4,-11.0,1003.0
76,2020-11-28,26.8,51,-1.4,▼,2.0,-5.0,13.0,1054.0
77,2020-11-29,25.9,37,-0.9,▼,1.0,-3.4,-14.0,1091.0
78,2020-11-30,24.8,21,-1.1,▼,0.0,-4.2,-16.0,1112.0
79,2020-12-01,24.1,24,-0.7,▼,-1.0,-2.8,3.0,1136.0
80,2020-12-02,24.1,35,0.0,-,-1.0,0.0,11.0,1171.0
81,2020-12-03,24.3,29,0.2,▲,0.0,0.8,-6.0,1200.0
82,2020-12-04,23.9,23,-0.4,▼,-1.0,-1.6,-6.0,1223.0
83,2020-12-05,23.0,12,-0.9,▼,-2.0,-3.8,-11.0,1235.0
84,2020-12-06,21.8,27,-1.2,▼,-3.0,-5.2,15.0,1262.0
85,2020-12-07,21.3,17,-0.5,▼,-4.0,-2.3,-10.0,1279.0
86,2020-12-08,21.3,16,0.0,-,-4.0,0.0,-1.0,1295.0
87,2020-12-09,21.1,15,-0.2,▼,-5.0,-0.9,-1.0,1310.0
88,2020-12-10,22.5,9,1.4,▲,-4.0,6.6,-6.0,1319.0
89,2020-12-11,24.0,9,1.5,▲,-3.0,6.7,0.0,1328.0
90,2020-12-12,24.3,12,0.3,▲,-2.0,1.2,3.0,1340.0
91,2020-12-13,24.3,18,0.0,-,-2.0,0.0,6.0,1358.0
92,2020-12-14,24.7,6,0.4,▲,-1.0,1.6,-12.0,1364.0
93,2020-12-15,23.8,13,-0.9,▼,-2.0,-3.6,7.0,1377.0
94,2020-12-16,22.0,26,-1.8,▼,-3.0,-7.6,13.0,1403.0
95,2020-12-17,20.1,58,-1.9,▼,-4.0,-8.6,32.0,1461.0
96,2020-12-18,18.4,72,-1.7,▼,-5.0,-8.5,14.0,1533.0
97,2020-12-19,19.4,337,1.0,▲,-4.0,5.4,265.0,1870.0
98,2020-12-20,22.6,361,3.2,▲,-3.0,16.5,24.0,2231.0
99,2020-12-21,27.0,304,4.4,▲,-2.0,19.5,-57.0,2535.0
100,2020-12-22,32.1,275,5.1,▲,-1.0,18.9,-29.0,2810.0
101,2020-12-23,37.1,269,5.0,▲,0.0,15.6,-6.0,3079.0
102,2020-12-24,39.2,176,2.1,▲,1.0,5.7,-93.0,3255.0
103,2020-12-25,39.1,207,-0.1,▼,0.0,-0.3,31.0,3462.0
104,2020-12-26,38.8,149,-0.3,▼,-1.0,-0.8,-58.0,3611.0
105,2020-12-27,37.8,186,-1.0,▼,-2.0,-2.6,37.0,3797.0
106,2020-12-28,36.5,192,-1.3,▼,-3.0,-3.4,6.0,3989.0
107,2020-12-29,35.2,168,-1.3,▼,-4.0,-3.6,-24.0,4157.0
108,2020-12-30,34.4,147,-0.8,▼,-5.0,-2.3,-21.0,4304.0
109,2020-12-31,33.3,119,-1.1,▼,-6.0,-3.2,-28.0,4423.0
110,2021-01-01,32.8,120,-0.5,▼,-7.0,-1.5,1.0,4543.0
111,2021-01-02,32.6,126,-0.2,▼,-8.0,-0.6,6.0,4669.0
112,2021-01-03,32.7,81,0.1,▲,-7.0,0.3,-45.0,4750.0
113,2021-01-04,32.0,110,-0.7,▼,-8.0,-2.1,29.0,4860.0
114,2021-01-05,31.8,91,-0.2,▼,-9.0,-0.6,-19.0,4951.0
115,2021-01-06,31.3,61,-0.5,▼,-10.0,-1.6,-30.0,5012.0
116,2021-01-07,30.8,54,-0.5,▼,-11.0,-1.6,-7.0,5066.0
117,2021-01-08,29.7,60,-1.1,▼,-12.0,-3.6,6.0,5126.0
