,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-05-02,,1,0.0,-,0.0,0.0
1,2020-05-17,,1,,▲,1.0,
2,2020-05-21,,1,,▲,2.0,
3,2020-05-25,1.4,1,,▲,3.0,
4,2020-06-09,1.4,3,0.0,-,3.0,0.0
5,2020-06-15,1.4,1,0.0,-,3.0,0.0
6,2020-06-22,1.2,1,-0.2,▼,2.0,-14.3
7,2020-06-29,1.2,2,0.0,-,2.0,0.0
8,2020-07-19,1.2,8,0.0,-,2.0,0.0
9,2020-07-24,1.6,1,0.4,▲,3.0,33.3
10,2020-07-26,1.6,1,0.0,-,3.0,0.0
11,2020-07-30,1.8,1,0.2,▲,4.0,12.5
12,2020-07-31,1.8,1,0.0,-,4.0,0.0
13,2020-08-02,2.0,1,0.2,▲,5.0,11.1
14,2020-08-11,1.8,5,-0.2,▼,4.0,-10.0
15,2020-08-14,1.8,1,0.0,-,4.0,0.0
16,2020-08-15,1.8,2,0.0,-,4.0,0.0
17,2020-08-19,2.0,1,0.2,▲,5.0,11.1
18,2020-08-21,1.8,2,-0.2,▼,4.0,-10.0
19,2020-08-28,2.0,1,0.2,▲,5.0,11.1
