,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-25,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-27,,2,,▲,1.0,,1.0,2.0
2,2020-03-28,,4,,▲,2.0,,2.0,6.0
3,2020-03-29,,1,,▲,3.0,,-3.0,7.0
4,2020-04-02,1.4,2,,▲,4.0,,1.0,9.0
5,2020-04-06,1.4,1,0.0,-,4.0,0.0,-1.0,10.0
6,2020-04-09,1.2,1,-0.2,▼,3.0,-14.3,0.0,11.0
7,2020-04-10,1.2,3,0.0,-,3.0,0.0,2.0,14.0
8,2020-04-11,1.3,3,0.1,▲,4.0,8.3,0.0,17.0
9,2020-04-12,1.3,1,0.0,-,4.0,0.0,-2.0,18.0
10,2020-04-19,1.1,1,-0.2,▼,3.0,-15.4,0.0,19.0
11,2020-04-22,1.1,1,0.0,-,3.0,0.0,0.0,20.0
12,2020-04-24,1.1,1,0.0,-,3.0,0.0,0.0,21.0
13,2020-04-28,1.0,2,-0.1,▼,2.0,-9.1,1.0,23.0
14,2020-05-02,1.0,1,0.0,-,2.0,0.0,-1.0,24.0
15,2020-05-03,1.0,2,0.0,-,2.0,0.0,1.0,26.0
16,2020-05-10,1.0,1,0.0,-,2.0,0.0,-1.0,27.0
17,2020-05-11,1.0,1,0.0,-,2.0,0.0,0.0,28.0
18,2020-05-13,1.0,1,0.0,-,2.0,0.0,0.0,29.0
19,2020-05-21,2.4,1,1.4,▲,3.0,140.0,0.0,30.0
20,2020-05-23,4.2,3,1.8,▲,4.0,75.0,2.0,33.0
21,2020-05-25,4.2,2,0.0,-,4.0,0.0,-1.0,35.0
22,2020-05-28,4.2,1,0.0,-,4.0,0.0,-1.0,36.0
23,2020-05-31,5.2,1,1.0,▲,5.0,23.8,0.0,37.0
24,2020-06-01,3.8,1,-1.4,▼,4.0,-26.9,0.0,38.0
25,2020-06-06,2.2,1,-1.6,▼,3.0,-42.1,0.0,39.0
26,2020-06-10,2.6,1,0.4,▲,4.0,18.2,0.0,40.0
27,2020-06-13,2.6,1,0.0,-,4.0,0.0,0.0,41.0
28,2020-06-19,1.8,2,-0.8,▼,3.0,-30.8,1.0,43.0
29,2020-06-20,1.8,2,0.0,-,3.0,0.0,0.0,45.0
30,2020-06-21,1.6,1,-0.2,▼,2.0,-11.1,-1.0,46.0
31,2020-07-14,1.2,1,-0.4,▼,1.0,-25.0,0.0,47.0
32,2020-07-24,1.4,1,0.2,▲,2.0,16.7,0.0,48.0
33,2020-07-31,1.2,1,-0.2,▼,1.0,-14.3,0.0,49.0
34,2020-08-08,1.2,1,0.0,-,1.0,0.0,0.0,50.0
35,2020-08-10,1.2,1,0.0,-,1.0,0.0,0.0,51.0
36,2020-08-11,1.2,1,0.0,-,1.0,0.0,0.0,52.0
37,2020-08-13,1.0,1,-0.2,▼,0.0,-16.7,0.0,53.0
38,2020-08-16,1.0,28,0.0,-,0.0,0.0,27.0,81.0
39,2020-08-19,1.0,2,0.0,-,0.0,0.0,-26.0,83.0
40,2020-08-22,1.0,15,0.0,-,0.0,0.0,13.0,98.0
41,2020-08-23,1.0,1,0.0,-,0.0,0.0,-14.0,99.0
42,2020-08-30,1.0,2,0.0,-,0.0,0.0,1.0,101.0
43,2020-09-06,1.0,1,0.0,-,0.0,0.0,-1.0,102.0
44,2020-09-08,1.0,1,0.0,-,0.0,0.0,0.0,103.0
45,2020-09-13,1.0,1,0.0,-,0.0,0.0,0.0,104.0
46,2020-09-15,1.0,1,0.0,-,0.0,0.0,0.0,105.0
47,2020-09-16,1.0,1,0.0,-,0.0,0.0,0.0,106.0
48,2020-09-26,1.0,9,0.0,-,0.0,0.0,8.0,115.0
49,2020-09-28,1.0,1,0.0,-,0.0,0.0,-8.0,116.0
50,2020-09-30,1.0,1,0.0,-,0.0,0.0,0.0,117.0
51,2020-10-03,1.0,1,0.0,-,0.0,0.0,0.0,118.0
52,2020-10-10,1.0,1,0.0,-,0.0,0.0,0.0,119.0
53,2020-10-14,1.0,1,0.0,-,0.0,0.0,0.0,120.0
54,2020-10-29,2.8,1,1.8,▲,1.0,180.0,0.0,121.0
55,2020-11-01,3.0,1,0.2,▲,2.0,7.1,0.0,122.0
56,2020-11-03,3.0,3,0.0,-,2.0,0.0,2.0,125.0
57,2020-11-18,3.6,5,0.6,▲,3.0,20.0,2.0,130.0
58,2020-11-23,3.8,1,0.2,▲,4.0,5.6,-4.0,131.0
59,2020-11-26,2.0,1,-1.8,▼,3.0,-47.4,0.0,132.0
60,2020-11-27,2.2,1,0.2,▲,4.0,10.0,0.0,133.0
61,2020-11-28,2.2,1,0.0,-,4.0,0.0,0.0,134.0
62,2020-11-29,1.8,1,-0.4,▼,3.0,-18.2,0.0,135.0
63,2020-12-05,1.6,1,-0.2,▼,2.0,-11.1,0.0,136.0
64,2020-12-08,1.6,1,0.0,-,2.0,0.0,0.0,137.0
65,2020-12-13,1.4,2,-0.2,▼,1.0,-12.5,1.0,139.0
66,2020-12-17,1.4,1,0.0,-,1.0,0.0,-1.0,140.0
67,2020-12-19,1.2,1,-0.2,▼,0.0,-14.3,0.0,141.0
68,2020-12-25,1.2,1,0.0,-,0.0,0.0,0.0,142.0
69,2021-01-02,1.2,1,0.0,-,0.0,0.0,0.0,143.0
70,2021-01-03,1.2,1,0.0,-,0.0,0.0,0.0,144.0
71,2021-01-05,1.4,10,0.2,▲,1.0,16.7,9.0,154.0
72,2021-01-06,1.6,1,0.2,▲,2.0,14.3,-9.0,155.0
73,2021-01-11,1.8,1,0.2,▲,3.0,12.5,0.0,156.0
74,2021-01-13,2.6,5,0.8,▲,4.0,44.4,4.0,161.0
75,2021-01-24,3.2,10,0.6,▲,5.0,23.1,5.0,171.0
76,2021-01-29,3.6,3,0.4,▲,6.0,12.5,-7.0,174.0
77,2021-02-04,4.0,1,0.4,▲,7.0,11.1,-2.0,175.0
78,2021-02-08,3.8,1,-0.2,▼,6.0,-5.0,0.0,176.0
