,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,6.4,27,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,6.7,35,0.3,▲,1.0,4.7,8.0,35.0
2,2020-03-26,6.9,33,0.2,▲,2.0,3.0,-2.0,68.0
3,2020-03-27,7.0,32,0.1,▲,3.0,1.4,-1.0,100.0
4,2020-03-28,7.0,47,0.0,-,3.0,0.0,15.0,147.0
5,2020-03-29,6.8,82,-0.2,▼,2.0,-2.9,35.0,229.0
6,2020-03-30,6.7,53,-0.1,▼,1.0,-1.5,-29.0,282.0
7,2020-03-31,6.6,47,-0.1,▼,0.0,-1.5,-6.0,329.0
8,2020-04-01,6.7,58,0.1,▲,1.0,1.5,11.0,387.0
9,2020-04-02,6.6,73,-0.1,▼,0.0,-1.5,15.0,460.0
10,2020-04-03,6.8,80,0.2,▲,1.0,3.0,7.0,540.0
11,2020-04-04,7.0,77,0.2,▲,2.0,2.9,-3.0,617.0
12,2020-04-05,7.1,53,0.1,▲,3.0,1.4,-24.0,670.0
13,2020-04-06,7.1,77,0.0,-,3.0,0.0,24.0,747.0
14,2020-04-07,7.1,78,0.0,-,3.0,0.0,1.0,825.0
15,2020-04-08,7.1,60,0.0,-,3.0,0.0,-18.0,885.0
16,2020-04-09,7.1,67,0.0,-,3.0,0.0,7.0,952.0
17,2020-04-10,7.0,62,-0.1,▼,2.0,-1.4,-5.0,1014.0
18,2020-04-11,6.9,92,-0.1,▼,1.0,-1.4,30.0,1106.0
19,2020-04-12,6.8,72,-0.1,▼,0.0,-1.4,-20.0,1178.0
20,2020-04-13,6.8,71,0.0,-,0.0,0.0,-1.0,1249.0
21,2020-04-14,6.7,86,-0.1,▼,-1.0,-1.5,15.0,1335.0
22,2020-04-15,6.7,77,0.0,-,-1.0,0.0,-9.0,1412.0
23,2020-04-16,6.8,92,0.1,▲,0.0,1.5,15.0,1504.0
24,2020-04-17,7.0,92,0.2,▲,1.0,2.9,0.0,1596.0
25,2020-04-18,6.9,96,-0.1,▼,0.0,-1.4,4.0,1692.0
26,2020-04-19,6.9,52,0.0,-,0.0,0.0,-44.0,1744.0
27,2020-04-20,6.9,56,0.0,-,0.0,0.0,4.0,1800.0
28,2020-04-21,6.8,50,-0.1,▼,-1.0,-1.4,-6.0,1850.0
29,2020-04-22,6.8,50,0.0,-,-1.0,0.0,0.0,1900.0
30,2020-04-23,6.9,65,0.1,▲,0.0,1.5,15.0,1965.0
31,2020-04-24,7.1,58,0.2,▲,1.0,2.9,-7.0,2023.0
32,2020-04-25,7.1,73,0.0,-,1.0,0.0,15.0,2096.0
33,2020-04-26,7.2,57,0.1,▲,2.0,1.4,-16.0,2153.0
34,2020-04-27,7.2,82,0.0,-,2.0,0.0,25.0,2235.0
35,2020-04-28,7.2,41,0.0,-,2.0,0.0,-41.0,2276.0
36,2020-04-29,7.2,26,0.0,-,2.0,0.0,-15.0,2302.0
37,2020-04-30,7.2,51,0.0,-,2.0,0.0,25.0,2353.0
38,2020-05-01,7.2,29,0.0,-,2.0,0.0,-22.0,2382.0
39,2020-05-02,7.2,45,0.0,-,2.0,0.0,16.0,2427.0
40,2020-05-03,7.1,36,-0.1,▼,1.0,-1.4,-9.0,2463.0
