,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-28,,2,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-29,2.9,2,,▲,1.0,,0.0,2.0
2,2020-04-30,2.7,1,-0.2,▼,0.0,-6.9,-1.0,3.0
3,2020-05-01,3.0,3,0.3,▲,1.0,11.1,2.0,6.0
4,2020-05-02,2.9,2,-0.1,▼,0.0,-3.3,-1.0,8.0
5,2020-05-03,3.1,1,0.2,▲,1.0,6.9,-1.0,9.0
6,2020-05-04,3.2,4,0.1,▲,2.0,3.2,3.0,13.0
7,2020-05-06,3.7,3,0.5,▲,3.0,15.6,-1.0,16.0
8,2020-05-07,3.5,3,-0.2,▼,2.0,-5.4,0.0,19.0
9,2020-05-08,3.3,1,-0.2,▼,1.0,-5.7,-2.0,20.0
10,2020-05-12,3.3,2,0.0,-,1.0,0.0,1.0,22.0
11,2020-05-13,3.4,1,0.1,▲,2.0,3.0,-1.0,23.0
12,2020-05-14,3.1,3,-0.3,▼,1.0,-8.8,2.0,26.0
13,2020-05-15,3.1,3,0.0,-,1.0,0.0,0.0,29.0
14,2020-05-16,3.3,1,0.2,▲,2.0,6.5,-2.0,30.0
15,2020-05-17,3.5,3,0.2,▲,3.0,6.1,2.0,33.0
16,2020-05-18,3.5,1,0.0,-,3.0,0.0,-2.0,34.0
17,2020-05-19,3.5,4,0.0,-,3.0,0.0,3.0,38.0
18,2020-05-20,3.6,1,0.1,▲,4.0,2.9,-3.0,39.0
19,2020-05-21,3.8,5,0.2,▲,5.0,5.6,4.0,44.0
20,2020-05-23,3.5,2,-0.3,▼,4.0,-7.9,-3.0,46.0
21,2020-05-24,3.3,3,-0.2,▼,3.0,-5.7,1.0,49.0
22,2020-05-25,3.3,1,0.0,-,3.0,0.0,-2.0,50.0
23,2020-05-26,3.2,2,-0.1,▼,2.0,-3.0,1.0,52.0
24,2020-05-27,3.0,1,-0.2,▼,1.0,-6.2,-1.0,53.0
25,2020-05-29,3.2,2,0.2,▲,2.0,6.7,1.0,55.0
26,2020-05-30,3.2,4,0.0,-,2.0,0.0,2.0,59.0
27,2020-05-31,3.2,2,0.0,-,2.0,0.0,-2.0,61.0
28,2020-06-01,3.1,4,-0.1,▼,1.0,-3.1,2.0,65.0
29,2020-06-02,3.0,4,-0.1,▼,0.0,-3.2,0.0,69.0
30,2020-06-03,2.9,3,-0.1,▼,-1.0,-3.3,-1.0,72.0
31,2020-06-04,2.9,2,0.0,-,-1.0,0.0,-1.0,74.0
32,2020-06-05,2.9,2,0.0,-,-1.0,0.0,0.0,76.0
33,2020-06-06,3.0,2,0.1,▲,0.0,3.4,0.0,78.0
34,2020-06-07,3.3,1,0.3,▲,1.0,10.0,-1.0,79.0
35,2020-06-08,3.2,2,-0.1,▼,0.0,-3.0,1.0,81.0
36,2020-06-09,3.3,5,0.1,▲,1.0,3.1,3.0,86.0
37,2020-06-10,3.3,1,0.0,-,1.0,0.0,-4.0,87.0
38,2020-06-11,3.2,2,-0.1,▼,0.0,-3.0,1.0,89.0
39,2020-06-12,3.0,1,-0.2,▼,-1.0,-6.2,-1.0,90.0
40,2020-06-13,3.1,1,0.1,▲,0.0,3.3,0.0,91.0
41,2020-06-14,2.8,3,-0.3,▼,-1.0,-9.7,2.0,94.0
42,2020-06-15,2.9,2,0.1,▲,0.0,3.6,-1.0,96.0
43,2020-06-16,2.6,5,-0.3,▼,-1.0,-10.3,3.0,101.0
44,2020-06-17,2.5,3,-0.1,▼,-2.0,-3.8,-2.0,104.0
45,2020-06-18,2.7,1,0.2,▲,-1.0,8.0,-2.0,105.0
46,2020-06-19,2.8,3,0.1,▲,0.0,3.7,2.0,108.0
47,2020-06-20,2.8,4,0.0,-,0.0,0.0,1.0,112.0
48,2020-06-22,3.3,1,0.5,▲,1.0,17.9,-3.0,113.0
49,2020-06-23,3.2,1,-0.1,▼,0.0,-3.0,0.0,114.0
50,2020-06-25,3.0,1,-0.2,▼,-1.0,-6.2,0.0,115.0
51,2020-06-26,3.2,2,0.2,▲,0.0,6.7,1.0,117.0
52,2020-06-27,3.2,2,0.0,-,0.0,0.0,0.0,119.0
53,2020-06-28,3.3,2,0.1,▲,1.0,3.1,0.0,121.0
54,2020-06-29,3.6,2,0.3,▲,2.0,9.1,0.0,123.0
55,2020-07-01,3.6,1,0.0,-,2.0,0.0,-1.0,124.0
56,2020-07-02,3.5,1,-0.1,▼,1.0,-2.8,0.0,125.0
57,2020-07-05,3.4,2,-0.1,▼,0.0,-2.9,1.0,127.0
