,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,,2,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-21,5.2,1,,▲,1.0,,-1.0,1.0
2,2020-08-22,5.4,1,0.2,▲,2.0,3.8,0.0,2.0
3,2020-08-23,5.1,1,-0.3,▼,1.0,-5.6,0.0,3.0
4,2020-08-24,5.1,1,0.0,-,1.0,0.0,0.0,4.0
5,2020-08-27,5.0,1,-0.1,▼,0.0,-2.0,0.0,5.0
6,2020-08-31,5.2,1,0.2,▲,1.0,4.0,0.0,6.0
7,2020-09-03,5.6,12,0.4,▲,2.0,7.7,11.0,18.0
8,2020-09-04,5.4,1,-0.2,▼,1.0,-3.6,-11.0,19.0
9,2020-09-06,6.4,2,1.0,▲,2.0,18.5,1.0,21.0
10,2020-09-07,6.6,3,0.2,▲,3.0,3.1,1.0,24.0
11,2020-09-09,6.4,1,-0.2,▼,2.0,-3.0,-2.0,25.0
12,2020-09-11,5.7,3,-0.7,▼,1.0,-10.9,2.0,28.0
13,2020-09-15,5.9,2,0.2,▲,2.0,3.5,-1.0,30.0
14,2020-09-17,4.7,2,-1.2,▼,1.0,-20.3,0.0,32.0
15,2020-09-18,4.7,1,0.0,-,1.0,0.0,-1.0,33.0
16,2020-09-19,4.7,1,0.0,-,1.0,0.0,0.0,34.0
17,2020-09-20,4.8,1,0.1,▲,2.0,2.1,0.0,35.0
18,2020-09-21,4.7,2,-0.1,▼,1.0,-2.1,1.0,37.0
19,2020-09-22,4.9,1,0.2,▲,2.0,4.3,-1.0,38.0
20,2020-09-23,5.5,1,0.6,▲,3.0,12.2,0.0,39.0
21,2020-09-24,5.5,2,0.0,-,3.0,0.0,1.0,41.0
22,2020-09-28,5.3,1,-0.2,▼,2.0,-3.6,-1.0,42.0
23,2020-09-30,5.4,1,0.1,▲,3.0,1.9,0.0,43.0
24,2020-10-01,5.4,1,0.0,-,3.0,0.0,0.0,44.0
25,2020-10-03,5.0,2,-0.4,▼,2.0,-7.4,1.0,46.0
26,2020-10-04,4.9,2,-0.1,▼,1.0,-2.0,0.0,48.0
27,2020-10-05,4.9,1,0.0,-,1.0,0.0,-1.0,49.0
28,2020-10-06,4.9,2,0.0,-,1.0,0.0,1.0,51.0
29,2020-10-08,4.9,1,0.0,-,1.0,0.0,-1.0,52.0
30,2020-10-11,5.7,2,0.8,▲,2.0,16.3,1.0,54.0
31,2020-10-12,5.8,1,0.1,▲,3.0,1.8,-1.0,55.0
32,2020-10-13,7.0,1,1.2,▲,4.0,20.7,0.0,56.0
33,2020-10-19,7.0,1,0.0,-,4.0,0.0,0.0,57.0
34,2020-10-23,6.8,1,-0.2,▼,3.0,-2.9,0.0,58.0
35,2020-10-26,6.0,1,-0.8,▼,2.0,-11.8,0.0,59.0
36,2020-10-28,6.1,2,0.1,▲,3.0,1.7,1.0,61.0
37,2020-11-03,5.7,1,-0.4,▼,2.0,-6.6,-1.0,62.0
38,2020-11-06,5.9,2,0.2,▲,3.0,3.5,1.0,64.0
39,2020-11-09,6.5,2,0.6,▲,4.0,10.2,0.0,66.0
40,2020-11-14,6.7,3,0.2,▲,5.0,3.1,1.0,69.0
41,2020-11-15,7.4,3,0.7,▲,6.0,10.4,0.0,72.0
42,2020-11-21,6.9,2,-0.5,▼,5.0,-6.8,-1.0,74.0
43,2020-11-22,7.0,3,0.1,▲,6.0,1.4,1.0,77.0
44,2020-11-23,7.4,1,0.4,▲,7.0,5.7,-2.0,78.0
45,2020-11-24,7.2,7,-0.2,▼,6.0,-2.7,6.0,85.0
46,2020-11-25,7.2,1,0.0,-,6.0,0.0,-6.0,86.0
47,2020-11-26,7.6,3,0.4,▲,7.0,5.6,2.0,89.0
48,2020-11-27,7.7,4,0.1,▲,8.0,1.3,1.0,93.0
49,2020-11-28,6.7,3,-1.0,▼,7.0,-13.0,-1.0,96.0
50,2020-11-29,7.0,5,0.3,▲,8.0,4.5,2.0,101.0
51,2020-11-30,7.2,2,0.2,▲,9.0,2.9,-3.0,103.0
52,2020-12-02,7.3,1,0.1,▲,10.0,1.4,-1.0,104.0
53,2020-12-03,6.9,2,-0.4,▼,9.0,-5.5,1.0,106.0
54,2020-12-04,7.7,1,0.8,▲,10.0,11.6,-1.0,107.0
55,2020-12-06,8.0,3,0.3,▲,11.0,3.9,2.0,110.0
56,2020-12-07,7.5,2,-0.5,▼,10.0,-6.2,-1.0,112.0
57,2020-12-09,6.5,1,-1.0,▼,9.0,-13.3,-1.0,113.0
58,2020-12-11,6.8,3,0.3,▲,10.0,4.6,2.0,116.0
59,2020-12-12,6.2,1,-0.6,▼,9.0,-8.8,-2.0,117.0
60,2020-12-14,6.2,1,0.0,-,9.0,0.0,0.0,118.0
61,2020-12-15,6.0,3,-0.2,▼,8.0,-3.2,2.0,121.0
62,2020-12-17,7.0,1,1.0,▲,9.0,16.7,-2.0,122.0
63,2020-12-19,7.3,15,0.3,▲,10.0,4.3,14.0,137.0
64,2020-12-20,8.1,25,0.8,▲,11.0,11.0,10.0,162.0
65,2020-12-21,8.0,23,-0.1,▼,10.0,-1.2,-2.0,185.0
66,2020-12-22,8.5,30,0.5,▲,11.0,6.2,7.0,215.0
67,2020-12-23,8.7,18,0.2,▲,12.0,2.4,-12.0,233.0
68,2020-12-24,9.2,15,0.5,▲,13.0,5.7,-3.0,248.0
69,2020-12-25,9.3,12,0.1,▲,14.0,1.1,-3.0,260.0
70,2020-12-26,9.3,18,0.0,-,14.0,0.0,6.0,278.0
71,2020-12-27,9.4,22,0.1,▲,15.0,1.1,4.0,300.0
72,2020-12-28,9.4,7,0.0,-,15.0,0.0,-15.0,307.0
73,2020-12-29,8.8,13,-0.6,▼,14.0,-6.4,6.0,320.0
74,2020-12-30,8.6,19,-0.2,▼,13.0,-2.3,6.0,339.0
75,2020-12-31,8.8,5,0.2,▲,14.0,2.3,-14.0,344.0
76,2021-01-01,8.8,8,0.0,-,14.0,0.0,3.0,352.0
77,2021-01-02,8.9,10,0.1,▲,15.0,1.1,2.0,362.0
